INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,How/can/he/understand/the/fake/news?,He/can/meet/her/this/Saturday,Will/he/show/his/big/toe/to/you?,He/will/lie/and/read/a/book,"a/good/song/to/sing/songs,",an/idol/to/dance/with/me,Pictures/to/show/him,One/book,a/cup/of/coffee,is/there/a/teacher/to/remember?,Is/there/a/snowman/to/make?,Is there/the/teacher/to/remember/in/this/album?,My/father/can’t/find/a/book/to/read.,Was there/a/watermelon/to/eat/under/that/tree?,There was/a/chance/to/fail/the/English/exam.,I’m/going/to/buy/some/water/to/drink.,Did you/find/a/library/to/study/Chinese/history?,Are there/two/dogs/to/raise/in/his/room?,There was/a chance/to/pass/a/ball/to/you.,Were/there/many/angels/in/the/sky?,Is/there/a/friend/to/remember/here?
1,How/can/she/explain/the/fact?,The/baby/can't/understand/your/broken/English,Will the/singer go/to the/stage tomorrow/to/sing/a/song?,She won’t/sing/the/yodel/songs/to/the/music,a/chance/to/challenge,solar/energy/to/study,Time/to/finish/English/class,Two/books,two/cups/of/coffee,There/is/a/balloon/to/pop/with/you,There is/a/bird/to/hunt/on/the/tree.,There is/warm/rice/to/eat/with/you/there.,I'll/give/them/bananas/to/eat,There was/a/watermelon/to/eat/under/that/tree.,Was there/a song/to/sing/at/his/birthday/party?,Did you/buy a/radio/to/listen/to/headline/news?,I’ll/teach/you/a/Japanese/song,There aren’t/two/dogs/to/raise/in/his/room.,Was there/a/funny/song/to/sing/for/him?,There/were/two/angry/birds/here,There/are/two/pears/to/eat/with/you.
2,How/can/she/forgive/your/father?,Your/dog/can/play/the/guitar/very/well, Will/the doctor/go to/the market/to/sell/his/scissors?,She won’t/meet a/police/officer/at/the/police/station,a/lot/of/pocket/money/to/make,his/hanger/to/sell,Time/to/Pray/with/them,One/rose,three/cups/of/coffee,There/isn’t/a/duck/to/sell/here,There isn’t/a/peach/to/eat/on/the/table.,There/isn’t/a/used/car/to/sell/here.,Your father/can’t/give/me/a/tree/to/plant.,There wasn’t/a/watermelon/to/eat/under/that/tree.,There/wasn’t/a/mouse/in/the/aluminum/can.,I/have/a/picture/to/give/you,I/have/no/time/to/lose,There are/two/dogs/to/raise/in/his/room.,There wasn’t/a/mouse/to/give/a/cat/here.,There weren't/big queen/bees/to/raise/on/that/tree.,There isn’t/a/tiger/to/sell/at/this/zoo.
3,How can/he/pass/the/level/test/without/studying?,You/can/wash/the/dirty/window/without/water.,Will he/cut the/tree/to/make/the/snowman's/eyebrows?,"Her/mother/will/lie/to/youdid,/wants",a/car/to/sell,a/fly/to/catch,royalty/to/pay,Five/roses,a/glass/of/water,Is/there/a/pencil/to/buy/tomorrow?,Is there/a/tree/to/plant/in/my/room?,Is there/fine/dust/to/wipe/on/the/desk?,Can/you/give/me/some/water/to/drink?,Was there/a/pumpkin/to/pick/in/the/field?,Was there/a doll/to/give/them/under/the/chair?,Don't/enter/the/room/to/fix,Do/you/have/any/questions/to/ask?,Are/there/three/students/in/the/classroom?,Was there/a doll/to/give/them/under/the/chair?,Were/there/songs/to/practice/in/your/chorus?,There’s a/teacher/to/meet/me/on/the/roof.
4,How/much/can/she/pay/for/dinner?,She/can't/run/away/from/me,Will/she/explain/the/question/to/you/tonight?,He/won’t/make/a/premium/bed/with/cement,my/name/to/remember,a/summer/camp/to/go,A/student/to/teach/English,One/car,four/glasses/of/water,There isn’t/a/bird/to/catch/on/the/tree.,There isn’t/a/friend/to/make/on/the/moon.,There isn’t/a/bird/to/catch/on/the/tree.,There/is/an/emoticon/to/store,There wasn’t/a/pumpkin/to/pick/in/the/field.,There wasn’t/a bad/memory/to/forget/in/this/album.,Do/you/have/a/magazine/to/read?,When did/you find/a/zoo/to/hide/the/gold?,There/aren’t/three/students/in/the/classroom.,There/was/nothing/to/preview/in/this/book.,There/were/five/staffs/to/fire/this/morning.,There wasn’t/a/friend/to/make/on/the/moon.
5,How can/his father/give/a/lip/service/to/you?,The girl/can't invite/me to/the/tomato/festival/this/year.,Will/the/teacher/clean/his/classroom/with/mothers?,Her mother/will/take/a/nap/in/the/forest,the/window/to/open,a/doll/to/make,commission/to/get,Ten/expensive/cars,five/glasses/of/water,There/is/an/important/promise/to/keep,Is there/a/big/problem/to/solve/here/today?,There is/a place/to hide/the hidden/money/in/the/cave.,I have/blood to/sell/to/a/red/cross/nurse.,There was/a/pumpkin/to/pick/in/the/field,There/was/a/tree/to/plant/yesterday,Take/the/trash/to/throw/away!,I can't/give you/enough/time/to/think/about/it.,There/are/three/students/in/the/classroom.,There/was/a/peach/tree/to/plant/yesterday.,Were there/three bikes/to/give/me/five/years/ago?,Is/there/a/question/to/ask/now?
6,How/can/they/remember/our/house?,Your father/can’t come/here/to/meet/me/next/year.,Will/they/go/to/the/moon/by/rocket?,Her/son/will/go/to/hell/by/UFO.,a/gift/card/to/send,dinner/to/eat,A/room/to/sleep/in,One/girl,a/bottle/of/juice,Is/there/a/pop/song/to/learn?,There is/a/mermaid/to/save/under/the/lake.,Is/there/a/skill/to/learn/more?,Will/your/father/go/shopping/with/you/tomorrow?,Was there/a/guitar/to/play/in/his/house?,There/wasn’t/time/to/wait/for/her,Don't/touch/the/bread/to/eat,I’ll/explain/the/reason/to/study/the/book,Are/there/many/delicious/apples/to/pick?,There/wasn’t/time/to/wait/for/her,There/weren't/nine/comic/books/to/return.,Your father/can't go/there/to/see/him/next/year.
7,Can/we/forgive/his/mistake?,She/can’t/go/to/the/library/with/you.,Will her/son buy/a/compact/car/to/marry/you?,The dog/will go/to hell/by UFO/to/meet/his/son.,a/letter/to/write,a/pencil/to/give,a/rude/bear/to/introduce/to/father,Eight/tall/girls,six/bottles/of/juice,There isn’t/a/candle/to/use/in/the/water.,There isn’t/a/room/to/clean/in/this/hotel.,There isn't/a treasure/ship to/find/in//the/water.,Her/father/will/not/go/swimming/tomorrow.,There wasn’t/a/guitar/to/play/in/his/house.,Was/there/a/student/to/invite?,Did/you/find/a/place/to/sleep?,Don't/give/her/time/to/run/away!,There/are/many/delicious/apples/to/pick.,Was there/a/student/to/invite/to/the/meeting?,There were/two mentors/to guide/me in/front/of/the/school.,She/can’t/go/to/the/bookstore/with/you.
8,Can/her/mother/raise/her/right/hand?,The dog/can/come/here/early/to/go/shopping.,Will/you/wear/the/dead/pig’s/ring?,Our/cat/will/steal/your/delicious/bananas/later.,a/knife/to/make,the/party/to/cancel,Candles/to/use/in/the/water,One/poor/bird,seven/bottles/of/juice,There's/something/to/do/tomorrow,Is there/an English/book/to/read/in/the/library?,There/is/something/to/do/with/you/tomorrow.,I/don't/have/time/to/cry,There was/a/guitar/to/play/in/his/house.,There was/a student/to/invite/to/my/birthday/party.,Do you/want/to/buy/a/perfume/to/wear?,Why are/you going/to sell/the diamond/ring/to/give/her?,There/aren’t/many/delicious/apples/to/pick.,There was/a student/to/invite/to/my/birthday/party.,Were/there/many/dinosaurs/in/Korea?,The dog/can/come/here/early/to/go/fishing.
9,Can/she/imagine/a/dreaming/dog?,The/cat/can/jump/high/like/a/flea.,Will/she/give/a/baseball/glove/to/him?,He/will/shoot/an/arrow/on/the/mountain.,a/truck/to/drive,an/instant/glue/to/use,a/boy/to/remember,Nine/brave/birds,a/piece/of/paper,Is there/a big/fly/to/catch/on/my/back?,There/is/a/hairpin/to/give/you,Is/there/time/to/study/English?,There/isn’t/soap/to/use/in/the/bathroom.,Was/there/an/angel/to/meet/in/hell?,There was/a good/place to/marry/her/on/that/hill.,I/want/hot/water/to/drink,I/can't/give/him/a/pig/to/raise.,Are there/five/bananas/to/eat/on/the/table?,There was/a used/drill/to/sell/on/the/street,There were/eight/eggs/to/boil/on/the/desk.,The cat/can swing/a/bat/like/the/best/hitter.
10,Can/they/give/you/a/good/chance?,Your father/can't/go/to/the/flea/market/today.,Will/your/dog/teach/Spanish/to/you?,His father/will/tickle/you/with/his/right/hand.,the/music/to/listen/to,a/grandfather/to/meet,a/fly/to/catch/with/hands,One/crying/pig,eight/pieces/of/paper,There/isn’t/an/interesting/comic/book/to/read.,There/ins’t/a/project/to/decide/this/month,There isn’t/a glass/of milk/to/drink/in/the/kitchen.,There/is/a/missed/call,There/was/an/angel/to/meet/in/hell.,There/wasn’t/time/to/talk/about/it,Why/did/you/sell/the/flowers/to/display?,I have/a/reason/to/change/my/hair/style.,There are/five/bananas/to/eat/on/the/table.,There wasn’t/time to/talk/with/them/about/the/problem.,There/were/three/skinny/elephants/at/the/zoo,Your/mother/can't/quit/smoking/tonight
11,How/can/his/mother/look/at/his/father?,Their mother/can/throw/a/curve/ball/to/you.,Will you/go to/the restaurant/to/eat/dinner/with/him?,You/won’t/tell/your/dream/to/the/students.,a/chair/to/sit/on,the/medicine/to/sell,Bread/to/eat/with/you,Six/smiling/pigs,nine/pieces/of/paper,There/is/B/between/A/and/C,There/is/a/bed/to/order/online,There is/an arrow/to shoot/in front/of/the/dog/house.,There/isn’t/a/place/to/make/it/here.,There/wasn’t/an/angel/to/meet/in/hell.,There wasn’t/a good/place to/hide/her/hidden/money/here.,Do you/have to/buy a/story/book/to/read/now?,Can/you/lend/me/a/compass/to/use?,There aren’t/five/bananas/to/eat/on/the/table.,There wasn’t/a place/to hide/a/lot/of/silver/here.,There weren’t/two/radios/to/use/in/your/room.,His/mother/can/give/you/a/book
12,Can/his/son/imagine/your/ideal/future?,Our/dog/can‘t/bite/you,Will she/read/your/diary/to/know/you/well?,Your/grandfather/will/dance/like/that/wolflikes,time/to/interview,a/flower/to/pick,the/subject/to/learn,One/running/wolf,a/piece/of/pizza,There/isn’t/a/magazine/to/show/him,There isn’t/the/king/to/marry/in/the/palace,There isn’t/a wiper/to/wipe/ultra/find/dust/here.,There/is/a/rude/boy/next/to/you,Was there/a cup/of grape/juice to/drink/in/your/house?,There/wasn’t/a/place/to/use/wi-fi/there.,Why don’t/you/meet/a/teacher/to/help/me?,I don’t/have/any/wet/tissue/to/lend/you.,Are/there/five/yellow/balloons/in/your/pocket?,There wasn’t/a son/to be/a/king/in/the/palace.,There/were/three/dirty/pigs/on/your/desk.,There/isn’t/an/important/picture/to/show/him.
