INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,그 원숭이는 사랑받습니다.,그 소녀s들은 알려진다. ,나는 먹힌다.,그 구름은 연구될 것이다. ,A 뱀은 살해당할 수 있다. ,the banana는 맛있게 요리되어야만 된다. ,난 그 호랑이를 먹었다.,난 두 대의 고장 난 라디오s를 수리했다.,난 the 성을 내일 설계할 수 있다. ,"사실, 저 하얀색 꽃은 네 것이다. ",넌 그의 죽음에 대한 a 결정적인 증거를 가지고 있니?,너의 차위에 있는 빨간 꽃 한 송이 ,노래 부르길 원치 않는 그 가수 ,네가 가지고 있는 그 꽃,넌 많은 금을 가진 a 할아버지를 만나 본 적이 있니?,당신은 a 시각장애인을 도와준 적이 있습니까?,만약 네가 지금 a 호랑이라면,만약 네가 작년에 a 호랑이였다면 ,내 차가 지금 고장 났다.,a 검은 장미가 the 책상 위에 없었다.,an 개미는 an 코끼리를 먹었다.
1,그녀의 손목이 꺾인다. ,뱀s 두 마리가 잡힌다. ,나는 주먹에 맞는다.,나의 영어성적은 향상되지 않을 것이다. ,the 회의는 취소될 수 있다. ,그들의 결혼은 취소되어야만 한다.,그 호랑이는 나에게 먹혔다. ,두 대의 고장 난 라디오는 나에게 수리되었다.,the 성은 내일 나에게 설계될 수 있다.,"사실, 그 빨간 꽃은 내 것이 아니다. ",난 그의 죽음에 대한 a 결정적인 증거를 가지고 있다.,당신 귀 속에 있는 the 소금 ,축구하기를 원치 않는 한 축구선수,난 네가 가지고 있는 그 꽃을 팔 수 있다. ,난 많은 금을 가진 a 할아버지를 만나 본 적이 있다.,난 a 시각장애인을 도와준 적이 있습니다.,넌 무엇을 할 건데?,넌 나를 먹을 수도 있었다.,네가 그 차를 어제 수리해야만 했는데. ,그 강아지가 the 검은 장미를 틀림없이 먹었을 거다.,an 코끼리는 an 개미에게 먹혔다.
2,A 노래는 적힌다. ,그녀의 두 손s은 씻겨진다. ,나는 만들어진다.,그 수업은 끝날 것이다. ,그녀의 정원은 청소될 수 있다. ,그 책상은 만들어져야만 한다. ,난 그 달걀을 요리했다.,a 도둑이 그녀의 두 남동생을 붙들었다.,그들이 그 무서운 늑대s들을 도왔다. ,그러나 a 노란 꽃은 그녀 것이다.,난 그의 죽음에 대한 a 결정적인 증거가 없다.,the 창공에 있는 an 광고풍선 ,the 피아노 치기를 싫어하는 그 피아니스트,the 영어책을 가진 너의 아들,난 많은 금을 가진 a 할아버지를 만나 본 적이 없다.,전 a 시각장애인을 도와준 적이 없습니다.,만약 오늘 내가 a 무지개라면 ,네가 만약 3년 전에 a 나무였다면 ,난 너무 피곤해. ,그 강아지가 the 검은 장미를 먹었을지도 모른다.,3마리의 새s가 a 하마를 공격할 수 있다.
3,역사는 만들어진다. ,원숭이s 7마리는 먹힌다. ,나는 밀린다.,a 가격이 싼 잡지는 팔리지 않을 것이다. ,난 서울로 보내질 수 없다. ,역사는 정확하게 기록되어야만 한다. ,그 달걀은 나에게 요리되었다.,그녀의 두 남동생은 a 도둑에게 붙들렸다.,그 무서운 늑대s들은 그들에게 도움을 받았다.,그러나 the 슬라이드 폰은 그의 것이다.,넌 자기 전에 a 수면제를 복용하고 싶니?,너의 침대 위에 있는 the 접착제 ,연구하는 것을 원하지 않는a 과학자,난 the 영어책을 가지고 있는 너의 아들을 만나지 않는다.,넌 the 구름 위에서 a 울고 있는 호랑이를 본 적이 있니? seen,넌 a 달팽이와 달려 본 적이 있니?,난 a 구름 위에 살 텐데. ,난 너를 그녀에게 팔 수도 있었다. ,내가 지난밤 일찍 자야만 했는데.,그녀는 a 녹색 사과를 좋아했다.,a 하마는 세 마리의 새s에게 공격받을 수 있다.
4,그녀의 우산은 펴진다.,늙은 고양이s들이 소개된다. ,나는 치료받는다. ,그녀의 창문은 열릴 것이다.,의자s 3개가 수입될 수 있다. ,그 문제는 곧 해결되어야만 한다.,네가 그 축구공을 찾았다.,난 the 선생님의 귀s를 당겼다.,난 너의 90명의 딸s을 내일 꼬집을 거다.,비록 the 꽃이 우리들의 것이 아님에도 불구하고,나는 자기 전에 a 수면제를 복용하고 싶다.,a다리(bridge) 아래에 있는 a 붉은 구름,생각하기를 싫어하는 그 예술가,많은 산s을 가진 a 도시,난 the 구름 위에서 a 울고 있는 호랑이를 본 적이 있다. ,난 a 달팽이와 달려 본 적이 있다.,만약 내가 지금 a 나무라면 ,만약 그가 지난주에 the 바람이었다면 ,난 the 시험에 떨어졌다.,the 녹색 사과도 그녀를 좋아했던 것이 틀림없다.,나의 개는 a 기린의 코를 발로 찰 것이다.
5,그녀의 노래는 기억되어 진다. ,그 소년s들은 물린다. ,나는 기억된다.,그녀의 높은 코는 기억될 것이다. ,넌 a 유명한 도둑으로 알려질 수 있다. ,그녀의 이름은 영원히 기억 기억되어야만 한다.,그 축구공은 너에게 발견되었다.,the 선생님의 귀s는 나에게 당겨졌다.,너의 90명의 딸s들은 내일 나에게 꼬집히지 않을 것이다.,the 엄청 힘센 개구리가 그들 것이기 때문에,나는 자기 전에 a 수면제를 복용하고 싶지 않아.,많은 아들s을 가지고 있는 a 여우,the 아픈 간호사를 돌보려고 하는 그 의사,난 많은 산s을 가진 a 도시에 살려고 한다.,난 the 구름 위에서 a 울고 있는 호랑이를 본 적이 없다.,난 a 달팽이와 달려 본 적이 없다.,난 많은 동물들을 행복하게 만들 텐데.,그는 나를 시원하게 만들 수도 있었다.,네가 더 열심히 공부했어야만 했는데. ,the 녹색 사과도 그녀를 좋아했을지도 모른다.,a 기린의 코는 나의 개에게 차일 것이다.
6,그의 차는 사용된다.,그들은 받는다. ,나는 사용된다.,그 야구공은 the 미래에 발명될 것이다. ,난 쉽게 잡힐 수 없다. ,그의 책이 오늘 배달되어야만 한다.,그녀가 the 기차를 발명했다.,난 두 개의 테이블s를 밀었다.,그녀가 두 송이의 장미s를 버렸다. ,"옛날엔, the 엄청 작은 개미는 네 것이었다.",넌 the 세상에서 the 제일 비싼 사탕을 살 수 있니?,눈 세 개를 가진 the 뱀 ,그 의사와 결혼하려고 하는 그 간호사,세계 역사를 공부할 수 없는 a 학생,넌 그가 본 the 영화를 본 적이 있니?,넌 그를 중국에서 만나 본 적이 있니? ,만약 네가 지금 a 돼지라면 ,만약 네가 5개의 귀s를 작년에 가지고 있었다면 ,그가 너에게 더 열심히 영어를 가르쳤어야만 했는데.,그녀는 나와 춤을 추지 않았다.,a 고양이가 a 쥐에게 먹을 것을 주어야만 한다.
7,그 문은 잠겨진다. ,그 신발s들은 세탁된다. ,나는 명령을 받는다. ,A 부자 돼지는 도움을 받을 것이다. ,나의 더러운 입은 씻겨질 수 있다. ,그 사기꾼은 체포되어야만 한다.,the 기차는 그녀에 의하여 발명되었다.,두 개의 테이블s는 나에게 밀렸다.,두 송이의 장미s가 그녀에 의해 버려졌다.,"요즘, 저 빨강색 차는 그녀 것이다.",난 the 세상에서 the 제일 비싼 사탕을 살 수 있다.,많은 책s을 가진 a 작은(little) 도서관,한국어를 가르치려고 하는 그 영어 선생님,세계사를 공부할 수 없는 그 학생이 나의 아들이다.,난 그가 본 the 영화를 본 적이 있다.,난 그를 중국에서 만나 본 적이 있다. ,넌 누구랑 결혼 할 건데?,난 그 소리를 정확하게 들을 수도 있었을 텐데. ,그가 지금 the 세상에서 the 제일 부자다. ,그녀의 남자친구가 그녀를 감시한 것이 틀림없다.,a 쥐는 a 고양이에게 먹을 것을 받아야만 한다.
8,a 가난한 소녀는 도움을 받는다. ,잘생긴 소년s들은 초대된다. ,나는 꾸중 듣는다.,그 게으른 개미는 먹히지 않을 거다. ,많은 원숭이s들이 먹힐 수 있다. ,그는 명령을 받아야만 한다.,그들이 역사를 만들었다.,난 나무 두 그루s를 잘랐다.,난 a 불쌍한 여왕을 숨겨주었다.,"옛날엔, the 스테이플러는 엄마 것이었다.",난 the 가계에서 the 제일 비싼 사탕을 살 수 없다.,훌륭한 의사s를 많이 가진 a 병원,the 부자 개를 도와주려고 하는 한 불쌍한 학생,많은 귀여운 꽃s을 가진 a 정원,그가 본 the 영화를 본 적이 없다.,난 그를 중국에서 만나 본 적이 없다.,만약 내가 지금 금이라면 ,만약 내가 작년에 하나님을 만났더라면 ,그녀가 그와 결혼해야만 했는데.,난 그녀의 남자친구가 그녀를 감시했을지도 모른다고 생각해.,a 큰 곰은 the 상처 입은 거미를 치료하지 않을 것이다.
9,the 검은 태양은 연구된다. ,많은 야구 방망이s는 사용된다. ,난 숨겨진다. ,a 모래성이 만들어질 것이다. ,나는 ‘말’이 라고 불러 질 수 없다. ,그 문제는 연구되어야만 한다. ,역사는 그들에 의해 만들어졌다.,두 그루의 나무s가 나에게 잘렸다.,a 불쌍한 여왕은 나에게 숨겨졌다.,"요즘, the 중고 드릴은 아빠 것이다.",넌 the 숲속에 있는 a 몰카를 훔칠 수 있니?,8그루의 나무s를 가지고 있는 그 작은 섬,the 바다에 가려고 하는 그 나무꾼,난 많은 귀여운 꽃s을 가진 a 정원에 살고 싶다.,넌 그 유명한 노래를 불러본 적이 있니? ,넌 그와 같이 저 연못에서 수영해 본 적이 있니? ,난 나 자신을 너에게 줄 텐데. ,난 the 세계의 역사를 바꿀 수도 있었을 텐데.,그녀가 그와 결혼하지 말아야만 했는데.,어제 그 개구리가 행복하게 보였다.,the 상처 입은 거미는 a 큰 곰에게 치료받지 않을 것이다.
