INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Can't/you/take/a/shower/now?,I/can't/eat/black/sugar.,Do/you/want/to/punch/me?,I/want/to/take/a/sleeping/pill.,I don't/want/to/burn/the/tree/in/winter.,Can't/you/explain/an/easy/question?,Do you/have to/make/a/chair/with/this/tree?,I/have/to/fold/my/arms,I don't/have/to/take/out/five/pink/pencils,Did you/have to/buy/two/premium/cars/last/night?,I didn't/have/to/teach/Korean/history/to/you.,I/had/to/drink/and/drive/last/night,I want/to/go/to/the/Venus/with/you.,Would you/like/to/eat/some/bread/for/breakfast?,I'd /like to/mark/this/with/a/black/marker.,Will/you/give/me/a/ride/tomorrow?,I'll/treat/you/like/a/queen.,I’ll/not/taste/the/black/salt.,Do//it!,Why/don’t/you/do/it?,Do/you/have/to/invite/her?
1,Can't/you/take/Vitamin/A/for/your/eyes?,I/can't/meet/you/at/6/o'clock.,Do you/want/to/go/out/at/10/o'clock?,I want/to/show/my/black/teeth/to/him.,I don't/want to/ride/an/angry/bird/in/spring.,I don't/want to/sing/a/sad/song/in/fall.,Do/you/have/to/wake/up/at/10?,You/have/to/work/with/his/brother.,You don't/have to/drink a/lot of/water/like/an/octopus.,Did/you/have/to/pass/the/simulation/test?,I didn't/have to/invite the/manager/to/my/birthday/party,I had/to invite/his/brother/to/my/birthday/party.,I don't/want/to/meet/the/car/thief/tonight.,Would/you/like/to/sing/a/song/loudly?,I'd/like/to/see/you/next/weekend.,Will/you/go/out/at/10?,I/will/do/everything/with/you,I’ll not/give/my/expensive/ball/to/the/driver.,Don't/do/it!,Can/you/do/it?,I have/to/invite/her/to/a/halloween/party.
2,Can't/you/take/Vitamin/B/for/sleeplessness?,You can't/eat/dinner/with/him/at/8/o'clock.,Do you/want/to/read/an/easy/English/book?,I/want/to/marry/the/staff/next/year.,I don't/want to/play chess/with/my/mentor/in/fall.,I/can't/understand/basic/English/grammar/now.,Do/you/have/to/wake/her/up/now?,I/have/to/cheer/my/team.,I/don't/have/to/marry/her/in/Seoul.,Did you/have to/manage/the/system/with/my/manager?,I/didn't/have/to/choose/the/premium/skirt,I/had/to/choose/monitors.,I/want/to/see/horseshoes/tomorrow.,Would/you/like/to/join/the/magic/club?,I'd/like/to/buy/some/lilies.,Will/you/wake/up/at/10?,I'll/go/home/soon,I’ll/not/do/it/with/you/next/year.,"Please,/do/it!",I'm/not/going/to/do/it.,I don't/have to/invite/her/to/a/halloween/party.
3,Can't/you/take/Vitamin/C/for/a/cut?,I/can't/monitor/them/this/evening.,Do you/want/to/sleep/in/the/clean/garden?,I/want/to/count/numbers/in/English.,I don't/want to/clean/this/messy/street/in/summer.,I don't/want to/talk/about/the/event/with/you.,Do/you/have/to/sleep/in/my/office?,You have/to/catch/the/jellyfish/with/your/hands.,I don't/have/to/get/off/the/bus/now.,Did you/have to/meet a/new soccer/coach/two/days/ago?,I didn’t/have to/go to/the/park/with/their/dog,I/had/to/choose/monitors/carefully.,Can't/you/sell/her/short/skirt/to/me?,Would/you/like/to/order/some/cold/coffee?,I'd/like/to/filter/coffee.,Will/you/pay/for/lunch?,I'll/dance/on/the/street.,I’ll/not/fight/against/you/anymore.,"Please,/don’t/do/it!",I/can/do/it.,I didn't/have to/turn on/the/light/in/your/room.
4,Can't/you/take/Vitamin/D/for/healthy/bones?,You/can't/pick/the/best/student.,Do you/want to/send a/hot ice/cream/to/me/?,I want/to build/a small/house/on/the/green/hill.,I don't/want to/talk/about/the/project/with/you.,Can't/you/make/a/cold/sun?,Do you/have to/send/a/warm/potato/to/me?,I/have/to/wash/their/tears.,I don't/have/to/get/on/the/bus/now.,Did you/have/to/dance/hard/three/days/ago?,I/didn't/have/to/dry/his/wet/gloves.,I/had/to/cut/his/wet/hair/again.,Do you/want/to/change/your/password/to/1111?,Would you/like to/go to/the/premium/hospital/with/me?,I'd/like/to/travel/around/the/world.,Will/you/send/me/fresh/potatoes/tomorrow?,I will/solve the/problem/like/this/in/this/case,I’ll/not/prove/it/to/you.,Let's/do/it!,I'm/going/to/do/it.,I didn't/have to/turn off/the/light/in/your/room.
5,Can't/you/dance/with/her/all/night?,I/can't/arrive/in/New/York/early.,Do/you/want/to/know/her/homepage?,I/want/to/take/a/rest/after/lunch.,I/don't/want/to/steal/the/police/car.,I/don't/want/to/play/the/bamboo/flute.,Do you/have to/cut/the/paper/with/your/hands?,You/have/to/wipe/their/sad/tears/everyday.,You don't/have/to/listen/to/the/chorus/again.,Did/you/have/to/cook/salad/for/dinner?,I/didn't/have/to/help/a/troubling/teacher.,I/had/to/choose/a/talented/korean/student.,Do/you/have/to/enter/this/castle?,Would/you/like/to/sit/over/there?,I'd/like/to/introduce/myself/to/you.,Will/you/steal/their/I.D?,I'll/do/nothing/in/this/case.,I’ll/not/waste/water/and/money.,Let's/not/do/it!,Do/you/have/to/do/it?,Can’t you/sing/with/her/on/the/round/table?
6,Can't/you/fix/the/broken/helicopter?,I/can't/remove/ultra/fine/dust/now.,Do/you/want/to/count/your/students?,I want/to/be/a/queen/in/the/future.,I don't/want to/count a/lot/of/grapes/in/English.,You can’t/go to/the/talk/show/with/your/aunt.,Do/you/have/to/pay/for/the/flowers?,You/have/to/pay/for/lunch/this/week.,I/don't/have/to/eat/the/cheater’s/watermelon.,Did you/have/to/go/to/her/store/yesterday?,I didn't/have/to/study/hard/like/your/friend.,I/had/to/run/away/like/light,Do you/have/to/eat/Italian/food/with/me?,Would you/like/to/sing/a/song/with/me?,I'd/like/to/invite/you/again.,Will/you/introduce/him/to/me?,I'll/cut/Pinocchio's/nose/this/Tuesday,I’ll/not/water/the/flowers/at/nine/o'clock.,Why/don’t/you/do/it?,Are/you/going/to/do/it?,I can't/sing/with/her/on/the/round/table.
7,Can't/you/eat/dinner/with/me/this/evening?,You/can't/massage/my/right/hand.,Do you/want/to/work/on/that/high/mountain?,I/want/to/lie/on/the/floor.,I don't/want/to/live/in/the/igloo/forever.,I don’t/want to/sit/with/them/side/by/side.,Do you/have/to/work/on/the/full/moon?,You/have/to/go/there/on/time.,You don't/have/to/come/here/early/tomorrow/morning.,Did you/have to/change/your/piano/four/days/ago?,I/didn't/have/to/invent/a/smart/robot.,I had/to invent/a/smart/robot/as/a/scientist,You/don't/have/to/touch/my/normal/lung.,Would/you/like/to/scratch/my/back?,I'd like/to/invite/you/to/my/birthday/party.,Will you/go/to/that/low/mountain/next/Tuesday?,I/will/live/here/with/my/family/forever.,I’ll/not/sleep/on/my/birthday.,Can't/you/do/it?,I/want/to/do/it.,I can/sing/with/her/on/the/round/table.
8,Can't/you/review/it/tomorrow?,I/can't/remember/the/important/scene.,Do/you/want/to/be/a/great/pianist?,I want/to/clean/my/messy/office/with/you.,I/don't/want/to/be/an/animal/doctor.,I/can't/remember/the/important/message.,Do you/have/to/be/a/famous/car/salesman?,I have/to /introduce/a/famous/doctor/to/them.,I don’t/have to/introduce/my/mother/to/my/father.,Did/you/have/to/remember/a/masked/thief?,I didn't/have to/go/downtown/with/a/lazy/cat.,I/had/to/sing/well/as/a/singer.,Do you/have to/go to/the city/hall at/10/o'clock/tomorrow?,Would/you/like/to/cure/the/wounded/player?,I'd like/to be/a/famous/wrestler/in/the/future.,Will/you/tell/me/a/shocking/news?,I/will/raise/animals/this/Wednesday.,I’ll/not/study/English/on/your/birthday.,Do/you/do/it?,Do/you/do/it?,Will you/go/to/Japan/by/rocket/this/weekend?
9,Can't/you/raise/camels/in/your/room?,You/can't/throw/a/baseball/far.,Do/you/want/to/drink/coffee/or/milk?,I/want/to/visit/her/this/weekend.,I/don't/want/to/be/a/bad/student.,I/want/to/get/out/of/here/now.,Do you/have to/take/a/vitamin/for/your/health?,You have/to/walk/to/the/scientist's/office/tomorrow.,You/don't/have/to/cheat/the/cheater.,Did/you/have/to/return/the/comic/book?,I didn't/have to/make a/lot of/friends/five/years/ago,I had/to/close/the/curtains/an/hour/ago.,Do you/have/to/read/a/science/book/loudly?,Would/you/like/to/pick/a/wedding/dress?,I'd/like/to/tell/my/story/to/you,Will/you/eat/mushroom/for/lunch?,I'll/decide/it/tomorrow.,I’ll/not/have/a/headache.,I/do/it.,I/don't/do/it!,I’ll/go/to/Japan/by/rocket/this/weekend.
