INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Doesn't he always turn up the volume? ,Doesn't she often protect the rabbit? ,Does she always break your record? ,Doesn't your mother keep her promise? ,Does she want to speak Japanese well? ,Will you lose the game? ,Could you help her swim yesterday? ,He doesn't like apples,Don't train the animal trainer! ,Who did you eat breakfast with? ,I tried to protect her this morning,Is/it/a/waste/of/time to/think about/bad times?,Why does he have to go home early?,Why/does/the/sick chick/have/to fly/like/a bird?,Does the pianist always have to sing well?,Did/the/dentist/have/to/cure/your teeth/last year? ,Did/the/poor/worker/have/to/steal/your peach?,Did/the/rabbit/have/to/fill/a/water bottle?,Does/she/use/a/lighter/to/melt/the ice?,Will/he/chew/the/bubble gum/to give/you?,Doesn't she play golf in the snow? 
1,He doesn't always turn up the volume,She doesn’t often protect the rabbit,She doesn’t always break my record,My mother doesn't keep her promise well,She wants to speak Japanese well,I'll win the game,I could help her swim yesterday,So he doesn't drink apple juice,I will not train the animal trainer,I ate breakfast with my father,But I couldn't protect her from a gangster.,It’s/a/waste/of/time/to/think about/bad times.,He/has to/go home/early/to take/care/of/his baby.,The/sick chick/has/to fly/like/a bird/to meet/God.,The pianist doesn't always have to sing well.,He had to cure my teeth last year.,The poor worker had to steal my peach.,The/the/rabbit/had/to/fill/a/water bottle.,She uses a lighter to melt the ice.,He/will/chew/the/bubble/gum/to give/me.,She plays golf in the snow
2,He always turns up the volume,But/she/often/protect/the/rabbit/from/a tiger.,"In fact, she sometimes breaks my record",My mother keeps her promise very well,She doesn't want to speak Japanese well,I'll lose the game,I couldn't help her swim yesterday,She cares about my dog every day,Get up early in the morning,What did you eat with your father? ,You don't help her hunt,It’s/not/a/waste of/time/to/think about/good times.,He/doesn't/have to/go home/early/to/take care of/his baby.,The/sick/chick/doesn't/have/to fly/like/a bird.,The pianist has to play the piano well.,He/didn't/have/to/cure/my/teeth/last year.,The/poor/worker/didn't/have/to/steal/my peach.,The/rabbit/didn't/have/to/fill/a/water bottle.,She/doesn't/use/a/lighter/to/melt/the ice.,He/won’t/chew/the/bubble/gum/to give/me.,She doesn't play golf in the snow
3,Doesn't he always play with an air bubble? ,Does she often eat five snakes? ,Doesn't he usually smoke under the water? ,Doesn't/his/mother/always/take/care/of/the child? ,Does she want to marry him next year?,Will/you/use/that/apple/to/cook/apple pie?,Could you cancel the project last year? ,So I care about her,If I get up early ,I ate tuna with my father,You/had/better/not/fight/with/the snowman/in summer.,Is/a/waste/of/money/to/buy/a mansion?,Why does she have to meet her daughter?,Where does the fox have to eat dinner?,Does/a/fisherman/have/to plant/a/pear tree/every year?,Did/the/animal/doctor/have to/cure/your/sick dog?,Did/he/have/to/cut/the/watermelon/in half?,Did/her/father/have to/do/aerobic/under/the water?,Does/an/ant/use/a ladder/to bite/the/elephant's ear?,Does/she/have/to/ride/a/horse/every day?,Does/he/want/to/give/her/a candy/to eat?
4,He doesn’t always play with an air bubble.,She often eats five snakes,He doesn't usually smoke under the water,His/mother/doesn't/always/take/care/of/the child,"Sure, she wants to marry him next year.",I/will/use/that/apple/to/cook/apple pie.,I could cancel the project last year,I couldn't help her mother yesterday,Will you get up early too? ,When can you swim with my cat? ,I/came/here/to/have/a/good weekend/with them.,It’s/a/waste/of/money/to/buy/a mansion.,She/has/to/meet/her/daughter/to give/flowers.,The/fox/has/to/eat/dinner/on/a tree,A/fisherman/doesn’t/have to/plant/a/pear tree/every day.,The/animal/doctor/had/to/cure/my/sick dog.,He had to cut the watermelon in half.,Her/father/had/to/do/aerobic/under/the water.,An/ant/uses/a/ladder/to bite/the/elephant's ear.,She has to ride a horse every month.,He/doesn't/want/to/give/her/a candy/to eat
5,He always plays with an air bubble,"As a result, she often goes to the hospital",It’s impossible to smoke under the water,His mother always takes care of the child,But/he/doesn't/want/to/marry/her/next year.,I/will/not/use/that/apple/to cook/apple pie.,I couldn't cancel the project last year,So her mother doesn't like me,Why don’t you check this puzzle tomorrow! ,"Sorry,/I/don't/want/to swim/with/your/rude cat",Don't/break/the/big/window/to/open/the door!,I have something to do tomorrow,She/doesn’t/have/to/meet/her daughter/to give/flowers.,Because/there/is/a hyena/under/a tree/to steal/his dinner.,The/farmer/has/to/plant/a/yellow tree/every hour,The/animal/doctor/didn't/have to/cure/my/healthy dog,He/didn’t/have/to/cut/the/watermelon/in half.,Her/father/didn't/have to/do/aerobic/under/the water.,An/ant/doesn’t/use/a ladder/to bite/the/elephant's ear.,She/doesn't/have/to/ride/a/horse/every year.,He/wants/to/give/her/a/candy/to eat.
6,Doesn’t/she/always/open/a/bottle/with/an opener?,Why/don’t/you/take/a/walk/with her/tomorrow?,Doesn't/the/rabbit/usually/smoke/in/front of/the tiger?,Doesn't/her/father/hit/a/grand/slam/every year?,Does/he/want/to/play/table tennis/with them/tomorrow?,Will/she/waste/a lot of/money/and/time/in America?,Could/you/make/a/giant/bubble/two hours/ago?,You played soccer for a long time yesterday.,"Sorry,/I/don't/have/time/to check/this puzzle/tomorrow.",And/I/don't/have/time/to swim/with your/rude cat.,Let's read her diary to find her secret!,I have nothing to do tomorrow,What/does/he/have/to/do/for/his country?,How/does/the/president/have/to help/a/poor cat?,Does/the/farmer/have/to/go/fishing/every Monday?,Did/the/principal/have/to/punish/your teacher/last week?,Did she have to support his decision? ,Did/your/mother/have to/buy/a/battery pack/last week?,Doesn't his mother know your top secret? ,Did she have to listen to him carefully?,Will he go shopping with her tomorrow? 
7,"In fact,/she/always/opens/a/bottle/with/a spoon.",I/want/to/take/a/walk/with her/next year,The/rabbit/usually/smokes/in/front/of/the tiger.,Her father hits a grand slam every year.,He/wants/to/play/table/tennis/with them/tomorrow.,She/will/waste/a lot of/money/and/time/in America.,I/could/make/a/giant/bubble/two hours/ago.,So you look tired today,I/will/go to/the/swimming pool/with/my/teddy bear,Don't worry about my rude cat,Let's/read/good/books/not/to/have/bad habits.,I have something to tell you,He/has/to/invent/a/great weapon/for/his country.,Because/a/poor/cat/doesn’t/have/any food/to eat,The fisherman has to go fishing every Tuesday.,The/principal/had/to/punish/my/teacher/last week.,She had to support his decision,Your/mother/had/to/buy/a/battery pack/last week.,His mother doesn't know my top secret,She had to listen to him carefully,He will go shopping with her tomorrow
8,But/she/doesn't/always/open/a bottle/with/an opener.,But/she/wants to/take/a/walk/with me/this week.,The/tiger/usually/smokes/in/front of/the rabbit/too.,Does his sister brush her teeth everyday? ,But/they/don't/want/to/play/table tennis/with him.,"No,/she/won’t/waste/a lot of/money/and time/in America.",I/couldn't/make/a/giant/bubble/two hours/ago.,They will not come here tomorrow,Do/you/have/your/family/picture/to show/me?,I will teach manners to my rude cat .,Why don't you sing and dance tonight! ,I have nothing to give you,He/doesn't/have/to invent/a/fake weapon/for/his country.,The/president/has/to/give/money/to buy/food.,"So,/the/farmer/doesn’t/have to/go/fishing/every Wednesday.",My/teacher/didn't/have/to/punish/the principal/last week.,She didn’t have to support his decision,Your/mother/didn't/have to/buy/a/battery pack/last week.,His mother knows my top secret,She didn't have to listen to him carefully.,He will not go shopping with her tomorrow.
9,Doesn't he always have eight eyes? ,Doesn't she want to make a lot of money?,They usually smoke face to face,Her sister never brushes her teeth,Does he want to dance with her? ,Will he burn dead trees this winter? ,Could they lead the team a week ago?,But I will come here with my dog,I/don't/have/my/family/picture/to show/you.,Where did you steal his fake watch? ,Do you wash your face to meet him?,I have something special to give you.,Who does she have to monitor him with?,Why/does/the/sun/have/to/go to/the moon? ,Does/the/art/teacher/have/to draw/your face/every Thursday?,Does she know this proverb? ,Did the farmer have to grow seedless fruits?,Did/he/have/to/talk/about/the orientation/with you?,Doesn't she have a magazine to read? ,He played soccer with my mother yesterday,Does/she/have/to/spend/a night/in/a bubble?
