INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,무슨 음식을 팔아야 할지,bluetooth 사용하는 법,넌 무엇을 사야 할지 알고 있니? ,난 너에게 a 킹크랩 잡는 법을 말했다.,그가 내일 무엇을 해야만 될 지 너에게 물어볼 것이다.,네가 그에게 여기서 나가라고 어제 말했니?,넌 내가 그 가족을 위해서 그것을 하길 원하니?,넌 왜 내가 나의 인생 이야기를 해주길 바라니?,"넌 a 무서운 아기다, 그렇지?","넌 a 개처럼 짖을 수 있다, 그렇지?",그가 그 노래의 the 제목을 알 수 있을 것이다.,너는 내가 a 지붕에서 일하고 있는 것을 보았니? ,난 네가 너의 신발s 벗는 것을 보았다. ,너의 머리 위에 있는 한 송이 하얀 꽃 ,the 숲 근처에 있는 a 여우,넌 나의 정원에 있는 a 하얀 꽃을 알고 있니?,넌 the 숲에 있는 a 여우를 만나야만 하니?,넌 the 나무 주위에 있는 the 검은색 개에게 갈 필요가 없다.,넌 어디에 사니?,넌 너의 엄마에게 하루에 몇 번 전화하니?,넌 몇 명의 한국인 친구s를 가지고 있니? 
1,무슨 책을 만들어야 할지,로그인하는 법,난 무엇을 사야 할지 모른다.,넌 그들에게 a 복사기 사용법을 말할 수 있다.,난 지금 무슨 책을 사야만 될지 모르겠다.,난 그에게 여기서 나가라고 어제 말했다.,난 네가 너의 나라를 위해 그것을 하길 원해.,"사실, 난 네가 너의 인생 이야기하는 것을 원하지 않아.",넌 무서운 아기가 아니다 그렇지?,"넌 나처럼 거짓말을 할 수 없다, 그렇지?",내가 그들을 무시할 수 있을 것이다.,난 네가 a 지붕에서 일하고 있는 것을 보았다. ,넌 내가 어디서 나의 신발s 벗는 것을 보았는데?,너의 주머니 안에 있는 그 빨간 꽃 ,a 연못 주위에 있는 a 늑대,난 the 나무 아래에 있는 the 무거운 돌을 옮긴다.,난 the 숲에 있는 a 여우를 만나야만 해.,넌 the 성안에 있는 the 왕자를 언제 만나려고 하니? ,난 한국에 산다.,난 나의 엄마에게 하루에 3번s 전화한다.,내가 몇 명의 한국인 친구s가 있는지 추측해 봐라!
2,무슨 문을 열어야만 할지 ,로그아웃하는 법,넌 내일 무엇을 해야 하는지 알고 있니?,우리는 너에게 the 세계 챔피언에게 도전하는 법을 말해주고 싶어.,난 어디에서 머리를 말려야 할지 모른다.,난 그에게 여기서 나가라고 말하지 않았다.,난 네가 세계평화를 위해 그것을 하는 걸 원하지 않아.,넌 그가 어디서 a 요리법을 배우길 원하니?,"그것은 an 못생긴 나무다, 그렇지?","그는 a 만화책을 읽을 수 있다, 그렇지?",그가 그 약속을 지킬 수 있을 것이다.,난 네가 a 지붕에서 일하고 있는 것을 보지 못했다. ,난 네가 a 탱크 운전하는 소리를 들었다.,그녀의 차 옆에 있는 노란 꽃 한 송이 ,나의 칫솔 위의 a 거미,넌 the 책상 위에 있는 a 개를 매년 만나니?,난 the 숲에 있는 a 여우를 만날 필요가 없다.,넌 왜 the 말 위에 있는 a 불쌍한 왕을 속이려고 노력했니?,그녀는 어디에 살고 있니?,넌 어제 그녀를 몇 번s 만났니?,난 네가 몇 명의 한국인 친구s가 있는지 추측할 수 없다. 
3,무슨 숫자를 기억해야 할지,공기 없이 사는 법,난 내일 무엇을 해야 할지 알고 있다.,그들은 a 원숭이에게 a 사자를 물리치는 법을 가르쳐 주려고 한다.,그는 어디에서 머리를 말려야 할지 모른다.,넌 그에게 이 발음을 반복하라고 말했니?,넌 내가 그녀를 인터뷰하길 원했니?,난 그가 내 앞에서 a 요리법을 배우길 원해.,"그것은 an 못생긴 나무가 아니다, 그렇지?","그는 a 만화책을 읽을 수 없다, 그렇지?",그녀가 뒤를 돌아 볼 수 있을 것이다.,난 네가 the 교실 안에서 노래하는 것을 보았다.,난 a 탱크를 운전할 수 없어.,너의 집 뒤에 있는 검은 호랑이 한 마리,a 별 뒤에 있는 the 가난한 여우,난 너의 주머니 속에 있는 the 개를 좋아해.,넌 the 연못 속에 있는 the 늑대를 언제 구해 줄 거니? ,넌 내가 the 문 여는 소리를 어떻게 들었니?,그녀는 일본에 살고 있다.,난 어제 그녀를 다섯 번s 만났다.,당신은 얼마나 많은 책s을 가지고 있습니까? 
4,무슨 번호를 눌러야 할지 ,a 슈퍼맨처럼 행동하는 법,넌 어떤 과목을 공부해야 하는지 알았니?,그녀는 너에게 a 코브라처럼 춤추는 법을 물어볼 것이다.,난 a 버턴 수리하는 법을 너에게 가르쳐 주고 싶지 않다.,난 그에게 이 발음을 반복하라고 말했다.,난 네가 그녀를 인터뷰하길 원했다.,난 그가 내 옆에서 a 요리법을 배우는 것을 원치 않아.,"그는 an 늙은 뱀이다, 그렇지?","그녀는 이것을 ‘광고풍선’이라고 부를 수 있어, 그렇지?",나는 그녀를 돌볼 수 있을 것이다.,넌 내가 the 교실에서 노래하는 것을 언제 보았는데?,난 네가 나 앞에서 a 실수하는 것을 보고 싶다. ,그의 차 아래에 있는 the 고양이 ,the 칠판 아래에 있는 the 검은 분필,넌 the 책속에 있는 the 이상한 단어를 기억하니?,난 the연못 속에 있는 the 늑대를 내일 구해 줄 거다.,"그때, 넌 혼자 the 길에서 자고 있었니?",그녀는 요즈음 일본에 살지 않는다.,넌 나랑 어디서 저녁을 먹기를 원하니?,난 내가 몇 권의 책s을 가지고 있는지 추측할 수 없다.
5,무슨 선물을 선택해야 할지,a 야구글러브를 끼는 법,난 어떤 과목을 공부해야 하는지 몰랐다.,그는 너에게 그녀를 놀라게 하는 법을 말하지 않았다.,넌 그에게 어디서 공짜 티켓s을 받아야 하는지 말해주었니? ,난 그에게 이 발음을 반복하라고 말하지 않았다.,난 네가 그녀를 인터뷰하는 걸 원하지 않았다.,the 의사는 나에게 마약을 끊어라고 충고할 거다.,그는 an늙은 뱀이 아니다. 그렇지?,"그녀는 이것을 ‘광고풍선’이라고 부를 수 없다, 그렇지?",당신은 나를 향하여 달릴 수 있을 것이다.,난 네가 the 시청에서 노래하는 것을 어제 보았다.,난 a 개가 너를 차는 것을 보았다.,나의 가방 안에 있는 the 필통 ,너의 지붕 아래 있는 a 어린 왕자,난 너의 집 주위에 있는 a 힘센 곰을 만날 수 있다.,난 the 연못 속에 있는 the 늑대를 영원히 구해 주지 않을 거다.,난 지금 네가 나에게 말하고 있는 것을 이해하지 못한다. ,넌 그녀가 요즈음 어디에 사는지 알고 있니?,난 ABC 식당에서 저녁을 먹고 싶어.,난 내가 몇 권의 책s을 가지고 있는지 추측할 수 있다.
6,어디서 길거리음식을 먹어야 할지,a 휴대폰을 켜는 법,넌 무슨 컴퓨터를 주문해야 하는지 알고 있니?,난 그들에게 a 노트북 사용법을 가르쳐 주지 않았다.,난 그에게 어디서 공짜 티켓s을 받아야 하는지 말해주지 않았다.,넌 엄마에게 그것을 비밀로 지켜달라고 말하려고 하니?,넌 내가 그녀를 위해 무슨 노래를 부르길 원하니?,나의 엄마는 그에게 술을 끊어라고 충고했다.,"그의 별명은 늑대야, 그렇지?","우리는 그를 놀라게 할 수 있어, 그렇지?",그녀가 the 빵집의 이름을 알 수 있을 것이다.,난 네가 the 교회에서 노래하는 것을 보지 못했다.,넌 그 고양이가 죽어가는 것을 보았니?,너의 치마 옆에 있는 a 헤어핀 ,the 이야기 속의 a 여왕,난 당신 가계에 있는 the 제일 비싼 차를 살 수 있다.,넌 the 거지에게 a 새우를 줘야만 하니?,그는 언제 the 오리를 요리하려고 합니까? ,난 그녀가 요즈음 어디에 사는지 모른다.,넌 ABC 식당에서 저녁을 먹기를 정말로 원하니?,그녀는 몇 대의 고물차s를 가지고 있습니까?
7,어디서 그녀의 친구를 만나야 될지,a 몰카를 찾는 법 ,난 무슨 컴퓨터를 주문해야 할지 모른다.,그는 너에게 건조한 피부 관리를 어떻게 하는지 말하지 않았다.,그는 나에게 어디서 무료 이모티콘s을 받는지 말할 것이다.,넌 그녀에게 a 책을 좀 빌려달라고 건방지게 부탁했니?,난 네가 그 행복한 분위기를 위해 Happy song을 부르길 원해.,나의 사장은 너에게 더 열심히 공부하라고 충고했다.,"그의 별명은 늑대가 아니다, 그렇지?","우리는 그를 놀라게 할 수 없어, 그렇지?",그 교장선생님은 학생s들을 벌 줄 수 있을 것이다.,난 바나나s를 포장하려고 해.,난 그 고양이가 on the 도로에서 죽어가는 것을 보았다.,a 책상과 a 의자 사이에 있는 the 교복 ,the 망치 위에 있는 a 왕,난 the 운동장에 있는 a 축구공을 찰 수 있다.,a 충격적인 뉴스가 있니?,그녀는 왜 the 책 속에 있는 the 동전을 녹이고 있니? ,난 그녀가 요즈음 어디에 사는지 궁금하다.,"사실, 난 ABC 식당에서 저녁을 먹고 싶지 않아.",그녀는 3대의 고물차s를 가지고 있다.
8,어디서 a 무지개를 만들어야 할지,담배를 끊는 법,넌 그녀에게 무엇을 주어야 하는지 알고 있니?,그는 나에게 무슨 노트북을 교환해야 할지 물어보았다.,그는 너에게 언제 the 게임을 끝내야 하는지 말하지 않을 것이다.,난 그녀에게 a 책을 빌려달라고 조심스럽게 부탁했다.,난 네가 그 전쟁을 위해 Happy song을 부르길 원하지 않는다. ,그는 나에게 the 운전 면허시험에 떨어지지 말라고 충고 할 수 있다.,"우리는 하나다, 그렇지?","그들은 a 요리책을 훔칠 수 있다, 그렇지?",내가 그의 발표를 들을 수 있을 것이다.,난 네가 바나나s 포장하는 것을 보고 싶어.,난 네가 a 큰 호랑이와 싸우는 것을 보고 싶다.,the 비행기 아래에 있는 the 강아지,the 달걀 위에 있는 the 키 큰 왕자,난 너의 머릿속에 있는 the 지혜를 훔칠 수 있다.,a 충격적인 뉴스가 있다.,그녀가 더 이상 the 동전이 필요하지 않기 때문에,그녀가 왜 너를 주먹으로 쳤는지 나에게 말해라.,왜 넌 the 수학 선생님을 방과 후에 만나고 싶어 하니?,그녀는 7대의 고물차s를 가지고 있지 않다.
9,어디서 러시안룰렛을 해야 할지,학생들에게 영어를 가르치는 법,난 무엇을 그녀에게 주어야 할지 모른다.,그는 나에게 a파티에서 무엇을 해야 할지 말했다.,그녀가 너에게 잘 싸우는 방법을 가르쳐 주지 않니?,난 그녀에게 a 책을 빌려달라고 큰소리로 부탁하지 않았다.,넌 내가 너를 위해 죽기를 바라니?,the 의사는 나에게 나의 습관을 바꾸지 말라고 충고했다.,"우리는 하나가 아니다, 그렇지?","그들은 a 요리책을 훔칠 수 없어, 그렇지?",그의 아빠가 the 동굴에 머무를 수 있을 것이다.,넌 언제 바나나s를 포장하려고 하는데?,넌 내가 a 거울 앞에서 우는 것을 보고 싶어?,a 연필 위에 있는 an 개미,a 일본지도 뒤에 있는 나의 돈,넌 the 길 위에 있는 a 돌을 던질 수 있니? ,읽을 a 책이 있니?,그녀는 언제 the 버스 안에 있는 the 쓰레기를 청소하려고 합니까? ,"미안, 난 그녀가 왜 나를 주먹으로 쳤는지 너에게 말해 줄 수 없다.",왜 내가 그녀를 만나고 싶어 하는지 추측해 봐라!,그녀가 매일 몇 권의 책s을 읽습니까?
