INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Are/you/a/tall/girl?,Are/you/very/happy/today?,Were/you/a/kind/girl/a/year/ago?,Is/she/dirtier/than/you?,Are/you/much/prettier/than/she?,Were/they/older/than/I?,Is/this/sofa/more/comfortable/than/that/stone?,Is/your/car/the/best/car/here?,Is/his/mouth/bigger/than/yours?,Is/this/apple/more/expensive/than/that/apple?,Do/you/think/she/is/beautiful?,What/I/do/every/day,The/playground/where/I/eat/apples,The/time/when/you/came/here,I/live,Do you/know/if/he/can/swim/or/not?,Who/do/you/think/he/is?,This/isn’t/a/very/good/dog,Why/did/you/go/out/before/breakfast?,Why/doesn't/she/study/English/every/day?,Who/do/you/think/can/swim/faster?
1,I'm/a/tall/girl,I'm/very/happy/today,I/was/a/kind/girl/a/year/ago.,She's/dirtier/than/I,I'm/much/prettier/than/she,They/were/older/than/you,This/sofa/is/more/comfortable/than/that/stone.,My/car/is/the/best/car/here,His/mouth/is/much/bigger/than/mine,This/apple/is/more/expensive/than/that/apple.,I/think/she/is/beautiful,Do/you/know/what/I/do/every/day?,The/kitchen/where/I/learn/a/recipe,I don't/know/the/time/when/you/came/here.,Where/I/live,I don't/know/if/he/can/swim/or/not.,Why/do/you/think/she's/here?,Is/his/mother/young?,Because/somebody/knocked/on/the/door,I/don't/knowAsk/her.,Do you/think this/problem is/more/difficult/than/that/problem?
2,I'm/not/a/tall/girl,I'm/not/very/happy/today,I/wasn’t/a/kind/girl/a/year/ago.,She/isn’t/dirtier/than/I,I'm/not/much/prettier/than/she,They/weren't/older/than/you,This/sofa/isn’t/more/comfortable/than/that/stone.,My/car/isn't/the/best/car/here,His/mouth/isn't/much/bigger/than/mine,This/apple/isn’t/more/expensive/than/that/apple.,I/don't/think/she's/beautiful,I/don't/know/what/you/do/every/day,The/classroom/where/I/dance,The time/when you/danced with/me for/the/first/time,Do/you/want/to/know/where/I/live?,I/know/if/he/can/swim/or/not.,Where/do/you/think/I/have/to/study?,His/mother/is/very/young,Will/you/meet/her/this/afternoon?,Don't/they/check/missed/calls/every/night?,I/can't/guess/how/old/you/are
3,Is/she/a/very/fat/mother?,Is/she/very/sick?,Was/she/a/very/rude/mother/yesterday?,Is/he/poorer/than/I?,Are/you/much/poorer/than/he?,Is/she/heavier/than/you?,Is/she/more/popular/than/you?,Is/this/the/worst/grade?,Is/he/the/best/singer/in/the/world?,Is/she/the/most/popular/singer/in/Korea?,Do you/think you/are the/most/popular/pianist/in/Korea?,I/know/what/you/do/every/day,The/room/where/I/sing,I don't/know the/time when/you danced/with me/for the/first time,I/want/to/know/where/you/live,Do you/know if/a dog/cries like/your/mother/or/not?,When do/you/think/they/can/dance/with/me?,His/mother/isn’t/very/young,I’ll meet/her/to/give/the/newspaper/to/her.,Doesn't/she/check/missed/calls/every/evening?,This is/the playground/where we/met/for/the/first/time.
4,She's/a/very/fat/mother,She's/very/sick,She/was/a/very/rude/mother/yesterday,He/is/poorer/than/I,I'm/much/poorer/than/he,She/is/heavier/than/I,She/is/more/popular/than/I,This/is/the/worst/grade,He/is/the/best/singer/in/the/world,She/is/the/most/popular/singer/in/Korea.,I think/I'm/the/most/popular/pianist/in/Korea.,What/you/want/to/buy,The/school/where/I/study/every/day,The/day/when/they/helped/you,He's/tall,I know/if a/dog cries/like/my/mother/or/not.,What/do/you/think/she'll/eat/for/dinner?,Is/your/country/colder/than/Korea?,Are you/going to/stay/here/to/punch/the/robber?,Doesn't/he/check/missed/calls/every/morning?,I don't/know the/reason why/she’s/crying/under/a/tree.
5,She/isn’t/a/very/fat/mother,She/isn’t/very/sick,She/wasn’t/a/very/rude/mother/yesterday,He/isn’t/poorer/than/me/I,I'm/not/much/poorer/than/he,She/isn’t/heavier/than/I,She/isn’t/more/popular/than/I,This/isn’t/the/worst/grade,He/isn’t/the/best/singer/in/the/world,She/isn’t/the/most/popular/singer/in/Korea.,I don't/think I'm/the/most/popular/pianist/in/Korea.,Do/you/know/what/I/want/to/buy?,The/place/where/I/hide/my/pocket/money,I/remember/the/day/when/they/helped/me,How/tall/he/is,I don't/know if/a dog/cries like/my/mother/or/not.,How/do/you/think/she/solved/the/puzzle?,My/country/isn’t/colder/than/Korea,I'm going/to/stay/here/to/punch/the/robber.,Don't you/say/‘Good/morning’/to/them/every/morning?,Will you/buy/me/what/I/want/to/eat?
6,Is/he/a/skinny/boy?,Is/your/mother/very/good?,Was/he/a/slow/boy/last/month?,Are/they/smarter/than/she?,Is/she/much/wiser/than/they?,Is/she/lighter/than/air?,Is this/ice/cream/much/better/than/that/apple?,Is your/grandfather the/most/popular/singer/in/the/world?,Is/his/song/the/best/song/in/Korea?,Is/that/a/salty/peach?,Do/you/know/this/is/a/great/decision?,I/know/what/you/want/to/buy,The/place/where/I/put/on/makeup,The time/when/they/fought/for/the/first/time,I/don't/know/how/tall/he/is,Do you/know if/she will/come/here/tomorrow/or/not?,Who/do/you/think/they/will/help?,My/country/is/much/colder/than/Korea,I'm/not/going/to/punch/the/robber,They don't/say/‘Good/evening’/to/you/every/evening.,I'll/buy/you/what/you/want/to/eat.
7,He/isn’t/a/skinny/boy,My/mother/is/very/good,He/wasn’t/a/slow/boy/last/month/,They/are/smarter/than/she,She/is/much/wiser/than/they,She/isn't/lighter/than/air,This ice/cream/isn’t/much/better/than/that/apple.,My grandfather/isn’t the/most/popular/singer/in/the/world.,His/song/isn’t/the/best/song/in/Korea.,That/isn’t/a/salty/peach,I/know/this/is/a/great/decision,I/don't/know/what/you/want/to/buy,The/reason/why/you/live/here,How/I/quit/drinking,How/old/are/you?,I don't/know if/she'll/come/here/tomorrow/or/not.,When/do/you/think/he/invited/her?,Do/you/think/you/are/pretty?,Let's jump/over/the/fence/and/save/the/puppy!,Doesn’t/she/say/‘Good/bye’to/you/every/night?,Explain/to/me/how/you/solved/the/problem!
8,He's/a/skinny/boy,My/mother/isn’t/very/good,He/was/a/slow/boy/last/month,They/aren’t/smarter/than/she,She/isn’t/much/wiser/than/they,She/is/lighter/than/air,This ice/cream/is/much/better/than/that/apple.,My grandfather/is the/most/popular/singer/in/the/world.,His/song/is/the/best/song/in/Korea.,That/is/a/salty/peach,I/don't/know/this/is/a/great/decision,What/you/ate/last/night/,The/reason/why/you/lend/me/money,How/I/dance/on/a/running/horse,How/old/you/are/,Do you/know if/he/made/a/mistake/or/not?,What/do/you/think/I/did?,I/think/I'm/pretty,I think/it is/impossible/to/jump/over/the/fence.,He/goes/to/the/lake/through/the/tunnel.,"In fact,/it was/really/hard/to/solve/the/problem."
9,Is/your/mother/angry/now?,Is/the/mountain/very/high?,Was/your/mother/angry/yesterday?,Is/your/room/warmer/than/mine?,Is/your/face/much/warmer/than/mine?,"Long time/ago, Was/this/hill/lower/than/that/hill?",Is/that/river/more/dangerous/than/this/beach?,Is this/the/most/interesting/book/in/this/library?,Are/you/sleepy/now?,Is/that/place/much/deeper/than/this/place?,Do you/think/your/room/is/better/than/mine?,Tell/me/what/you/ate/last/night.,The/reason/why/you/love/her,How I/act/in/front/of/girl/students,I'll/tell/her/how/old/you/are,I don't/know if/he/made/a/mistake/or/not.,How do/you/think/they/can/study/without/me?,I/don't/think/I'm/pretty,Is/she/swimming/in/that/giant/kettle?,He/doesn't/drive/through/a/red/light,I don't/know/what/my/father/wants/from/me?
