INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Why don’t you show rock instead of scissors?,Where is she going to go tomorrow? ,How/do/you/say/'Hello!'/in/Korean? ,Don't pretend to sleep to cheat a bear! ,Do/you/have/to/change/your/bad habits/this year?,Don't/you/have/a/baseball/bat/to hit/a homerun?,Did she study hard to pass the test?,Who/are/they/going/to make/a/black snowman/with?,Can't you dance like that pig beautifully? ,Why don’t you go shopping with me tomorrow?,Can't he turn down the volume? ,Did/he/buy/a/sports/car/to meet/her?,What is she doing now? ,Is/he/going/to/take/a math/simulation test/tomorrow?,Is there an angel to introduce to me? ,What are you looking for now? ,Can’t/you/spray/the/hair/conditioner/on/my hair?,What/tree/do/you/plant/in/your garden/every year?,Would/you/like/to/introduce/a/hacking program/to me?,When I visited your house yesterday ,Follow my dog to catch a thief!
1,Why do you have to go home now?,She is going to go to Japan tomorrow.,We/say/‘An Nyeong-ha-se-yo’,I/didn't/pretend/to/sleep/to/cheat/a bear.,I/have/to/change/my/bad/habits/this year.,Why do you ask me such a question?,She studied hard to pass the test,They’re/going/to/make/a/black snowman/with/a gentleman?,I can dance like that pig beautifully,Why? What do you want to buy? ,He can't turn down the volume,He bought a cake to make them happy.,She's washing her hair now,He/is/going/to/take/a math/simulation test/tomorrow.,There is an angel to introduce to you.,I lost the pink diamond to give you,You will cure his wounded arm next year,I/plant/a/pine/tree/in/my garden/every year.,Why don’t you download the hacking program?,What were you talking about with her yesterday?,Don't care the robot’s skin everyday! 
2,Because my mother is waiting for me now.,Why/is/she/going/to/go/to Japan/tomorrow?,Don’t you make mistakes? ,Don't bite the sleeping lion! ,I/don't/have/to/change/my bad/habits/this year.,I‘m just wondering,How/many hours/a day/did/she/study/to pass/the test?,What/are/they/going/to make/a/black snowman/with?,"Unfortunately, I can't dance like that pig beautifully.",I’m/going/to/buy/a/pig mask/to give/my mother.,"Of course, he can turn down the volume.",How many cakes did you eat last year?,What’s he doing now? ,"Then,/when/is/he/going/to take/an English/simulation test?",There isn’t a devil to introduce to you.,Let's find the pink diamond next Wednesday! ,Did you study hard to pass the test?,I/plant/an/apple/tree/in/my garden/every year.,You had better upload my story,Nothing special/We/were/just/chatting face/to/face.,Let's not skip English class today
3,Do you remember her tattooed leg? ,Because she has something to do in Japan.,I don't make mistakes at all,It is dangerous to bite a sleeping mouse,"Anyway, you have to change your bad habits",Did/you/wonder/about/his/hidden/story/last night?,She/studied/for/five/minutes/a day/to pass/the test.,They/are/going/to make/a/black snowman/with/white snow.,Why were you crying outside yesterday? ,Why do you need the pig mask? ,Don't you get up early every morning? ,I ate ninety nine cakes to gain weight.,He's brushing his teeth now,He/is/going/to/take/an English/simulation test/next week.,Is/she/going/to/kill/the mosquito/on/the window?,Where did you lose the pink diamond? ,I studied English hard to pass the test.,Why/do you/plant/an/apple tree/in/your garden/every year?,I tried hard to succeed,Where are you going now? ,But let's skip math class
4,I remember her tattooed nose,"Then,/how/long/is/she/going/to stay/in Japan?",Why/don’t/you/brush/your teeth/after/brunch?,Let's/make/a/noise/to/wake/up/the teacher!,Does she have to recycle paper? ,I/didn’t/wonder/about/his/hidden/story/last night.,Did she pass the test? ,How/can/they/make/black/snow/with/white snow?,I wasn't crying outside yesterday,It's/my/mother’s/hobby/to/wear/a/pig mask.,I get up early every morning,Do you think I'll pass the weight test?,What are they doing now? ,Do/you/think/he/can/pass/a/driving test?,She’s/going/to/kill/the/mosquito/on/the ceiling.,I lost the pink diamond on this book.,"Of course,/I/studied/math/hard/not/to fail/the test",I plant an apple tree to eat apples.,She had better not decorate this room,I'm going to the White House,Can't you be my lifelong friend? 
5,I don't remember her tattooed big toe,She/is/going/to/stay/in Japan/for/4 days.,I'm/sorry/I/forgot/to/brush/my teeth/this morning.,Let’s not make a noise in the classroom!,She has to recycle paper,I wondered about your complex question,"Finally, she passed the test",I think they can’t make black snow,I think you were crying outside yesterday,Does your father like your mother’s hobby?,I don't get up early every morning,I don't think you'll pass the weight test.,They/are/cooking/a/big/sea cucumber/in/the kitchen.,I/don't/think/he/can/pass/a/driving test.,She’s/going/to kill/the fly/on/your nose/with/a hammer.,Don't you remember my powerful voice? ,I want to study about flying frogs,I will go to the mountain now,I tried not to pass out,Why/were/you/going/to/the/White House/yesterday?,I can't be your life long friend
6,Why are you shouting at her? ,Why don't you ask her address? ,What time did you call me yesterday? ,Do/you/watch/real/time/news/on TV/every day?,She doesn't have to recycle paper,Can she come to Korea next year? ,But she failed the test,I/think/he/can/make/black snow/with/black ink.,Because/my/father/was/pouring/water/on/my head.,My father really loves my mother.,What time do you get up? ,Why do you have to arrest him now?,What are you doing on the tree? ,I think he can pass a driving test,Don't dance with a strange looking witch! ,I don't remember your powerful voice at all.,There is a paradise between heaven and hell.,What/mountain/are/you/going/to/go/next week?,"Though her mother couldn’t prove the fact, ",to forgive the president,Do you burn trash with a burner? 
7,Because/she/is/playing/with/dirty mud/in/my room.,I/think/it/is/impossible/to/ask/her address.,I called you at 7 o'clock yesterday,I/watch/real/time/news/on/TV/every day.,Why does she have to recycle newspapers? ,She can't come to Korea next year,She will pass the test next year,It/is/impossible/to/make/black snow/with/yellow ink.,What time did you get up this morning?,So my father likes a pig mask too.,I get up at eight o'clock,Because he stole my money,I’m picking bananas with the monkey,Why/do/you/think/he/can pass/a/driving test?,Can't she go to school today? ,You knew my powerful voice a minute ago.,Can you believe it? ,I‘m/going/to/go to/a/very/high mountain/next week.,Her/father/gave/a/gold bar/to/her,What did the president do wrong? ,I don't burn trash with a burner
8,Does she have to apologize to you? ,Why/do/you/think/it is/impossible/to ask/her address?,"By the way, you didn't answer my phone",I/don't/watch/real/time/news/on TV/every day.,She has to recycle newspapers to save paper.,"Fortunately, she can come to Korea next year.","Then, what plan does she have? ",But/it is/possible/to make/a/black snowman/with/black ink.,I got up at five o’clock this morning.,I/think/your/father/has to/go to/a/mental hospital.,But my mother gets up at 7 o'clock.,Do you know about a royalty well? ,Why are you picking bananas with the monkey?,Because/I/know/he/drives/hard/to pass/the test.,She can't go to work today,"Sorry, I forgot your powerful voice",I can't believe it,Why/are/you/going to/go to/a very/high mountain/next week?,Is she going to recycle that box? ,He didn’t keep our promise yesterday,When are you going to call her mother?
9,She has to apologize to me,"In fact,/she/doesn't/have/a/house/to/live in.",I just called you to play with you,What will you do with them tomorrow? ,Was/there/a/book/to/read/on/the desk?,"Unfortunately, she can't come to Korea next year.",She'll study six minutes more everyday,You had better not chat in the church.,Why did you get up early this morning.,What book does she want to read? ,My father gets up at nine o'clock,I don't know about a royalty well,Because/the monkey/wants/to give/bananas to/a king/of/the forest.,It’s/his/dream/to/be/a/great scientist/in China.,She can go to the fire station tomorrow.,Don’t talk nonsense to me? ,Let's/go/to/a paradise/to meet/a/good looking/devil.,I’m/going to/go to/a very/high mountain/to be/a/great climber.,She isn’t going to recycle that box,He’ll keep his promise perfectly from now on.,I'm/going/to/call/her/mother/before/8 o'clock.
