INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,제가 당신과 벨리 춤을 춰도 됩니까? ,넌 나의 방을 내일 청소해도 된다.,넌 그 동아리에 가입하면 안 된다.,그들은 매일 너와 같이 a 나무 위에 사니?,나는 그녀의 소형차를 천천히 운전하지 않는다.,그들이 a 단체 할인을 받습니까?,그가 너에 관하여 걱정하려고 하니?,그는 이번 금요일 a 여자 친구를 사귀려고 한다.,그들은 그녀에게 수화를 가르치려고 하니?,그들은 the 차가운 거리에서 잠을 자려고 한다.,그들은 나를 the 병원에 데려가려고 합니까?,그녀가 그녀의 손가락으로 a 동그라미(circle)를 그릴 수 있니?,난 그 까다로운 퀴즈를 이해할 수 있다.,넌 스팸메일을 열고 그 링크에 클릭했니?,난 작년에 a 검은 장미를 먹었다. ,제는 그의 성공을 위해서 기도 했습니다. ,난 만약의 경우를 생각해서 the 앞문을 열지 않았다.,그는 a 날아가는 비행기를 그의 손s으로 잡을 수 있었다.,넌 나의 결혼반지를 팔 수 없었다.,제가 저 소금을 맛보아도 되나요?,나의 개와 the 길을 건너라!
1,제가 당신의 애완동물을 천천히 쓰다듬어도 됩니까?,넌 the 곰의 별명을 바꿔도 돼.,넌 나의 비자금을 훔치면 안 된다.,그들은 밖에서 그녀의 영어책을 읽니?,우리는 매년 명품 차를 타고 부처님(buddha)에게 간다. ,그들은 a 단체 할인을 받는다.,그녀는 a 위대한 피아니스트가 되려고 하니?,그는 내일 너의 거실을 청소하려고 하지 않는다.,그들은 올해 가족을 위해 담배를 끊으려고 하니?,우리는 9시 이후엔 나가지 않으려고 한다.,그들은 너를 the 병원에 데려가려고 해.,그가 그의 팔꿈치로 a 삼각형(triangle)을 그릴 수 있니?,넌 그녀에게 하얀 커피를 줄 수 없어.,넌 그녀의 자전거를 타고 the 은행에 갔니?,난 the 파티에서 a 노래를 불렀다.,난 독일에 이틀 전에 도착했다. ,난 그에게 도전하지 않았어.,넌 그의 형님과 같이 일을 할 수 있었다.,그는 그녀의 일기(diary)를 나에게 보여줄 수 없었다.,네가 거기에서 감자s를 사면 안 된다.,네가 computer games을 그들과 하는 것이 어때!
2,제가 당신의 목걸이를 사용해도 됩니까?,넌 온라인으로 an 못생긴 돼지를 주문해도 돼.,넌 그녀를 on the 거리에서 만나면 안 된다.,그들이 아침마다 물을 끓이니?,그들은 매일 밤 그녀의 집을 방문하지 않는다.,그들은 a 단체 할인을 받지 않는다.,그는 방과 후 버스 타고 그녀의 집에 가려고 하니?,그녀는 내일 the 토끼를 나에게 주려고 한다.,그들은 a 소름 끼치는 테러리스트를 만나려고 하니?,그들은 a 조용한 방에서 나랑 음악을 공부하려고 한다.,그들은 너를 the 병원에 데려가려고 하지 않는다.,내일 그들이 저를 만날 수 있을까요?,그가 나의 방에서 그의 바지s를 바꿔 입을 수 있어.,넌 어제 the 문을 닫고 그것을 잠갔니?,난 여기서 너의 친구를 여기서 만났다.,난 삼 일s 전에 그의 코를 후벼주었다. ,나는 그가 그녀에게 도전하는 것을 도와주지 않았다.,난 the 까다로운 영어질문을 이해할 수 있었다.,그녀는 미국에서 the 미국인을 만날 수 없었다.,그들은 매일 그들의 신용카드를 사용합니까?,당신은 제를 위해 기도해 주시겠습니까? 
3,제가 당신의 딸에게 제의 영어책을 줘도 됩니까?,넌 저것을 영어로 하얀 바나나라고 불러도 돼.,넌 간식(snack)으로 감자s를 먹으면 안 된다.,그들은 매일 오후 간식으로 감자s를 먹니? ,나는 목요일마다 서두른다.,제가 the 교실에서 an 외투를 벗어도 됩니까?,그는 3시간s 동안 그들과 공부하려고 하니?,그녀는 the 가위 바위 보에서 바위를 내려고 하지 않는다.,그들은 시멘트를 물로 섞으려고 하니?,우리는 너의 아빠를 숨겨주지 않으려고 한다.,그녀가 a 개에게 the 최고의 노래를 가르치려고 합니까?,그들은 오늘 밤 너의 아기를 돌보아 줄 수 있니?,그녀는 내가 버스s 갈아타는 것을 도와줄 수 있습니다.,넌 작년에 a game 매니아와 같이 놀았니?,난 그녀와 the 문제를 해결했다.,나는 사 일s 전에 머리를 감았습니다. ,난 만약의 경우를 대비하여 그의 배를 힘껏 누르지 않았다.,그녀는 a 유명한 주방장을 the 부엌에서 만날 수 있었다.,그는 그의 더러운 수건으로 나의 눈물s을 닦아 줄 수 없었다.,그녀가 그 과학책을 편집하려고 합니까?,on the 길에 쓰레기를 버리지 마세요!
4,제가 당신 어깨s 위에 앉아도 됩니까?,넌 너 자신을 우리에게 소개해도 된다.,넌 the 흰색 벽 위에 있는 the 파리를 죽이면 안 된다.,그들이 매일 제녁 너의 도움이 필요하니?,우리는 목요일마다 그들과 의학 공부를 하지 않는다.,네가 the 교실에서 an 외투를 벗어도 된다.,그녀가 10시간s 동안 벨리 춤을 추려고 하니?,그녀는 the 빵을 그녀의 머리 위에 놓으려고 해.,그들은 나의 숙제를 베끼려고 하니?,그들은 겨울에 a 큰 보트를 만들려고 한다. ,그녀가 a 개에게 the 가장 좋은 노래를 가르치려고 해. ,그가 장미s로 a 꽃다발을 만들 수 있을까?,그들은 a 기분 전환으로 그들의 휴대폰s을 바꿀 수 있다.,넌 담배 연기로 a 아름다운 구름을 만들었니? ,난 설탕으로 설탕 차를 만들었다.,나는 그 답을 오 일s 전에 기억했습니다. ,난 모래로 a 의자를 만들지 않았다.,그들은 그의 마스크를 씻어 줄 수 있었다.,그들은 여기서 a 악취 나는 skunk를 키울 수 없었다.,그들은 우리에게 the 기본적인 윤곽을 설명하려고 한다.,더러운 손s으로 음식 먹지 마!
5,제가 당신의 쇼핑 카트를 밀어도 됩니까?,넌 나의 명품 차를 설탕물로 씻어도 돼.,넌 the 오후에 그 나무에 물을 주면 안 된다.,그들은 매시간 한 손으로 너의 차를 운전하니?,그들은 물고기를 아점으로 먹지 않는다.,네가 the 교실에서 an 외투를 벗으면 안 된다.,그녀가 a 신비한 나무를 너에게 팔려고 하니?,그녀는 너에게 the 모의고사에 관하여 이야기하려고 한다.,그들은 나의 나라를 위해 열심히 싸우려고 하니?,우리는 거기에서 감자s를 사지 않으려고 한다.,그녀가 나에게 the 최고의 노래를 가르치려고 하지 않는다.,그녀가 이 어려운 퀴즈를 해결할 수 있을까?,우리가 the 성적표를 너에게 줄 수 있다. ,넌 어제 a 황당한 스팸메일을 받았니?,난 그녀의 고물 자전거를 타고 the 바다에 갔다.,전 the 쓰레기를 the 펜스 넘어 던졌습니다. ,난 rocket 타고 the 지상천국에 가지 않았다.,우리는 the 오래된 소나무 위에서 노래할 수 있었다.,우리는 오늘 오후에 그 레몬 나무에 심을 수 없었다.,우리가 9시 이후엔 밖에 나갈 수 있니?,넌 타자 치는 것을 지금 마쳐야 하니?
6,제가 물을 마셔도 되나요?,넌 이제 안경s 없이 the 태양을 바라보아도 된다.,넌 그들의 정원에서 놀면 안 된다.,그들은 월요일마다 나의 몸무게를 확인하니?,우리는 매년 the 섬(island)에서 a 흰색 호랑이를 사냥한다.,그들은 일요일s 마다 교회에 갑니까? ,그녀가 the 말썽꾸러기를 너희 집에 초대하려고 하니?,그는 a 새 복사기를 사지 않으려고 한다.,그들은 나의 오른쪽 장갑을 끼려고 하니?,그들은 그녀에게 온 the 메시지를 확인하려고 한다.,그가 올해 장미s를 키우려고 합니까?,그녀가 나에게 the 꽃다발을 던질 수 있니?,나는 그런 경우에는 a 짧은 치마를 입을 수 있어.,넌 어제 the 펜스를 넘었니?,난 어제 the 고장 난 창문을 열었다.,나는 일주일 전에 그에게 전화했습니다.,난 작년에 돼지고기를 먹지 않았다.,그는 지난 월요일에 the fan club에 가입할 수 있었다.,그는 소금으로 맛있는 chocolates을 만들 수 없었다.,너는 the 박물관에서 너의 휴대폰을 켰니?,태양에너지를 이용하자!
7,제가 당신에게 제 자신을 소개해도 됩니까?,네가 그 번호를 눌러도 돼.,넌 an 지우개를 나에게 던지면 안 된다.,그들은 검은 얼음으로 a 노란색 눈사람을 만드니?,그들은 매일 the 운동장에서 a 야구방망이를 휘두른다.,그들은 일요일s 마다 교회에 갑니다. ,그는 the 가위바위보 게임을 하려고 하니?,그는 a 웨딩드레스를 다음 주에 사려고 한다.,그들은 내일 너의 담임선생님을 만나려고 하니?,우리는 나란히 눕지 않으려고 한다.,그가 올해 장미s를 키우려고 한다.,그가 a 힘센 거미와 a 나무 위에서 싸울 수 있니?,그는 the 학교로 빨리 달려갈 수 없다.,넌 a 수건을 the 펜스 넘어 던졌니?,난 the 음악에 맞춰 춤을 추었다.,난 the 건물 넘어 a 공을 던졌다. ,난 the 시험에 떨어지지 않았다.,그녀가 작년에 아프리카에서 a 눈사람을 만들 수 있었다.,그녀는 the 올림픽s에서 a 금메달을 딸 수 없었다.,그들은 a 조용한 방에서 나랑 음악을 공부했다.,넌 영어를 잘 말할 수 없니?
8,제가 당신의 영어책을 꺼내도 됩니까?,네가 the 꽃s에 물을 줘도 돼.,넌 지금 잠에서 깨면 안 된다. ,그들은 화요일마다 너에게 a 현기증 나는 질문을 하니? ,그들은 아침마다 저 나무 아래에서 설거지를 안 해.,그들은 일요일s 마다 교회에 가지 않습니다. ,그녀는 the 가위바위보 게임에서 바위를 내려고 하니?,그녀는 그녀의 화난 얼굴을 a 바위 위에 그리려고 한다.,그들은 the 안과 의사를 8시 후에 만나려고 하니? ,나는 빈 깡통s을 나란히 놓으려고 한다.,그는 올해엔 장미s를 키우려고 하지 않는다. ,그들이 그의 중요한 이야기를 잊어버릴 수 있을까?,그들은 그의 나쁜 버릇을 오해할 수 있어.,너는 그에게 전화하는 것을 잊어버렸니?,나는 2년 전에 그의 이름을 잊어버렸다. ,난 어제 a 큰 눈사람을 만들었습니다. ,나는 만약을 위해 그녀에게 새로운 정보를 주지 않았다.,우리는 the 물속에서 너에게 전화할 수 있었다.,넌 나를 깨울 수 없었다.,나는 나의 건강을 위해 많은 커피를 마시지 않았다.,넌 a 감기에 걸려야만 해.
9,제가 저 신사를 밖에서 만나도 됩니까?,네가 이제 이것을 마쳐도 돼.,넌 겨울에 밖에서 자면 안 된다.,그들은 화요일마다 너의 책s을 버리니?,우리는 저녁마다 그의 가족과 TV를 본다.,제가 당신의 문신을 제거해도 됩니까?,그녀가 the 가위바위보 게임에서 가위s를 내려고 하니?,그녀는 나랑 a 눈싸움을 하려고 하지 않는다.,그들은 정각에 the 안과 의사를 만나려고 하니?,그들은 나의 느린 공을 잡으려고 해.,그들이 나의 열쇠를 the 책상 아래에 놓아두려고 합니까?,그가 그의 머리를 너의 머리 위에 놓을 수 있니?,난 그의 멍든 눈을 기억할 수 있다.,네가 the 화면을 건드렸니?,난 the 첨단미사일을 사용했다.,난 이틀 전에 이 건물을 지었습니다. ,나는 그들과 a 좋은 시간을 보내지 않았다.,난 어제 너의 집에서 잘 수 있었다. ,그들은 the 바쁜 새와 살 수 없었다.,그들은 나에게 에티켓을 배우길 원한다.,a 축축한 곳에 the 비누를 놓아두지 말자!
