INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,그가 어떻게 그 가짜 뉴스를 이해할 수 있을까?,그가 그녀를 이번 토요일에 만날 수 있어.,그가 너에게 그의 엄지발가락(big toe)을 보여줄 거니?,그는 누워서 a 책을 읽을 것이다. ,부를 a 좋은 노래,나와 같이 춤을 출 an 우상 ,그에게 보여줄 사진s,한 권의 책,커피 한 잔,기억할 a 선생님이 있습니까?,만들어야 할 a 눈사람이 있니?,기억할 the 선생님이 이 앨범에 있습니까?,나의 아빠는 읽을 a 책을 찾을 수 없다.,먹을 a 수박이 저 나무 아래에 있었니?,the 영어 시험에 떨어질 a 기회가 있었다.,나는 마실 물을 사려고 합니다.,중국 역사를 공부할 a 도서관을 찾았니?,그의 방에 키울 2마리의 개s가 있니?,너에게 a 공을 pass 할 a 기회가 있었다.,the 하늘에 많은 천사s들이 있었니?,기억할 a 친구가 여기에 있습니까?
1,그녀가 어떻게 the 사실을 설명할 수 있지?,그 아기는 너의 엉터리 영어를 이해할 수 없어.,the 가수가 a 노래를 부르기 위해 내일 the 무대에 갈 거니?,그녀는 the 음악에 맞춰 the 요들송s을 부르지 않을 것이다.,도전할 a 기회,연구할 태양에너지,영어 수업을 마칠 시간,두 권의 책s,커피 두 잔s,너랑 터트릴 a 풍선이 있다.,the 나무 위에 사냥할 a 새가 있다.,너랑 먹을 따뜻한 밥이 저기에 있다.,난 그들에게 먹을 바나나s를 줄 거야.,먹을 a 수박이 저 나무 아래에 있었다.,그의 생일파티에서 부를 a 노래가 있었니? ,당신은 헤드라인 뉴스를 들으려고 a 라디오를 샀니?,나는 당신에게 a 일본노래를 가르쳐 줄 거다.,그의 방에 키울 2마리의 개s가 없어.,그를 위해 부를 a 웃기는 노래가 있었니? ,두 마리의 화난 새s들이 여기에 있었다. ,너랑 먹을 배s 두 개가 있다.
2,그녀가 어떻게 너의 아빠를 용서해 줄 수 있지?,너의 개는 the 기타를 아주 잘 칠 수 있어.,the 의사가 그의 가위s를 팔기 위해서 the 시장에 갈거니?,그녀는 the 경찰서에서 a 경찰관을 만나지 않을 것이다. ,벌어야 할 많은 용돈,팔아야 할 그의 옷걸이 ,그들과 기도할 시간,장미 한 송이,커피 세 잔s,팔 a 오리가 여기에 없다.,the 식탁 위에 먹을 a 복숭아가 없다.,팔아야 할 a 중고차가 여기에 없다.,너의 아빠는 나에게 심을 a 나무를 줄 수 없다.,먹을 a 수박이 저 나무 아래에 없었다.,a 생쥐가 그 알루미늄 깡통 속에 없었다.,나는 너에게 줄 a 사진을 가지고 있다.,난 우물쭈물 할 시간이 없다.,그의 방엔 키울 2마리의 개s가 있다.,a 고양이에게 줄 a 생쥐가 여기에 없었다.,키울 큰 여왕벌s들이 저 나무 위에 없었다.,팔 a 호랑이가 이 동물원엔 없다.
3,그가 공부도 하지 않고 어떻게 the 레벨테스트에 합격할 수 있니?,넌 물 없이 the 더러운 창문을 씻을 수 있어.,그가 the 눈사람의 눈썹s을 만들기 위해 the 나무를 자를 거니? ,그녀의 엄마는 너에게 a 거짓말을 할 것이다. ,팔 a 차,잡을 a 파리,지불해야 할 저작권 사용료,다섯 송이의 장미꽃s,한 잔의 물,내일 살 a 연필이 있습니까?,내 방에 심을 a 나무가 있니?,the 책상 위에 닦을 미세먼지가 있습니까?,넌 마실 some 물을 나에게 줄 수 있니?,따야 할 a 호박이 the 들판에 있었니?,그들에게 줄 a 인형이 the 의자 밑에 있었니?,수리해야 할 the 방에 들어가지 마라.,당신은 물어볼 any questions을 가지고 있습니까?,the 교실에 3명의 학생s이 있니? ,그들에게 줄 a 인형이 the 의자 밑에 있었니?,너의 합창단에서 연습할 노래s가 있었니?,만날 a 선생님이 the 지붕 위에 있다.
4,그녀는 저녁값을 얼마를 낼 수 있니? ,그녀는 나로부터 도망칠 수 없어. ,그녀가 오늘 밤에 the 질문을 너에게 설명 해 줄거니? ,그는 시멘트로 a 명품 침대를 만들지 않을 거다. ,기억할 나의 이름,가야될 a 여름 캠프,영어를 가르칠 a 학생,한 대의 차,물 네 잔s,the 나무 위에 잡을 a 새가 없다.,the 달 위에는 사길 a 친구가 없다.,the 나무 위에 잡을 a 새가 없다.,저장할 a 이모티콘이 있다.,따야 할 a 호박이 the 들판에 없었다.,잊어버릴 a 나쁜 추억이 이 앨범엔 없었다.,당신은 읽을 a 잡지를 가지고 있습니까? ,넌 the 금을 숨길 a 동물원을 언제 찾았니?,the 교실에 3명의 학생s이 없다.,예습할 것이 이 책에 없었다.,오늘 아침 해고할 5명의 나쁜 점원들이 있었다.,the 달 위에는 사귈 a 친구가 없었다.
5,그의 아빠가 어떻게 너에게 입에 발린 말을 할 수 있니? ,그 소녀는 올해 나를 the 토마토 축제에 초대할 수 없어.,the 선생님이 그의 교실을 엄마s와 청소할 거니? ,그녀의 엄마는 the 숲에서 a 낮잠(take a nap)을 잘 것이다. ,열 the 창문,만들 a 인형,받아야 할 수수료,10대의 비싼 차s,물 다섯 잔s,지켜야 할 an 중요한 약속이 있다.,오늘 여기서 해결할 a 큰 문제가 있니?,the 동굴 속에 the 비자금을 숨길 a 장소가 있다.,난 a 적십자 간호사에게 팔아야 할 피 가 있다. ,따야 할 a 호박이 the 들판에 있었다.,어제 심을 a 나무가 있었어.,버릴 the 쓰레기를 가져가라!,난 너에게 그것에 대하여 생각할 충분한 시간을 줄 수 없다.,the 교실에 3명의 학생s이 있어.,어제 심을 a 복숭아나무가 있었어.,나에게 줄 3대의 자전거s가 5년 전에 있었니?,지금 물어볼 a 질문이 있니?
6,그들이 어떻게 우리들의 집을 기억할 수 있지?,너의 아빠는 내년에 나를 만나러 여기에 올 수 없다.,그들이 로켓을 타고 the 달에 갈 거니?,그녀의 아들은 UFO를 타고 지옥에 갈 거다.,보낼 a 상품권,먹을 저녁,잠잘 a 방,한 소녀,주스 한 병,배워야 할 a 팝송이 있니?,구해줄 a 인어가 the 호수 아래에 있다.,더 배워야 할 a 기술이 있니?,너의 아빠가 너랑 내일 쇼핑 갈 거니?,칠 a 기타가 그의 집에 있었니?,그녀를 기다릴 시간이 없었다.,먹을 the 빵을 만지지 마라.,난 그 책을 공부할 the 이유를 설명할 것이다. ,따야 할 많은(many) 맛있는 사과s가 있니?,그녀를 기다릴 시간이 없었다.,반납할 9권의 만화책s이 없었다.,너의 아빠는 내년에 그를 보기 위해 그곳에 갈 수 없다.
7,우리가 그의 실수를 용서해 줄 수 있을까? ,그녀는 너와 같이 the 도서관에 갈 수 없다.,그녀의 아들이 너랑 결혼하기 위해 a 소형차를 살 거니? ,그 개는 UFO를 타고 그의 아들을 만나러 지옥에 갈 거다.,쓸 a 편지,줄 a 연필,아빠에게 소개할 a 버릇없는 곰,8명의 키 큰 소녀s,주스 여섯 병s,the 물속에서 사용할 a 초가 없다.,청소할 a 방은 이 호텔엔 없다.,the 물속에 찾아야 할 a 보물선이 없다.,그녀의 아빠는 내일 수영하러 가지 않을 거다.,칠 a기타가 그의 집에 없었다.,초대할 a 학생이 있었니?,당신은 잠을 잘 a 장소를 찾았습니까?,그녀에게 도망갈 시간을 주지 마라!,따야 할 많은 맛있는 사과s가 있다.,the 회의에 초대할 a 학생이 있었니?,저를 이끌어 줄 두 분의 사부님s이 the 학교 앞에 계셨습니다.,그녀는 너와 같이 the 서점에 갈 수 없다.
8,그녀의 엄마가 그녀의 오른손을 올릴 수 있니? ,the 개는 쇼핑가기 위해 여기에 일찍 올 수 있다.,넌 the 죽은 돼지의 반지를 낄 거니?,우리 고양이는 나중에 너의 맛있는 바나나s를 훔칠 것이다.,만들 a 칼,취소할 the 파티,the 물속에서 사용할 양초s들,불쌍한 새 한 마리,주스 7병s,해야 할 어떤 것이 내일 있다.,the 도서관에서 읽을 an 영어책이 있니?,내일 너와 할 일이 있다.,나는 울 시간이 없다.,칠 a 기타가 그의 집에 있었다.,나의 생일파티에 초대할 a 학생이 있었다.,당신은 뿌릴 a 향수를 사고 싶어요?,왜 넌 그녀에게 줄 the diamond 반지를 팔려고 하는데?,따야 할 많은 맛있는 사과s가 없다.,나의 생일파티에 초대할 a 학생이 있었다.,한국에 많은 공룡들이(dinosaurs) 있었니?,the 개는 낚시를 가기 위해 여기에 일찍 올 수 있다.
9,.그녀는 a 꿈을 꾸는 강아지를 상상할 수 있니? ,the 고양이는 a 벼룩처럼 높이 점프할 수 있다.,그녀는 a 야구글러브를 그에게 줄 거니?,그는 the 산위에서 an 화살을 쏠 것이다.,운전할 a 트럭,사용할 an 순간접착제,기억할 a 소년,용감한 아홉 마리의 새s들 ,종이 한 장 ,잡을 a 큰 파리가 나의 등 위에 있니?,너에게 줄 a 머리핀이 있다.,영어를 공부할 시간이 있습니까?,the 화장실에 사용할 비누가 없다. ,만날 an 천사는 지옥에 있었니?,그녀와 결혼할 a 좋은 장소가 저 언덕 위에 있었다.,나는 마실 뜨거운 물을 원한다.,난 그에게 키울 a 돼지를 줄 수 없다.,먹을 5개의 바나나s가 the 식탁 위에 있니?,팔아야 할 a 중고 드릴이 the 도로 위에 있었다.,the 책상 위에 삶을 8개의 계란s이 있었다.,the 고양이는 the 최고 타자처럼 a 방망이를 휘두를 수 있다.
