INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,그는 항상 the 볼륨을 높이지 않니?,그녀는 자주 the 토끼를 보호해 주지 않니?,그녀가 항상 너의 기록을 깨니?,너의 엄마는 그녀의 약속을 지키지 않니?,그녀는 일본어를 잘하길 원하니?,넌 그 경기에 질 거니?,넌 어제 그녀가 수영하는 걸 도와 줄 수 있었니?,그는 사과s를 좋아하지 않는다.,the 동물조련사를 훈련시키지 마라!,넌 누구랑 아침을 먹었니?,오늘 아침 나는 그녀를 보호해 주려고 노력했다.,나쁜 때s를 생각하는 것은 시간 a 낭비니?,왜 그가 일찍 집에 가야만 하니?,그 병든 병아리가 왜 a 새처럼 날아야만 하니?,the 피아니스트는 항상 노래를 잘 불러야만 하니?,the 치과의사가 작년에 너의 이를 치료해야만 했니? ,그 가난한 일꾼이 너의 복숭아를 훔쳐야만 했니?,the 토끼가 a 물병을 채워야만 했니? ,그녀가 the 얼음을 녹이려고 a 라이터를 사용하니?,그가 너에게 줄 the 풍선껌을 씹을 거니?,그녀는 the 눈 속에서 골프를 치지 않니? 
1,그는 항상 the 볼륨을 높이지 않는다.,그녀는 자주 the 토끼를 보호해 주지 않는다.,그녀가 항상 나의 기록을 깨지 않는다.,나의 엄마는 그녀의 약속을 잘 지키지 않아.,그녀는 일본어를 잘하길 원한다.,난 그 경기에 이길 거야. ,난 어제 그녀가 수영하는 걸 도와 줄 수 있었다.,그래서 그가 사과 주스를 마시지 않는다.,난 the 동물조련사를 훈련시키지 않을 거다.,난 나의 아빠랑 아침을 먹었다.,그러나 난 그녀를 a 깡패로부터 보호 해 줄 수 없었다.,나쁜 때s를 생각하는 것은 시간 a 낭비야.,그는 그의 아기를 돌보기 위해 일찍 집에 가야만 한다.,그 병든 병아리가 하나님을 만나기 위해 a 새처럼 날아야만 한다.,the 피아니스트는 항상 노래를 잘 부를 필요가 없다.,그가 작년에 나의 이를 치료 해야만 했다.,그 가난한 일꾼이 나의 복숭아를 훔쳐야만 했다.,the 토끼가 a 물병을 채워야만 했다.,그녀가 the 얼음을 녹이려고 a 라이터를 사용해.,그가 나에게 줄 the 풍선껌을 씹을 거다.,그녀는 the 눈 속에서 골프를 친다.
2,그는 항상 the 볼륨을 높인다.,그러나 그녀는 자주 the 토끼를 a 호랑이로부터 보호해준다.,"사실, 그녀가 때때로 나의 기록을 깬다.",나의 엄마는 그녀의 약속을 매우 잘 지킨다.,그녀는 일본어를 잘하길 원하지 않는다. ,난 그 경기에 질 거다.,난 어제 그녀가 수영하는 걸 도와 줄 수 없었다.,그녀는 매일 나의 개에 관심을 갖는다.,아침에 일찍 일어나라.,넌 너의 아빠랑 무엇을 먹었니?,네가 그녀가 사냥하는 것을 도와주지 않는다.,좋은 때s를 생각하는 것은 시간 a 낭비가 아니야.,그는 그의 아기를 돌보기 위해 일찍 집에 갈 필요가 없다.,그 병든 병아리가 a 새처럼 날 필요가 없다.,the 피아니스트는 the 피아노를 잘 쳐야만 한다.,그가 작년에 나의 이를 치료할 필요가 없었다.,그 가난한 일꾼이 나의 복숭아를 훔칠 필요가 없었다.,the 토끼가 a 물병을 채울 필요가 없었다.,그녀가 the 얼음을 녹이려고 a 라이터를 사용하지 않는다.,그가 나에게 줄 the 풍선껌을 씹지 않을 거다.,그녀는 the 눈 속에서 골프를 치지 않는다.
3,그는 항상 an 공기 방울을 가지고 놀지 않니?,그녀는 자주 다섯 마리의 뱀s을 먹니?,그가 보통 the 물 아래서 담배를 피우지 않니?,그의 엄마는 항상 the 아이를 돌보지 않니?,그녀는 그와 내년에 결혼하길 원하니?,넌 애플파이를 요리하기 위해 저 사과를 사용할 거니?,넌 작년에 the 프로젝트를 취소할 수 있었니?,그래서 나는 그녀에게 관심을 갖는다.,만약 내가 일찍 일어난다면 ,난 나의 아빠랑 참치를 먹었다.,네가 여름에 the눈사람과 싸우지 않는 편이 낫다.,a 대 저택을 사는 것은 돈을 a낭비하는 것이니?,왜 그녀가 그녀의 딸을 만나야만 하니?,그 여우는 어디서 저녁을 먹어야만 하니?,a 어부가 매년 a 배나무를 심어야만 하니?,그 수의사가 너의 병든 개를 치료해야만 했었니?,그가 the 수박을 반으로 잘라야만 했었니?,그녀의 아빠가 the 물 아래서 에어로빅을 해야만 했니?,an 개미가 the 코끼리의 귀를 깨물기 위해 a 사다리를 사용하니?,그녀는 매일 a 말을 타야만 하니?,그는 그녀에게 먹을 a 사탕을 주길 원하니?
4,그는 항상 an 공기 방울을 가지고 놀지 않는다.,그녀는 자주 5마리의 뱀s을 먹는다.,그는 보통 the 물 아래서 담배를 피우지 않는다.,그의 엄마는 항상 the 아이를 돌보지 않아.,"물론, 그녀는 내년에 그와 결혼하길 원한다.",난 애플파이를 요리하기 위해 저 사과를 사용할 거다.,난 작년에 the 프로젝트를 취소할 수 있었다.,나는 어제 그녀의 엄마를 도와 줄 수 없었다.,너도 일찍 일어날 거니?,넌 언제 나의 고양이와 수영할 수 있니?,나는 그들과 a 좋은 주말을 갖기 위해 여기에 왔다.,a 대저택을 사는 것은 돈을 a 낭비하는 것이다.,그녀는 꽃s을 주기 위해 그녀의 딸을 만나야만 한다.,the 여우는 저녁을 a 나무 위에서 먹어야만 한다.,a 어부가 매일 a 배나무를 심을 필요는 없다.,그 수의사가 나의 병든 개를 치료해야만 해야만 했다.,그가 the 수박을 반으로 잘라야만 했다.,그녀의 아빠가 the 물 아래서 에어로빅을 해야만 했다.,an 개미가 the 코끼리의 귀를 깨물기 위해 a 사다리를 사용한다.,그녀는 매달 a 말을 타야만 한다.,그는 그녀에게 먹을 a 사탕 주는 걸 원하지 않는다.
5,그는 항상 an 공기 방울을 가지고 논다.,"결과적으로, 그녀는 자주 the 병원에 간다.",the 물 아래서 담배를 피우는 것은 불가능하다.,그의 엄마는 항상 the 아이를 돌본다.,그러나 그는 그녀와 내년에 결혼하길 원하지 않는다.,난 애플파이를 요리하기 위해 저 사과를 사용하지 않을 거다.,난 작년에 the 프로젝트를 취소 할 수 없었다.,그래서 그녀의 엄마는 나를 좋아하지 않는다.,내일 이 퍼즐을 다시 확인하는 것이 어때?,"미안, 난 너의 버릇없는 고양이와 수영하고 싶지 않아.",the문을 열기 위해 the큰 창문을 부수지 마라!,난 내일 할 일이 좀 있다.,그녀는 꽃s을 주기 위해 그녀의 딸을 만날 필요가 없다.,왜냐하면 a 나무 아래엔 그의 저녁을 훔칠 a 하이에나가 있기 때문이지.,the 농부가 매시간 a 노란색 나무를 심어야만 한다.,그 수의사가 나의 건강한 개를 치료할 필요가 없었다.,그가 the 수박을 반으로 자를 필요가 없었다.,그녀의 아빠가 the 물 아래서 에어로빅을 할 필요가 없었다.,an 개미가 the 코끼리의 귀를 깨물기 위해 a 사다리를 사용 안 한다.,그녀는 매년 a 말을 탈 필요가 없다.,그가 그녀에게 먹을 a 사탕을 주고 싶어 한다.
6,그녀는 항상 an 병따개로 a 병을 따지 않니?,내일 그녀와 a 산책하는 것이 어때?,그 토끼가 보통 the 호랑이 앞에서 담배를 피우지 않니?,그녀의 아빠는 매년 a 만루 홈런을 치지 않니?,그는 그들과 내일 탁구 치길 원하니?,그녀는 미국에서 많은 돈과 시간을 낭비할 거니?,넌 두 시간s 전에 a 거대한 비눗방울을 만들 수 있었니?,넌 어제 오랫동안 축구를 했다.,"미안, 난 내일 이 퍼즐을 확인 할 시간이 없다.",그리고 난 너의 버릇없는 고양이와 수영할 시간이 없다.,그녀의 비밀을 찾아내기 위해 그녀의 일기를 읽자!,난 내일 할 일이 없다.,그가 그의 나라를 위해서 무엇을 해야만 하니?,the 대통령이 어떻게 a 불쌍한 고양이를 도와야만 하니?,the 농부가 월요일마다 낚시를 가야만 하니?,the 교장 선생님이 지난주에 너의 선생님을 처벌 해야만 했니?,그녀가 그의 결정을 지지해야만 했니?,너의 엄마가 지난주에 a 보조 배터리를 사야만 했니?,그의 엄마는 너의 일급비밀을 모르니?,그녀가 그의 말을 신중히 들어야만 했니?,그가 그녀와 내일 쇼핑 갈 거니?
7,"사실, 그녀는 항상 a 스푼으로 a 병을 딴다.",나는 그녀와 내년에 a 산책하길 원한다. ,그 토끼는 보통 the 호랑이 앞에서 담배를 피운다.,그녀의 아빠는 매년 a 만루 홈런을 친다.,그는 그들과 내일 탁구 치길 원해.,그녀는 미국에서 많은 돈과 시간을 낭비할 거다.,난 두 시간 전에 a 거대한 비눗방울을 만들 수 있었다.,그래서 오늘 네가 피곤하게 보인다.,난 나의 곰 인형과 the수영장에 갈 거다. ,나의 버릇없는 고양이에 대해선 걱정하지 마. ,나쁜 습관s을 갖지 않기 위해 좋은 책s을 읽자.,나는 너에게 할 말이 있다.,그는 그의 나라를 위해서 a 멋진 무기를 발명해야만 한다.,a 가난한 고양이는 먹을 음식이 없기에,the 어부가 화요일마다 낚시를 가야만 한다.,the 교장 선생님이 지난주에 나의 선생님을 처벌 해야만 했다.,그녀가 그의 결정을 지지해야만 했다.,너의 엄마가 지난주에 a 보조 배터리를 사야만 했다.,그의 엄마는 나의 일급비밀을 모른다.,그녀가 그의 말을 신중하게 들어야만 했다.,그가 그녀와 내일 쇼핑 갈 거다.
8,그러나 그녀는 항상 an 병따개로 a 병을 따지 않는다.,그러나 그녀는 이번 주에 나와 a 산책하길 원해,그 호랑이도 보통 그 토끼 앞에서 담배를 피운다.,그의 여동생은 매일 양치 하니?,그러나 그들은 그와 탁구 치는 걸 원하지 않는다.,아니 그녀는 미국에서 많은 돈과 시간을 낭비하지 않을 거다.,난 두 시간 전에 a 거대한 비눗방울을 만들 수 없었다.,그들은 내일 여기에 오지 않을 거다.,너는 나에게 보여줄 너의 가족사진을 가지고 있니?,난 나의 버릇없는 고양이에게 예의s를 가르칠 거야.,네가 오늘 밤 노래 부르고 춤을 추는 것이 어때!,나는 너에게 줄 것이 없다.,그는 그의 나라를 위해 a 가짜 무기를 발명할 필요가 없다.,the대통령은 음식을 살 돈을 주어야만 한다.,그래서 the 농부는 수요일마다 낚시를 갈 필요가 없다.,나의 선생님이 지난주에 the 교장 선생님을 처벌할 필요가 없었다.,그녀가 그의 결정을 지지할 필요가 없었다. ,너의 엄마가 지난주에 a 보조 배터리를 살 필요가 없었다.,그의 엄마는 나의 일급비밀을 안다.,그녀가 그의 말을 신중하게 들을 필요가 없었다.,그가 그녀와 내일 쇼핑가지 않을 거다.
9,그는 항상 8개의 눈s을 가지고 있지 않니?,그녀는 많은 돈을 버는 것을 원하지 않니?,그들은 보통 얼굴을 맞대고 담배를 피운다.,그녀의 여동생은 절대로 양치 안 해.,그는 그녀와 춤을 추길 원하니?,그는 이번 겨울에 죽은 나무s를 태울 거니?,그들은 일주일 전에 그 팀을 이끌 수 있었니?,그러나 난 나의 개와 여기에 올 거다.,난 너에게 보여줄 나의 가족사진을 가지고 있지 않아.,넌 어디서 그의 가짜 시계를 훔쳤니?,넌 그를 만나기 위해 세수를 하니?,나는 너에게 줄 특별한 것을 가지고 있다.,그녀는 누구와 그를 감시해야만 하니?,the 태양은 왜 the 달에게 가야만 하니? ,the 미술선생님이 너의 얼굴을 목요일마다 그려야만 하니?,그녀는 이 속담을 알고 있니?,the 농부는 씨 없는 과일s을 재배해야만 했니?,그가 the 오리엔테이션에 대하여 너와 말해야 했니?,그녀가 읽을 a 잡지를 가지고 있지 않니?,그가 어제 나의 엄마와 축구했다.,그녀가 a 비눗방울 속에서 하룻밤을 보내야만 하니?
