INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,The/monkey/is/eaten,The/girls/are/known,I'm/eaten,The/cloud/will/be/studied,A/snake/can/be/killed,The/banana/must/be/cooked/deliciously,I/ate/the/tiger,I/fixed/two/broken/radios,I/can/design/the/castle/tomorrow,"In/fact,/that/white/flower/is/yours",Do you/have/a/smoking/gun/about/his/death?,A/red/flower/that/is/on/your/car,The/singer/who/doesn't/want/to/sing,The/flower/that/you/have,Have you/ever met/a grandfather/who has/a/lot/of/gold?,Have/you/ever/helped/a/blind/person?,If/you/were/a/tiger/now,"If/you/had/been/a/tiger/last/year,",My/car/is/broken/now,There/wasn’t/a/black/rose/on/the/desk,An/ant/ate/an/elephant
1,Her/wrist/is/twisted,Two/snakes/are/caught,I'm/punched,My/English/grade/will/not/be/improved,The/meeting/can/be/cancelled,Their/wedding/must/be/canceled,The/tiger/was/eaten/by/me,Two/broken/radios/were/fixed/by/me,The/castle/can/be/designed/by/me/tomorrow.,"In/fact,/the/red/flower/isn't/mine",I/have/a/smoking/gun/about/his/death.,The/salt/that/is/in/your/ear.,A soccer/player/who/doesn't/want/to/play/soccer,I/can/sell/the/flower/that/you/have,I have/met a/grandfather who/has/a/lot/of/gold.,I've/ever/helped/a/blind/person,What/would/you/do?,You/could/have/eaten/me.,You/should/have/fixed/the/car/yesterday,The/puppy/must/have/eaten/a/black/rose,An/elephant/was/eaten/by/an/ant
2,A/song/is/written,Her/two/hands/are/washed,I'm/made,The/class/will/be/finished,Her/garden/can/be/cleaned,The/desk/must/be/made,I/cooked/the/egg,A/thief/caught/her/two/brothers,They/helped/the/scary/wolves,But/a/yellow/flower/is/hers,I don't/have/a/smoking/gun/about/his/death,An/ad/balloon/that/is/in/the/sky,The pianist/who/doesn't/want/to/play/the/piano,Your/son/who/has/the/English/book,I've never/met a/grandfather who/has/a/lot/of/gold.,I've/never/helped/a/blind/person,If/I/were/a/rainbow/today,"If you/had/been/a/tree/three/years/ago,",I'm/so/tired,The/puppy/might/have/eaten/a/black/rose.,Three/birds/can/attack/a/hippo
3,History/is/made,Seven/monkeys/are/eaten,I'm/pushed,A/cheap/magazine/will/not/be/read,I/can't/be/sent/to/Seoul,History/must/be/recorded/correctly,The/egg/was/cooked/by/me,Her/two/brothers/were/caught/by/a/thief.,The/scary/wolves/were/helped/by/them,But/the/slide/phone/is/his,Do you/want to/take/a/sleeping/pill/before/sleeping?,The/glue/that/is/on/your/bed,A/scientist/who/doesn't/want/to/study,I don’t/meet your/son/who/has/the/English/book.,Have you/ever seen/a/crying/tiger/on/the/cloud?,Have/you/ever/run/with/a/snail?,I/would/live/on/a/cloud,I/could/have/sold/you/to/her,I/should/have/slept/early/last/night,She/liked/a/green/apple,A/hippo/can/be/attacked/by/three/birds.
4,Her/umbrella/is/opened,Old/cats/are/introduced,I'm/cured,Her/window/will/be/opened,Three/chairs/can/be/imported,The/problem/must/be/solved/soon,You/found/the/soccer/ball,I/pulled/the/teacher's/ears,I/will/pinch/your/ninety/daughters/tomorrow,Though/the/flower/isn't/ours,I want/to/take/a/sleeping/pill/before/sleeping.,A/red/cloud/that/is/under/the/bridge,The/artist/who/doesn't/want/to/think,A/city/that/has/many/mountains,I have/seen/a/crying/tiger/on/the/cloud,I've/ever/run/with/a/snail,If/I/were/a/tree/now,"If/he/had/been/the/wind/last/week,",I/failed/the/test,"The/green/apple/must/have/liked/her,/too.",My/dog/will/kick/a/giraffe’s/nose
5,Her/song/is/remembered,The/boys/are/bitten,I’m/remembered,Her/high/nose/will/be/remembered,You/can/be/known/as/a/famous/thief,Her/name/must/be/remembered/forever,The/soccer/ball/was/found/by/you,The/teacher's/ears/were/pulled/by/me,Your ninety/daughters will/not/be/pinched/by/me/tomorrow.,Because/the/ultra/strong/frog/is/theirs,I don't/want to/take/a/sleeping/pill/before/sleeping.,A/fox/that/has/many/sons.,The doctor/who is/going to/take care/of/the/sick/nurse.,I’m going/to live/in a/city/that/has/many/mountains.,I've never/seen/a/crying/tiger/on/the/cloud.,I've/never/run/with/a/snail,I/would/make/a/lot/of/animals/happy,He/could/have/made/me/cool,You/should/have/studied/harder,"The/green/apple/might/have/liked/her,/too.",A giraffe’s/nose/will/be/kicked/by/my/dog.
6,His/car/is/used,They/are/given,I'm/used,The/baseball/will/be/invented/in/the/future,I/can't/be/caught/easily,His/book/must/be/delivered/today,She/invented/the/train,I/pushed/two/desks,She/threw/away/two/roses,"Long time/age,/the/ultra/small/ant/was/yours",Can you/buy the/most/expensive/candy/in/the/world?,The/snake/that/has/three/eyes.,The nurse/who/is/going/to/marry/the/doctor.,A/student/who/can’t/study/world/history,Have you/ever/seen/the/movie/that/he/saw?,Have/you/ever/met/him/in/China?,If/you/were/a/pig/now?,"If you/had/had/five/ears/five/years/ago,",He/should/have/taught/you/English/harder,She/didn't/dance/with/me,A cat/must/give/a/mouse/something/to/eat.
7,The/door/is/locked,The/shoes/are/washed,I'm/ordered,A/rich/pig/will/be/helped,My/dirty/mouth/can/be/washed,The/cheater/must/be/arrested,The/train/was/invented/by/her,Two/desks/were/pushed/by/me,Two/roses/were/thrown/away/by/her,"These/days,/that/red/car/is/hers",I can/buy the/most/expensive/candy/in/the/world.,A little/library/that/has/a/lot/of/books.,The English/teacher/who/is/going/to/teach/Korean.,The student/who can’t/study/world/history/is/my/son.,I've/seen/the/movie/that/he/saw,I've/ever/met/him/in/China,Who/would/you/marry?,I/could/have/heard/the/sound/correctly.,He's/the/richest/man/in/the/world/now,Her/boyfriend/must/have/monitored/her,a mouse/must be/given something/to/eat/by/a/cat.
8,A/poor/girl/is/helped,Good-looking/boys/are/invited,I'm/scolded,The/lazy/ant/will/not/be/eaten,Many/monkeys/can/be/eaten,He/must/be/ordered,They/made/history,I/cut/two/trees,I/hid/a/poor/queen,"Long/time/ago,/the/stapler/was/mother's",I can't/buy the/most/expensive/candy/in/the/world.,A hospital/that/has/a/lot/of/great/doctors.,A poor/student who/is going/to/help/the/rich/dog,A garden/that/has/a/lot/of/pretty/flowers,I've/never/seen/the/movie/that/he/saw.,I've/never/met/him/in/China,If/I/were/gold/now,"If/I/had/met/God/last/year,",She/should/have/married/him,I/think/her/boyfriend/might/have/monitored/her.,A big/bear/will/not/cure/the/wounded/spider.
9,The/black/sun/is/studied,Many/baseball/bats/are/used,I'm/hidden,A/sand/castle/will/be/made,I/can't/be/called/‘horse',The/problem/must/be/studied,History/was/made/by/them,Two/trees/were/cut/by/me,A/poor/queen/was/hidden/by/me,"These/days,/the/used/drill/is/father's",Can you/steal/a/hidden/camera/in/the/forest?,A/small/island/that/has/eight/trees.,The woodcutter/who is/going/to/go/to/the/sea.,I want/to live/in a/garden that/has a/lot of/pretty/flowers.,Have/you/ever/sung/the/famous/song?,Have you/ever/swum/with/him/in/that/pond?,I/would/give/myself/to/you,"I/could/have/changed/the/world/history,",She/shouldn’t/have/married/him,The/frog/looked/happy/yesterday,The wounded/spider will/not be/cured/by/a/big/bear.
