INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Make/her/happy!,Don't/eat/a/roll/cake/for/brunch!,"Please,/dance/with/his/mother!","Please,/don’t/interview/his/wife/today!",Let's/begin/Science/class!,Let's/not/exchange/her/skirt!,Why/don't/you/dance/with/this/friend?,Eat/a/cool/watermelon!,Do you/go/to/the/hospital/by/shuttle/bus?,I/understand/his/family/problem.,Don't/you/know/his/strange/character?,I/don’t/think/about/my/job/everyday.,Are/you/going/to/burn/the/broken/burner?,I’m going/to tell/a/shocking/news/to/the/reporter,Aren't you/going/to/run/to/the/city/hall?,I’m/not/going/to/forget/the/memory,I/don’t/sell/expensive/apples/to/them.,Can/you/speak/English?,I/can/change/my/part/time/job.,Let’s/not/help/her/lazy/mother!,I/can/pop/a/balloon/with/a/pin.
1,Dance/with/a/beautiful/pig!,Don't/change/her/hair/style!,"Please,/forget/her/mistake!","Please,/don’t/change/the/service/code!",Let’s/understand/her/mistake!,Let's/not/sell/that/necktie!,Why/don't/you/use/his/idea?,Don't/talk/with/her/here!,Do/you/feel/hot/now?,I/give/two/rabbits/to/her.,Don't/you/push/your/car?,I/don’t/wipe/the/floor/every/night?,Are/you/going/to/mark/this/wrong?,I’m/going/to/guarantee/the/watch.,Aren't you/going to/work/with/the//tired/tiger?,I’m/not/going/to/memorize/the/memory.,I/don’t/know/his/password.,Can/you/make/him/sad?,I/can/sleep/now.,Don’t/you/have/a/friendly/horse?,Can/you/remember/his/puzzled/question?
2,Go/to/the/moon/by/bike!,Don't/give/me/a/gift/card!,"Please,/print/this/page!","Please,/don’t/listen/to/his/joke!",Let’s/wear/a/cool/skirt!,Let's/not/play/with/a/knife!,Why/don't/you/understand/your/son?,"Please,/be/quiet!",Do/you/do/it/with/your/friend?,I/touch/the/queen's/nose/everyday.,Don't/you/draw/three/straight/lines?,I/don’t/know/his/strange/habit.,Are/you/going/to/vote/on/the/boat?,I’m going/to/give/a/lip/service/to/her,Aren't/you/going/to/dance/with/a/wrestler?,I’m/not/going/to/push/your/friend.,"Please,/pull/my/friend!",Can/you/meet/me/tomorrow?,I/can/make/you/cry.,Can/you/fill/the/glass/with/coffee?,I'm/going/to/fight/against/the/angry/bird.
3,Touch/that/black/rose!,Don't/call/me/black/banana!,"Please,/eat/a/beautiful/pumpkin!","Please,/don’t/drink/and/smoke/here!",Let's/swim/with/a/swimmer!,Let's/not/chat/with/her!,Why don't/you/play/cards/with/her/this/sunday?,Don’t/cross/the/river/tonight!,Do/you/get/up/at/7/o'clock?,I/help/my/father/work/every/morning.,Don't/you/break/a/tank/with/your/fingers?,I/don’t/pass/a/soccer/ball/to/her.,Are you/going to/hit a/ball/like/the/best/hitter?,I’m/going/to/play/with/your/brother.,Aren't you/going to/teach the/song/to/a/masked/doctor?,I’m/not/going/to/pull/the/broken/door.,Aren’t you/going/to/play/with/a/short/flower?,Can/you/play/with/a/teddy/bear/tonight?,I/can/make/a/lot/of/money.,I’m going/to make/a/happy/house/with/happy/people,"Please,/don't/drink/and/drive!"
4,Meet/your/friend/on/the/cloud!,Don't/kick/her/soccer/ball/far!,"Please,/make/a/black/bike/white!","Please,/don’t/drink/and/drive!",Let's/buy/a/cheap/bread!,Let's/not/buy/a/cheap/bluetooth!,Why/don't/you/challenge/her?,Let’s/make/a/beautiful/movie!,Do/you/eat/her/black/apple?,I/like/her/black/teeth.,Don't/you/give/the/ad/balloon/to/her?,I/don’t/grow/cucumber.,Are you/going to/drive a/car/like/the/best/driver?,I’m going/to/wake/you/up/at/7/o'clock.,Aren't/you/going/to/give/sugar/to/her?,I’m/not/going/to/build/a/beautiful/castle.,Let’s/test/his/English/speaking/level!,Can/you/make/a/high/mountain/with/salt?,I/can/build/a/good/house/on/sand,Do/you/eat/sugar/for/breakfast?,Are you/going to/dance with/him/on/a/pencil/case?
5,Open/the/big/window/tomorrow!,Don't/play/with/an/unlucky/liar!,"Please,/give/her/my/usb!","Please,/don’t/repeat/'Sorry'!",Let's/cross/a/dangerous/river!,Let's/not/study/English/tomorrow!,Why/don't/you/start/the/song/again?,Fight/against/that/tiger/on/a/tree!,Do/you/have/a/lot/of/money?,I/live/on/a/tree/with/the/frog.,Don't/you/know/this/ad?,I/don’t/save/my/mother.,Are/you/going/to/forgive/him?,I’m/going/to/walk/to/China.,Aren't you/going to/sing a/Korea/song/with/her/mother?,I’m/not/going/to/guarantee/our/friendship.,I'm going/to go/to/the/swimming/pool/by/ambulance.,Can you/cross/this/dangerous/river/by/small/boat?,I can/go to/the/strong/cat/with/my/brother.,I/can/buy/a/black/rose/with/water.,Aren't/you/going/to/remove/ultra/fine/dust?
6,Forget/his/name!,Don't/look/at/his/dirty/nose!,"Please,/interview/me/tomorrow!","Please,/don’t/test/my/English!",Let's/close/our/eyes!,Let's/not/taste/the/pork!,Why/don't/you/fight/against/a/dangerous/dog?,Dream/a/good/dream!,Do/you/swim/in/a/very/big/glass?,I/wear/a/short/skirt/in/winter.,Don't/you/help/the/sick/duck?,I/don’t/save/my/life/saver.,Are you/going to/clean/your/classroom/before/English/class?,I’m/going/to/change/the/old/window.,Aren't/you/going/to/make/the/red/lily?,I’m/not/going/to/fix/the/broken/monitor.,Don’t/make/him/angry!,Can/you/cross/your/legs?,I/can/break/the/broken/boiler/tomorrow.,Let's/sketch/that/flower/with/this/pencil!,I/don't/wash/my/face/everyday.
7,Use/their/train!,Don't/listen/to/that/crazy/dog!,"Please,/dream/a/happy/dream!","Please,/don’t/copy/his/song!",Let's/taste/this/strawberry!,Let's not/draw/a/black/cloud/with/the/pencil!,Why/don't/you/read/the/English/book/loudly?,Don't/give/a/candy/to/her!,Do/you/help/poor/ants?,I/sell/the/black/wind/to/him.,Don't/you/steal/his/mind?,I/don’t/beg/like/a/beggar.,Are you/going to/sing/with/the/singer/after/school?,I'm/going/to/swim/to/the/pacific.,Aren't/you/going/to/steal/his/mind?,I’m/not/going/to/monitor/the/boy’s/motion.,Are you/going/to/belly/dance/like/that/cobra?,Can/you/fold/your/folder?,I/can/open/my/mouth/now,Are/you/going/to/read/the/story/book?,I/can/forget/you/forever.
8,Be/a/good/cat!,Don't/play/with/my/uncle/here!,"Please,/join/a/photo/club/now!","Please,/don’t/fold/your/arms!",Let's/erase/his/name/with/an/eraser!,Let's/not/teach/math/with/a/music/book!,Why/don't/you/pull/her/hair?,Why/don’t/you/forget/his/phone/number?,Do/you/talk/about/a/crying/dog?,I/know/her/bad/habit/well.,Don't you/go/to/the/hospital/by/model/plane?,I/don’t/touch/the/sick/monkey.,Are you/going to/throw/a/curve/ball/to/her?,I’m/going/to/forget/his/past/forever.,Aren't/you/going/to/do/it/after/school.,I’m/not/going/to/live/long.,Eat/sandwich/for/lunch!,Can/you/fold/your/arms?,I/can/open/my/eyes/in/the/water.,Can/you/introduce/me/to/her?,I/train/a/dog/trainer/everyday.
9,Give/my/math/book/to/her!,Don't/check/my/mail!,"Please,/use/his/number!","Please,/don’t/surprise/my/pig!",Let's/use/his/middle/finger!,Let’s/not/cross/the/dangerous/street!,Why/don't/you/cross/the/long/bridge?,Have/a/happy/time!,Do/you/remember/me?,I/remember/his/round/head.,Don't/you/raise/starfish/in/the/fish/tank?,I don’t/remember/a/round/table/in/the/room.,Are you/going to/wash/your/face/with/this/soap?,I’m/going/to/gargle/with/soap/water.,Aren't/you/going/to/give/me/a/hint?,I’m/not/going/to/use/her/foolish/brain.,Do you/give a/lot of/money/to/her/every/day?,Can/you/download/the/app?,I/can/use/my/waist/perfectly.,I/don’t/work/today.,Why/don't/you/go/dancing/with/them/tomorrow?
10,Call/me/ugly/pig!,Don't/break/my/record!,"Please,/help/me/break/the/world/record!","Please,/don’t/go/to/the/galaxy/by/scooter!",Let's/enjoy/the/movie!,Let's not/read/a/comic/book/in/her/car!,Why don't/you cut/the/white/tape/with/a/knife?,Don’t/help/my/mother/sing!,Do/you/know/her/nickname?,I/have/the/same/book.,Don't/you/feel/cold/now?,I/don’t/feel/unhappy/now.,Are/you/going/to/misunderstand/her?,I’m/going/to/love/my/lovely/mother.,Aren't/you/going/to/know/about/your/future?,I’m not/going/to/do/yoga/with/my/mother.,Let’s/not/help/the/strong/thief!,Can you/move/the/smelly/socks/to/your/room?,I/can/make/you/sleep.,You/can/follow/me.,Can/you/teach/Korean/well?
11,Change/his/nickname!,Don't/stand/on/my/head!,"Please,/open/the/gate!","Please,/don’t/pick/a/black/rose!",Let's/clean/that/park/tomorrow!,Let's/not/ask/a/strange/question!,Why/don't/you/play/baseball/with/them/today?,Why/don’t/you/dance/with/her/mother?,Do/you/eat/a/white/orange/for/breakfast?,I/wash/my/face/every/night.,Don't/you/ride/her/scooter?,I/don’t/need/your/money/tomorrow.,Are/you/going/to/belly/dance/there?,I’m/going/to/meet/your/friendly/friend.,Aren't/you/going/to/destroy/the/old/castle?,I’m/not/going/to/break/the/ice.,Don’t/you/have/a/dream?,Can/you/remove/the/smelly/socks?,I/can/make/you/president.,Let’s/not/sing/this/song!,Aren't/you/going/to/listen/to/me?
