INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,What/food/to/sell,How/to/use/bluetooth,Do/you/know/what/to/buy?,I told/you/how/to/catch/a/king/crab.,He/will/ask/you/what/to/do/tomorrow.,Did you/tell him/to/get/out/of/here/yesterday?,Do you/want me/to/do/it/for/the/family?,Why do/you want/me/to/tell/my/life/story?,"You/are/a/scary/baby,/aren't/you?","You/can/bark/like/a/dog,/can’t/you?",He’ll be/able to/know/the/title/of/the/song.,Did/you/see/me/working/on/a/roof?,I/saw/you/taking/off/your/shoes.,A/white/flower/on/your/head,A/fox/around/the/forest,Do you/know/a/white/flower/in/my/garden?,Do you/have to/meet/a/fox/in/the/forest?,You don't/have to/go to/the black/dog/around/the/tree.,Where/do/you/live?,How many/times a/day/do/you/call/your/mother?,How/many/Korean/friends/do/you/have?
1,What/book/to/make,How/to/log/in,I/don't/know/what/to/buy.,You can/tell them/how/to/use/a/copy/machine.,I/don't/know/what/book/to/buy/now.,I told/him/to/get/out/of/here/yesterday.,I want/you/to/do/it/for/your/country.,"Actually, I/don't want/you/to/tell/your/life/story.","You/aren’t/a/scary/baby,/are/you?","You/can't/lie/like/me,/can/you?",I’ll/be/able/to/ignore/them.,I/saw/you/working/on/a/roof.,Where did/you/see/me/taking/off/my/shoes?,The/red/flower/in/your/pocket,A/wolf/around/a/pond,I/carry/the/heavy/stone/under/the/tree.,I have/to/meet/a/fox/in/the/forest.,When are/you going/to meet/the/prince/in/the/castle?,I/live/in/Korea.,I/call/my/mother/three/times/a/day.,Guess/how/many/Korean/friends/I/have?
2,What/door/to/open,How/to/log/out,Do/you/know/what/to/do/tomorrow?,We want/to tell/you how/to/challenge/the/world/champion.,I/don't/know/where/to/dry/hair.,I didn't/tell him/to/get/out/of/here/yesterday.,I don't/want you/to/do/it/for/world/peace.,Where do/you/want/him/to/learn/a/recipe?,"It/is/an/ugly/tree,/isn't/it?","He/can/read/a/comic/book,/can’t/he?",He’ll/be/able/to/keep/the/promise.,I/didn't/see/you/working/on/a/roof,I/heard/you/driving/a/tank.,A/yellow/flower/next/to/her/car,A/spider/on/my/toothbrush,Do you/meet a/dog/on/the/desk/every/year?,I don't/have to/meet/a/fox/in/the/forest.,Why did/you try/to cheat/a poor/king/on/the/horse?,Where/does/she/live?,How/many/times/did/you/meet/her/yesterday?,I can't/guess/how/many/Korean/friends/you/have
3,What/number/to/remember,How/to/live/without/air,I/know/what/to/do/tomorrow.,They’re going/to teach/a monkey/how/to/beat/a/lion.,He/doesn't/know/where/to/dry/hair,Did/you/tell/him/to/repeat/this/pronunciation?,Did/you/want/me/to/interview/her?,I want/him to/learn a/recipe/in/front/of/me.,It’s/isn’t/an/ugly/tree/is/it?,"He/can’t/read/a/comic/book,/can/he?",She’ll/be/able/to/look/back.,I/saw/you/singing/in/the/classroom.,I/can't/drive/a/tank.,A/black/tiger/behind/your/house,The/poor/fox/behind/a/star,I/like/the/dog/in/your/pocket.,When will/you/save/the/wolf/in/the/pond?,How/did/you/hear/me/opening/the/door?,She/lives/in/Japan.,I/met/her/five/times/yesterday.,How/many/books/do/you/have?
4,What/number/to/press,How/to/act/like/a/superman,Did/you/know/what/subject/to/study?,She will/ask you/how/to/dance/like/a/cobra.,I don't/want to/teach you/how/to/fix/a/button.,I/told/him/to/repeat/this/pronunciation,I/wanted/you/to/interview/her.,I don't/want him/to learn/a/recipe/next/to/me.,"He/is/an/old/snake,/isn't/he?","She/can/call/this/‘ad/balloon’,/can't/she?",I’ll/be/able/to/take/care/of/her.,When did/you/see/me/singing/in/the/classroom?,I want/to see/you making/a mistake/in/front/of/me.,The/cat/under/his/car,The/black/chalk/under/the/board,Do you/remember/the/strange/word/in/the/book?,I will/save/the/wolf/in/the/pond/tomorrow.,"At that/time, were/you/sleeping/on/the/street/alone?",She/doesn't/live/in/Japan/these/days.,Where do/you/want/to/eat/dinner/with/me?,I/can’t/guess/how/many/books/I/have.
5,What/gift/to/choose,How/to/wear/a/baseball/glove,I/didn't/know/what/subject/to/study.,He/didn’t/tell/you/how/to/surprise/her.,Did you/tell/him/where/to/get/free/tickets?,I/didn't/tell/him/to/repeat/this/pronunciation.,I/didn't/want/you/to/interview/her.,The/doctor/will/advise/me/to/quit/drug.,He/isn’t/an/old/snake/is/he?,"She/can't/call/this/‘ad/balloon’,/can/she?",You’ll/be/able/to/run/to/me.,I saw/you/singing/at/the/city/hall/yesterday.,I/saw/a/dog/kicking/you.,The/pencil/case/in/my/bag,A/little/prince/under/your/roof,I can/meet/a/strong/bear/around/your/house.,I will/not save/the/wolf/in/the/pond/forever.,I don’t/understand/what/you/are/saying/to/me?,Do/you/know/where/she/lives/these/days?,I/want/to/eat/dinner/at/ABC/restaurant.,I/can guess/how/many/books/I/have.
6,Where/to/eat/street/food,How/to/turn/on/a/cell/phone,Do/you/know/what/computer/to/order?,I didn’t/teach/them/how/to/use/a/laptop.,I didn't/tell/him/where/to/get/free/tickets.,Are you/going to/tell/mother/to/keep/it/secret?,What song/do you/want/me/to/sing/for/her?,My/mother/advised/him/to/quit/drinking.,"His/nickname/is/wolf,/isn't/it?","We/can/surprise/him,/can’t/we?",She’ll be/able to/know/the/name/of/the/bakery.,I/didn't/see/you/singing/in/the/church.,Did/you/see/the/cat/dying?,A/hair/pin/next/to/your/skirt,A/queen/in/the/story,I can/buy the/most/expensive/car/in/your/store.,Do you/have to/give/a/shrimp/to/the/beggar?,When/is/he/going/to/cook/the/duck?,I/don't/know/where/she/lives/these/days.,Do you/really want/to/have/dinner/at/ABC/restaurant?,How/many/junk/cars/does/she/have?
7,Where/to/meet/her/friend,How/to/find/a/hidden/camera,I/don't/know/what/computer/to/order.,He didn't/tell/you/how/to/care/dry/skin.,He will/tell/me/where/to/get/free/emoticons.,Did you/ask/her/to/lend/a/book/rudely?,I want/you to/sing/HappySong/for/the/happy/mood.,My/boss/advised/you/to/study/harder.,"His/nickname/isn’t/wolf,/is/it?","We/can't/surprise/him,/can/we?",The/principal/will/be/able/to/punish/students.,I'm/going/to/wrap/bananas.,I/saw/the/cat/dying/on/the/street.,The school/uniform/between/a/desk/and/a/chair,a/king/on/the/hammer,I can/kick/a/soccer/ball/on/the/playground.,Is/there/a/shocking/news?,Why is/she/melting/the/coin/in/the/book?,I/wonder/where/she/lives/these/days.,"Actually, I/don't want/to/have/dinner/at/ABC/restaurant.",She/has/three/junk/cars.
8,Where/to/make/a/rainbow,How/to/quit/smoking,Do/you/know/what/to/give/her?,He/asked/me/what/lap/top/to/exchange.,He will/not tell/you/when/to/finish/the/game.,I/asked/her/to/lend/a/book/carefully.,I don't/want you/to/sing/HappySong/for/the/war,He can/advise me/not/to/fail/the/driving/test.,"We/are/one,/aren't/we?","They/can/steal/a/recipe/book,/can’t/they?",I’ll/be/able/to/listen/to/his/presentation.,I/want/to/see/you/wrapping/bananas.,I want/to see/you/fighting/against/a/big/tiger.,A/puppy/under/the/plane,The/tall/prince/on/the/egg,I/can/steal/the/wisdom/in/your/head.,There/is/a/shocking/news.,"Because/she/doesn’t/need/the/coin/anymore,",Tell/me/why/she/punched/you.,Why do/you want/to meet/the/math/teacher/after/school?,She/doesn't/have/seven/junk/cars.
9,Where/to/play/Russian/roulette,How/to/teach/English/to/students,I/don't/know/what/to/give/her.,He told/me/what/to/do/at/a/party.,Doesn't/she/teach/you/how/to/fight/well?,I didn't/ask/her/to/lend/a/book/loudly.,Do/you/want/me/to/die/for/you?,The doctor/advised/me/not/to/change/my/habit.,"We/aren’t/one,/are/we?","They/can’t/steal/a/recipe/book,/can/they?",His father/will be/able/to/stay/in/the/cave.,When/are/you/going/to/wrap/bananas?,Do you/want to/see me/crying in/front/of/a/mirror?,An/ant/on/a/pencil,My/money/behind/a/Japanese/map,Can/you/throw/a/stone/on/the/street?,Is/there/a/book/to/read?,When is/she going/to clean/the/trash/in/the/bus?,"Sorry, I/can't/tell/you/why/she/punched/me.",Guess/why/I/want/to/meet/her!,How/many/books/does/she/read/everyday?
