INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,넌 지금 무슨 노래하고 있니?,넌 매일 너의 주소를 바꾸지 않니?,그녀가 포인터s를 확인하러 the 마트에 가야만 하니?,넌 누가 수영을 가장 빨리할 수 있다고 생각하니?,지금 집에 가서 a 샤워하는 것이 어때?,난 지난밤에 무슨 과일을 사야 할지 몰랐어.,그가 어제 그의 다리를 다쳤다. ,넌 the 정보를 확인 할 수 있니?,왜 그녀는 그 나비와 춤을 추고 있지 않니? ,넌 오늘 밤 a 풍선껌을 나에게 왜 줄 수 없니?,넌 그를 너의 생일 파티에 초대했니?,넌 그들이 나의 사무실에 들른 the 시간을 기억할 수 있니?,저가 당신 방에서 소리쳐도 됩니까?,당신은 어떻게 수학을 가르치려고 합니까? ,어제 the 하늘에 the 보름달이 없었니?,the 교차로를 조심해서 건너라!,그녀는 나에게 a 문장을 만드는 법을 가르쳐 주지 않는다.,I 저가 a 기관총을 꺼내도 됩니까?,그녀가 나의 도움 없이 어떻게 그를 이길 수 있지?,"만약 네가 some 사탕s을 가지고 있다면, 나에게 하나 줘.",넌 저기서 수영하는 저 소년을 기억하니?
1,난 a 슬픈 노래를 부르고 있어.,난 나의 주소를 매일 바꾼다.,그녀가 포인터s를 확인하러 the 마트에 가야만 한다.,난 내가 제일 빨리 수영한다고 생각한다.,지금은 안 돼. 난 할 일이 있어.,네가 나에게 물어볼 수도 있었잖아. ,그가 축구하지 말았어야만 했는데 ,왜 너의 개가 너를 차려고 하니?,그는 the 욕심 많은(greedy) 영화배우를 만나고 있지 않습니다. ,"사실, 난 너에게 줄 a 풍선껌을 가지고 있지 않아.","미안, 지금 당장 그에게 전화할게.",난 그들이 나의 사무실에 들른 the시간을 기억할 수 있어.,네가 나의 방에서 소리쳐도 된다.,난 a 야구방망이를 가지고 수학을 가르치려고 해.,어제 the 하늘에 the 보름달이 없었다.,그 첩자를 매일 감시하는 것은 어때!,그녀가 a 공을 멀리 던지는 법을 배우지 않았니?,네가 a 기관총을 꺼내면 안 된다.,그녀의 아빠가 그를 이기는 법을 알고 있어. ,네가 내일까지 여기서 나를 기다릴 수 있니?,난 기억이 나지 않아. 저 소년이 누구지?
2,네가 a 슬픈 노래를 부르고 있는 any 이유가 있니?,넌 왜 매일 너의 주소를 바꾸니?,그녀가 포인터s를 확인하러 the 마트에 갈 필요가 없다.,넌 이 문제가 저 문제보다 더 어렵다고 생각하니?,너는 무엇을 해야만 되지?,넌 내가 너보다 더 똑똑한 걸 알고 있니?,그가 집에 머물러 있어야만 했는데.,난 the 부엌에서 양파s를 요리할 수 있다.,그녀가 그녀의 양말s을 벗고 있습니다. ,넌 왜 오늘 밤에 the 염소와 싸우려고 하니?,네가 그렇게 할 필요는 없다.,난 그들이 나의 사무실에 들른 the 시간을 기억할 수 없다.,네가 나의 방에서 소리치면 안 된다.,난 아무도 너에게 수학을 배우지 않으리라고 생각해.,넌 나에게 an 화살 쏘는 법을 언제 가르쳐 줄거니?,이 엔진 오일을 검사해 주시겠습니까?,그녀가 매일 a 공 잡는 법을 배우지 않니?,네가 a 가스총을 사용해도 된다.,그녀를 이길 사람은 아무도 없다.,난 내일까지 여기서 너를 기다릴 수 있어.,그가 the 올림픽 금메달수상자이다.
3,내가 a 슬픈 노래를 부르는 the 이유를 나에게 묻지 마!,난 네가 그녀의 집을 아는 것을 원하지 않아.,그녀는 얼마나 많은 포인트s를 가지고 있니?,난 어떤 문제가 더 어려운지 추측할 수 없다.,the 천장에 a 고장 난 스프링클러가 있어.,걱정하지 마. 그건 네가 상관할 일이 아니야.,그녀의 은반지가 the 책상 위에 없었다.,저는 a 높은 나무 위에서 잠을 자려고 하지 않습니다.,그녀는 지금 어디에 가고 있지? ,the 염소가 나의 신문을 점심으로 먹었기 때문이지.,그가 아파서 누워있어.,지금 비가 오고 있다. ,그들은 매일 손을 잡고 the 인도를 걷습니까?,그에게 무슨 일이 있니?,오늘은 너에게 an 화살 쏘는 법을 가르칠 시간이 없다.,난 매일 밤 캠핑카를 타고 캠핑간다.,난 내일 수영하러 the 강에 갈 것이다.,난 네가 a 비 오는 날에 노래하는 것을 보고 싶다.,그녀가 지금 타이프를 치고 있지 않니?,난 너에게 내일 벨리댄스를 가르쳐 주고 싶다.,알겠다.
4,"만약 네가 the 이유를 나에게 말하지 않는다면, 난 너를 꼬집을 거다.",내가 어디에 사는지 알고 있는 사람은 아무도 없어.,그녀는 a 차를 살 정도의 충분한 포인트s를 가지고 있다.,넌 몇 살인데?,난 a 고장 난 택시가 있었는지 몰랐다.,"그의 별명은 ‘사슴’이었어, 그렇지?",a 도둑이 그것을 틀림없이 훔쳤을 거다.,음악 수업을 빼먹어라!,그녀는 a 벌거벗은(naked) 문어를 도와주고 있지 않습니다.,넌 나랑 춤추고 싶어 아니면 나의 형과 춤추고 싶니?,무슨 일인데?,네가 an 우산을 준비하는 편이 낫겠다.,그들은 매일 손을 잡고 the 인도를 걷는다.,난 그에게 무슨 일이 있는지 몰라.,난 내일은 너에게 an 화살 쏘는 법을 가르칠 시간이 난다.,난 정말 네가 부럽구나.,넌 언제 그에게 the 요리법을 배우고 싶니?,"만약 내일 비가 온다면, 난 반드시 노래할 거야.",그녀가 지금 타이프를 치고 있지 않아.,어떤 사람이 the 문을 노크했을 때 ,넌 두 소년s 사이에 있는 a 소녀가 보이니?
5,"사실, 나의엄마가 강아지 두 마리s를 어제 샀어.",그녀가 무슨 요일에 당신 집을 방문하려고 하니?,비록 그가 그의 마음을 바꾸지 않음에도 불구하고,내가 몇 살인지 추측해 봐라!,우리는 항상 the 날짜도 확인해야만 돼.,"맞아, 그의 별명은 ‘사슴’이었다.","만약 내가 오늘 a 날아다니는 기차를 만든다면, ",저는 그의 숙제를 빼기지 않습니다.,왜 그녀가 최선을 다하고 있지 않습니까?,난 the 둥근 테이블 위에서 너랑 춤을 추고 싶다.,그는 그가 어제 찬물로 샤워했다고 말했어.,걱정 마! 난 하루 종일 집에 있을 거다.,그들은 매일 손잡고 the 인도를 걷지 않습니다. ,넌 나의 친구가 누구인지 알아?,내가 그것을 숙달하는 데 시간이 얼마나 걸릴까? ,넌 너의 독후감을 지금 마쳐야 하니?,나는 계란s 요리하는 법을 몰라.,너의 엄마는 매일 몇 마리의 토끼s를 잡니?,난 내 자신을 아는 것이 아주 중요하다고 생각해.,넌 그때 무엇을 하고 있었니?,난 두 소년s 사이에 있는 a 소녀가 보인다.
6,넌 강아지s를 좋아하지 않니?,그녀가 이번 일요일에 그의 집을 방문하려고 한다.,그녀는 매일 그를 기다린다.,내가 추측하기론 너는 20살이야.,난 정말 a 불 속에서 죽기 싫어.,넌 내가 널 위해 그것을 하길 원하니?,난 모든 사람을 행복하게 만들 수 있을 텐데.,넌 음주운전 하지 않니?,그들은 진흙으로 a 남자를 만들고 있습니다.,난 네가 너의 형과 춤추는 걸 보고 싶다.,그래서 그가 a 독감에 걸렸다.,지금 눈이 오고 있다.,넌 너의 차를 어제 충전했니?,난 너의 친구가 누군지 몰라.,난 네가 그것을 숙달하는 데 시간이 얼마나 걸릴지 몰라.,그의 사무실에 커피 한잔 마시러 잠시 들리자!,넌 언제 태어났니?,나의 엄마는 8마리의 토끼s를 매일 잡는다.,그는 항상 정시에 여기 오니? ,난 그녀에게 고함을 지르고 있었다.,난 두 소년s 사이에 있는 a 소녀와 춤을 출거다.
7,난 강아지s를 너무너무 좋아해.,"넌 나를 저 할인점에 데려다 줄 수 있지, 그렇지?",그는 그의 손가락으로 a 원을 그리지 않니? ,틀렸어. 나는 50살이야 ,난 네가 가능한 한 빨리 a 스프링클러를 고치기를 바란다.,난 네가 나를 위해 그것을 하길 원해.,넌 많은 금이빨을 가진 a 숙녀를 만나 본 적이 있니?,난 the 깨진 유리창을 부수려고 한다.,왜 넌 최선을 다하고 있지 않습니까?,넌 나를 영원히 미워해야만 하니?,그가 곧 회복할까?,나가서 a 눈사람을 만들자!,난 나의차를 어제 충전했다.,너의 차를 사용하는 것은 가능하니? ,"만약 네가 똑똑하다면, 그렇게 오래 걸리지 않을 거다.",넌 저 강아지처럼 영어를 말할 수 없니?,난 2001년도에 태어났다.,8마리의 토끼들은 매일 엄마에게 잡힌다.,만약 내일 비가 온다면,왜 넌 그녀에게 고함을 치고 있었니? ,7 잎에 the 숫자가 뭐지?
8,난 전혀 이해가 안 돼. 나에게 the 이유를 말해라!,난 널 저 할인점에 데려다 줄 수 없다.,그는 그의 손가락으로 a 원을 그리지 않는다.,설마. 넌 너의 나이에 비해 훨씬 젊어 보여.,그녀가 너에게 사과해야만 하니? ,넌 그녀가 어디서 노래하는 것을 들었니?,난 많은 금이빨을 가진 a 숙녀를 만나 본 적이 있다.,난 읽을 세 권의 영어책s을 가지고 있다.,그들은 나의 등을 간질이고 있다. ,난 너를 영원히 미워해야만 한다.,네가 그의 의사에게 물어보는 편이 낫겠다.,난 a 눈싸움을 하고 싶어.,난 나의 차를 어제 충전하지 않았다.,나의 차를 사용하는 것은 불가능해.,만약 네가 그렇게 말한다면 내가 포기하는 편이 낫겠다.,넌 the 말하기 시험에 합격해야만 해.,넌 어디서 태어났니?,그녀가 그의 수학책을 포장하고 있었니?,나는 a 학교 소풍에 갈 필요가 없다.,난 그냥 그녀에게 고함을 치고 있었다.,7 앞에 the 숫자는 6이야.
9,나의 엄마가 나보다 강아지s를 더 사랑하기 때문에 ,난 지금 할 일이 많아.,그는 그의 입술s로 a 원을 그린다.,넌 내가 먹고 싶은 것을 나에게 사 줄 거니?,그녀가 나에게 사과해야만 한다. ,난 그녀가 the 운동장에서 노래하는 것을 들었다.,난 많은 금이빨을 가진 a 숙녀를 만나 본 적이 없다.,넌 매일 타임머신 타고 학교에 가니? ,우리가 그들의 보물을 묻고 있지 않습니까?,난 널 영원히 미워할 필요가 없다.,난 the 의사가 지금 어디 있는지 모르겠다.,넌 누구랑 눈싸움을 하고 싶니?,난 나의 차를 충전할 시간이 없었다.,왜 너의 차를 사용하는 것이 불가능하지?,힘내라! 난 네가 곧 그것을 숙달하는 걸 원해.,그녀는 매일 밤 the 볼륨을 높인다.,난 너처럼 a 병원에서 태어났다.,그녀가 그의 수학책을 a 신문지로 포장하고 있었다.,난 an 우산을 준비해야만 한다.,왜 넌 나에게 사과를 할 수 없니?,월요일 다음 날이 무슨 요일이지?
