INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,May/I/belly/dance/with/you?,You/may/clean/my/room/tomorrow.,You/must/not/join/the/club.,Do/they/live/with/you/on/a tree/every day?,I/don't/drive/her/compact/car/slowly.,Do/they/get/a/group/discount?,Is/he/going/to/worry/about/you?,He’s/going/to/make/a/girl/friend/this Friday.,Are/they/going/to/teach/sign/language/to her?,They’re/going/to/sleep/on/the/cold/street.,Are/they/going/to/take/me/to/the hospital?,Can/she/draw/a/circle/with/her/finger?,I/can/understand/the/tricky/quiz,Did/you/open/spam/mail/and/click/the link?,I/ate/a/black/rose/last/year,I/prayed/for/his/success,I/didn't/open/the/front/door/just/in case,He/could/catch/a/flying/plane/with/his hands,You/couldn't/sell/my/wedding/ring,May/I/taste/that/salt?,Cross/the/street/with/my/dog!
1,May/I/pat/your/pet/slowly?,You/may/change/the/bear's/nickname.,You/must/not/steal/my/hidden/money.,Do/they/read/her/English/book/outside?,We/go/to/Buddha/by/premium/car/every year.,They/get/a/group/discount,Is/she/going/to/be/a/great/pianist?,He/isn’t/going/to/clean/your/living room/tomorrow,Are/they/going/to/quit/smoking/for family/this year?,We/aren’t/going/to/go/out/after/nine o'clock,They’re/going/to/take/you/to/the/hospital,Can/he/draw/a/triangle/with/his/elbow?,You/can't/give/her/white/coffee,Did/you/go/to/the/bank/by/her bike?,I/sang/a/song/at/the/party,I/arrived/in/Germany/two/days/ago,I/didn't/challenge/him,You/could/work/with/his/brother,He/couldn't/show/her/diary/to/me,You/must/not/buy/potatoes/there,Why/don't/you/play/computer/games/with/them!
2,May/I/use/your/necklace?,You/may/order/an/ugly/pig/online.,You/must/not/meet/her/on/the/street,Do/they/boil/water/every/morning?,They/don't/visit/her/house/every/night,They/don't/get/a/group/discount,Is/he/going/to/go to/her house/by bus/after school?,She’s/going/to/give/me/the/rabbit/tomorrow,Are/they/going/to/meet/a/terrible/terrorist?,They’re/going/to study/music/with me/in/a/quiet room,They/aren’t/going/to/take/you/to/the hospital,Can/they/meet/me/tomorrow?,He/can/change/his/pants/in/my/room,Did/you/close/the/door/and/lock it/yesterday?,I/met/your/friend/here,I/picked/his/nose/three/days/ago,I/didn't/help/him/challenge/her,I/could/understand/the/tricky/English/question,She/couldn't/meet/the/American/in/the/USA,Do/they/use/their/credit/card/everyday?,Would/you/like/to/pray/for/me?
3,May/I/give/my/English/book/to/yourdaughter?,You/may/call/that/White/Banana/in/English,You/must/not/eat/potatoes/for/snack.,Do/they/eat/potatoes/for/snack/every/afternoon?,I/hurry/up/every/Thursday,May/I/take/off/an/overcoat/in/the classroom?,Is/he/going/to/study/with them/for/three hours?,She/isn’t/going/to show/rock/in/the/rock-paper-scissors game.,Are/they/going/to/mix/cement/with/water?,We/aren’t/going/to/hide/your/father,Is/she/going/to teach/the/best song/to/a dog?,Can/they/take/care/of/your/baby/tonight?,She/can/help/me/change/buses,Did/you/play/with/a/game/mania/last year?,I/solved/the/problem/with/her,I/washed/my/hair/four/days/ago,I/didn't/press/his/belly/hard/just/in case,She/could/meet/a/famous/chef/in/the kitchen,He/could’t/wipe/my/tears/with/his/dirty towel,Is/she/going/to/edit/the/science/book?,Don't/throw/away/trash/on/the/street!
4,May/I/sit/on/your/shoulders?,You/may/introduce/yourself/to/us.,You/must/not/kill/the fly/on/the/white wall.,Do/they/need/your/help/every/evening?,We/don’t/study/medicine/with/them/every/Thursday.,You/may/take/off/an/overcoat/in/the classroom,Is/she/going/to/belly/dance/for/ten hours?,She’s/going/to/put/the/bread/on/her head.,Are/they/going/to/copy/my/homework?,They’re/going/to/make/a/big/boat/in winter.,She’s/going/to/teach/the/best song/to/a dog,Can/he/make/a/bouquet/with/roses?,They/can/change/their/cell/phones/for/a change,Did/you/make/a/beautiful/cloud/with/cigarette smoke?,I/made/sugar/tea/with/sugar,I/remembered/the/answer/five/days/ago,I/didn't/make/a/chair/with/sand,They/could/wash/his/mask,They/couldn't/raise/a/smelly/skunk/here,They're/going/to/explain/the/basic/outline/to us,Don't/eat/food/with/dirty/hands!
5,May/I/push/your/shopping/cart?,You/may/wash/my/premium/car/with/sugar water.,You/must/not/water/the/tree/in/the afternoon.,Do/they/drive/your/car/with/one hand/every hour?,They/don't/eat/fish/for/brunch,You/must/not/take off/an/overcoat/in/the classroom,Is/she/going/to/sell/a/mysterious tree/to you?,She’s/going/to/talk/about/the/simulation/test,Are/they/going/to/fight/hard/for/my country?,We/aren’t/going/to/buy/potatoes/there,She/isn’t/going/to/teach/the/best song/to me,Can/she/solve/this/difficult/quiz?,We/can/give/you/the/report/card,Did/you/get/a/puzzled/spam/mail/yesterday?,I/went/to/the/sea/by/her/junk bike,I/threw/the/trash/over/the/fence,I/didn't/go/to/the/paradise/by/rocket,We/could/sing/on/the/old/fine/tree,We/couldn't/plant/the/lemon/tree/this/afternoon,Can/we/go/outside/after/nine/o’clock?,Do/you/have/to/finish/typing/now?
6,May/I/drink/some/water?,You/may/look/at/the sun/without/glasses/now.,You/must/not/play/in/their/garden.,Do/they/check/my/weight/every/Monday?,We/hunt/a/white/tiger/on/the island/every year.,Do/they/go/to/church/on/Sundays?,Is/she/going/to/invite/the troublemaker/to/your house?,He/isn’t/going/to/buy/a/new/copy machine,Are/they/going/to/wear/my/right/glove?,They’re/going/to/check/the/message/from/her,Is/he/going/to/grow/roses/this/year?,Can/she/throw/the/bouquet/to/me?,I/can/wear/a/short/skirt/in/that case,Did/you/jump/over/the/fence/yesterday?,I/opened/the/broken/window/yesterday,I/called/him/a/week/ago,I/didn't/eat/pork/last/year,He/could/join/the/fan/club/last/Monday,He/couldn't/make/delicious/chocolates/with/salt,Did/you/turn/on/your/cell phone/in/the museum?,Let's/use/solar/energy!
7,May/I/introduce/myself/to/you?,You/may/press/the/number.,You/must/not/throw/an/eraser/to/me.,Do/they/make/a/yellow/snowman/with/black ice?,They/swing/a/baseball/bat/on/the playground/every day,They/go/to/church/on/Sundays,Is/he/going/to/play/the/rock-paper-scissors/game?,He’s/going/to/buy/a/wedding/dress/next week,Are/they/going/to/meet/your/homeroom teacher/tomorrow?,We/aren’t/going/to/lie/side/by/side,He/is/going/to/grow/roses/this/year,Can/he/fight/against/a/strong spider/on/a tree?,He/can't/run/to/the/school/fast,Did/you/throw/a/towel/over/the/fence?,I/danced/to/the/music,I/threw/a/ball/over/the/building,I/didn't/fail/the/test,She/could/make/a/snowman/in/Africa/last year,She/couldn't/win/a/gold/medal/at/the Olympics,They/studied/music/with/me/in/a/quiet room,Can't/you/speak/English/well?
8,May/I/take/out/your/English/book?,You/may/water/the/flowers.,You/must/not/wake/up/now.,Do/they/ask/a/dizzy/question/every/Tuesday?,They/don’t/wash/dishes/under/that/tree/every morning,They/don't/go/to/church/on/Sundays,Is/she/going/to show/rock/in/the/rock-paper-scissors game?,She’s/going/to/draw/her/angry face/on/a rock,Are/they/going/to meet/the/eye doctor/after/eight o'clock?,I’m/going/to/put/empty/cans/side/by side,He/isn’t/going/to/grow/roses/this/year,Can/they/forget/his/important/story?,They/can/misunderstand/his/bad/habit,Did/you/forget/to/call/him?,I/forgot/his/name/two/years/ago,I/built/a/big/snowman/yesterday,I/didn't/give/new information/to/her/just/in case,We/could/call/you/in/the/water,You/couldn't/wake/me/up,I/didn't/drink/a lot of/coffee/for/my/health,You/have/to/have/a/cold
9,May/I/meet/that/gentleman/outside?,You/may/finish/this/now.,You/must/not/sleep/outside/in/winter.,Do/they/throw/away/your/books/every/Tuesday?,We/watch/TV/with/his/family/every/evening,May/I/remove/your/tattoo?,Is/she/going/to show/scissors/in/the/rock-paper-scissors game?,She/isn’t/going/to/have/a/snowball fight/against me,Are/they/going/to/meet/the/eye doctor/on time?,They’re/going/to/catch/my/slow/ball,Are/they/going/to/put/my key/under/the desk?,Can/he/put/his/head/on/your/head?,I/can/remember/his/black/eye,Did/you/touch/the/screen?,I/used/the/hi-tech/missile,I/built/this/building/two/days/ago,I/didn't/have/a/good/time/with/them,I/could/sleep/in/your/house/yesterday,They/couldn't/live/with/the/busy/bird,They/want/to/learn/etiquette/from/me,Let's/not/put/the/soap/in/a/wet place!
