INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,그는 a 방독면을 쓰려고 노력했다.,그들이 그녀에게 a 편지를 쓰는 편이 낫다.,그가 그 사실을 모르는 편이 낫다.,당신은 가르치려고 합니까?,당신은 누구를 사랑하고 싶어요? ,당신은 왜 나에게 예절을 가르치려고 합니까?,당신은 누구를 차고 싶어요? ,난 너를 그에게 소개하고 싶다.,난 그녀를 더 이상 볼 수 없다.,a 곰을 속이기 위해,a 곰을 속이기 위해 잠자는 것이 어때?,난 내일 the 농장에 가려고 7시에 잔다. ,넌 축구하러 the 운동장에 가니?,a 사기꾼을 속이기 위하여 돈을 세는 것이 어때?,영어 수업을 매일 빼먹는 것은 is 불가능하다.,오늘 밤 너와 저녁 먹는 것은 불가능하다.,나에게 a 팁 주는 것은 힘이 드니?,the 운동장을 사용하는 것은 가능했습니까?,a 현명한 사기꾼을 속이는 것은 불가능하다. ,a 현명한 로봇을 사는 것은 a 현명한 결정이었다.,난 나의 비번을 어제 바꿨다.
1,그녀는 모래로 the 타워를 만들지 않으려고 노력했습니다.,우리가 the 곰의 얼굴을 귀엽게 만드는 편이 낫다.,그는 그들과 커피를 마시는 편이 낫다.,당신은 수영할 수 있나요?,넌 언제 그녀의 책을 빌려야만 했니?,당신은 언제 나와 수영 할 수 있나요?,넌 언제 그녀의 귀걸이를 빌려야만 했니? ,난 매일 킹크랩s 5마리를 먹을 수 있다.,넌 가을에 a 편지를 쓰려고 한다.,a 생쥐처럼 날지 않기 위해,난 a 오리처럼 날기 위해 날개s를 사지 않는다.,난 그녀의 엄마를 속이려고 그녀의 다이아몬드를 숨긴다.,난 축구하러 the 운동장에 간다.,난 열심히 공부를 안 하려고 나의 책s을 판다.,늦게 일어나지 않는 것은 is a 좋은 습관이다.,a 나쁜 도둑을 돕는 것은 a 나쁜 습관이다.,수업 중에 친구s와 잡담하는 가는 것은 나쁘니?,the 운동장을 사용하는 것은 가능했다.,a 보트 위에서 투표하는 것이 나의 습관이었다.,한국에서 영어를 공부하는 것은 쉽습니다.,the 링크를 클릭하기 위해 the 마우스를 움직이는 것이 어때?
2,그는 춤에 집중하려고 노력했다.,내가 그를 거인이라고 부르는 편이 낫다.,a 테러리스트는 오늘 a 끔찍한 돼지를 방문하지 않는 편이 낫다.,넌 걷니?,넌 어디서 나와 춤을 출 거니?,넌 언제 나의 집에 올 거니?,넌 어디서 the 속보를 볼 거니? ,난 나의 임무에 관한 the 책을 읽어야만 했다.,그가 간식으로 카레라이스를 먹었다.,a 파리를 안 죽이기 위해 ,a 파리를 죽이기 위해 a 테러리스트와 결혼하자!,난 늦게 일어나기 위해 커피를 한잔 마실 거다.,난 축구하러 the 운동장에 가지 않는다.,a 거지가 되지 않기 위해 a 부자 돼지와 결혼하자!,늦게 일어나는 것은 a 나쁜 습관이다.,그녀의 팀을 응원하는 것은 a 좋은 습관이다.,그의 실수를 그들에게 말하는 것은 틀린 거니?,the 운동장을 사용하는 것은 가능하지 않았다.,a terrorist와 결혼하는 것은 안전하지 않다.,a 트럭 위에서 the 피아노 치는 것은 위험하디.,넌 어디서 a 웨이터를 기다렸니?
3,그는 당신의 딸과 결혼하지 않으려고 노력했다.,그녀가 저녁으로 a 검은 바나나를 요리하는 편이 낫다.,그녀가 여덟 마리 토끼s를 사냥하는 편이 낫다.,당신은 사랑하고 싶어요?,당신은 왜 그 숫자를 기억해야만 합니까? ,당신은 어떻게 the 포스터를 디자인할 수 있나요?,당신은 왜 그 추억을 잊어버려야만 합니까? ,네가 나의 뇌를 언제든지 팔아도 된다.,그녀가 나의 점수를 너에게 보여주지 않을 것이다.,많은 돈을 벌려고,난 많은 돈을 벌려고 널 속이지 않았다.,난 a 집을 사려고 나의 아빠를 팔고 싶다.,넌 그녀와 악수하려고 너의 손s을 씻니?,난 너를 놀라게 하기 위해 a 고양이 가면을 쓰지 않았다.,입에 발린 말하기가 is 어렵다.,그녀의 할아버지를 만나기가 어렵다.,수업 중에 자는 것은 나쁘니?,the 은하수 아래에서 a 책 읽기가 가능했습니까?,the 산속에서 a 탱크를 운전하는 것이 위험하지 않았다.,매일 밤 2개의 바나나s를 먹는 것은 너의 뇌에 좋다.,네가 오늘 밤에 the 스파이를 감시하는 편이 낫다.
4,그는 the 차의 the 색을 확인하려고 노력했습니다.,그가 스트레스받지 않는 편이 낫다.,그가 the 차가운 길 위에서 잠을 자지 않는 편이 낫다.,당신은 도와줄 수 없습니까?,당신은 얼마나 오랫동안 달리고 싶습니까?,당신은 왜 the 정보를 나에게 말해 줄 수 없죠?,당신은 얼마나 오랫동안 잠자고 싶습니까? ,난 9시간s 동안 아무 곳에서 잠을 자고 싶다.,우리가 어쨌든 그 문제를 해결해야만 한다. ,a 튼튼한 남자가 되지 않기 위해,난 a 깡마른 남자가 되지 않기 위해 돼지고기를 먹으려고 한다.,나는 a 공연을 보기 위해 the 광장에 갈 수 있다.,난 그녀와 악수하려고 나의 손s을 씻는다. ,난 the 겁쟁이 염소와 싸우기 위하여 태권도를 배울 것이다.,a 칼을 가지고 노는 것은 위험하다.,the 길에서 노는 것은 아주 위험하다.,많은 주스를 마시는 것은 너의 몸에 좋니?,the 은하수 아래에서 a 책 읽기가 가능했다.,점심으로 바비큐 먹는 것은 가능하다.,그의 반지를 the 공주에게 파는 것은 가능했다.,난 the 공식 행사를 취소할 수 없다.
5,그녀는 당신의 피아노를 팔지 않으려고 노력했다.,그들이 나의 방을 검은색으로 페인트칠하는 편이 낫다.,a 호랑이가 나의 말을 듣는 편이 낫다.,넌 꿈을 꾸었니?,너의 뇌를 팔지 마! ,넌 지난밤 무엇에 관한 꿈을 꾸었니?,너의 오리를 a 농부에게 팔지 마! ,난 the 운동장에서 the 노래를 공부한다.,난 the 세계일주여행을 하고 싶습니다.,그녀와 결혼하기 위해서 ,난 그녀와 결혼하기 위해 a 저택을 사고 싶다.,넌 성공하려고 일본에 갔니?,넌 방콕에 무엇을 타고 가니?,난 a 최신 운동화s를 너에게 소개하고 싶다.,a 꽃을 더럽게 만드는 것은 나쁘다.,나쁜 음식을 만드는 것은 나쁘다.,너의 옆에 앉은 것은 괜찮니?,the 은하수 아래에서 a 책 읽기가 가능하지 않았다.,the 최신기술을 a 관리자에게 소개하는 것은 나쁘지 않다.,그녀의 짧은 전화번호를 기억하는 것은 불가능하다.,왜 너는 그를 이길 수 없니?
6,그녀는 그것을 나와 같이 하지 않으려고 노력했다.,그가 나의 얼굴을 흰색으로 페인트칠하는 편이 낫다.,a 왕이 점심으로 그 옥수수를 먹지 않는 편이 낫다.,넌 확인해야만 하니?,넌 누구와 영어를 공부해야만 하니?,넌 어디서 a 말하는 새에 발견했니? ,넌 누구와 스페인어를 공부해야만 하니? ,난 그녀를 쉽게 이길 수 있다.,난 3시간s 동안 혼자 있고 싶다. ,the 토끼를 기다리기 위해,난 the 토끼를 기다리기 위해 a 노래를 부를 수 있다.,넌 the 산에 가려고 일찍 아침을 먹으려고 하니?,난 방콕에 자전거를 타고 간다.,난 나의 할머니를 도와주기 위해 나의 차를 팔 수 있다.,스페인에 걸어가는 것은 힘들다.,요즈음 당신 만나기가 어렵다.,a 가면 쓴 양과 싸우는 것은 위험하니?,너의 차를 the 공원에 주차하는 것은 괜찮았니?,매일 너의 아빠를 만나는 것은 어려웠다.,그녀를 물리치는 것이 그의 최종목표였다.,난 the 기차역 앞에서 a 직행버스를 잡을 수 있다. 
7,그는 그 영화 the 제목을 알려고 노력했다.,그녀가 그 벽(wall)을 노란색으로 페인트칠하는 편이 낫다.,그 과학자가 나의 집에 오지 않는 편이 낫다.,넌 빌려야만 했니?,넌 무슨 꿈을 꾸었니? ,넌 왜 a 휠체어를 빌리려고 하니?,넌 왜 내 꿈을 꾸었니? ,난 추잉껌을 씹지 않을 것이다.,넌 종이비행기를 타고 the 금성에 갈 수 있다.,그 문제를 설명하기 위해,넌 너의 임무를 설명하기 위해 여기에 왔니?,넌 the 천장을 수리하려고 그의 책상을 옮겼니?,난 바나나s를 사려고 알래스카에 가지 않았다.,넌 the 노래를 하지 않으려고 a 방독면을 썼니?,the 숨겨진 돈을 찾는 것은 불가능하다.,a 긴 기차를 운전하는 것은 어렵다.,a 시간폭탄(bomb)을 만드는 것은 정말 위험하니?,나의 차를 the 공원에 주차하는 것은 괜찮았어.,the 거북이들과(turtles) 일하는 것은 따분하지 않았다.,a 불독 아래서 자는 것은 안전하다.,저가 물을 좀 마셔도 됩니까?
8,그녀는 번지 점프를 하려고 노력했습니다.,우리가 그녀의 책을 큰 소리로 읽는 편이 낫다.,우리는 그의 개를 이해하는 편이 낫다.,당신은 주문하시겠습니까?,당신은 얼마나 빨리 수영할 수 있나요? ,당신은 어떤 한국 음식을 주문하려고 합니까?,당신은 얼마나 높이 a 축구공을 찰 수 있나요? ,난 a 노래하는 새를 the 문 위에 그렸다.,그가 어제 일찍 학교에 가야만 했어.,그 고양이를 안 만나려고 ,난 그 군인을 만나려고 여기에 올 거다.,넌 성공하기 위해 매일 열심히 공부하니?,넌 그녀와 같이 춤을 안 추기 위해 울려고 하니?,난 a 상어를 낚기 위해 the 태평양에 갈 것이다.,그녀와 매일 밤 춤추는 것은 나의 운명(fate)이다.,너와 같이 있는 것은 나의 행복이다.,a 소녀 앞에서 우는 것은 a 부끄러운(shame) 일이니?,the 공원에 나의 차를 주차하는 것은 괜찮지 않았다.,여름에 the 물 위에 사는 것은 a 좋은 생각이다. ,지옥에서 a 좋은 남자를 만나는 것은 불가능했다. ,넌 어제 나에게 몇 번 전화를 걸었니?
9,그녀는 그의 엉터리 영어를 이해하려고 노력했다.,그들이 그의 차를 장식하는 편이 낫다.,그 생쥐는 the 고양이의 방을 개조하지 않는 편이 낫다.,저가 가도 됩니까?,당신은 어떻게 수학을 가르치려고 합니까? ,넌 왜 그 비싼 스포츠카를 사려고 하니?,당신은 어떻게 수학을 가르치려고 합니까? ,난 내년에 음악 공부를 시작하려고 한다.,네가 나의 큰 방을 언제든지 사용해도 된다.,축구하기 위해,넌 축구하기 위해 에너지 음료s를 마셔야만 하니?,the 세상소식s을 알기 위해 넌 the 신문을 읽을 거니?,난 그녀와 같이 춤을 추기 위해 웃으려고 한다.,넌 그들과 놀기 위해 the 게임을 마쳐야만하니?,그녀의 손가락s 사용하지 않는 것은 불가능하다.,그녀의 주소를 기억하는 것은 불가능하다.,a 도둑이 나의 개 훔치는 걸 도와주는 것은 좋니?,이 도시에서 공짜 wi-fi를 사용하는 것은 불가능했나요?,자기 전에 많은 물을 마시는 것은 좋지 않다.,the 긴 노래를 암기하는 것이 가능하다.,넌 지금 자도 된다.
