INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,너는 자고 있니? ,너는 만나고 있지 않니? ,왜 그녀는 그 나비와 춤을 추고 있지 않니? ,그들은 the 벽에 기대고(lean against) 있지 않습니다. ,나의 엄마가 the 부엌에서 a 오이를 자르고 있습니까? ,그가 어제 비명 지르고 있었니? ,네가 그 문어의 머리를 만지고 있었기 때문에 ,그의 아빠가 그녀의 엄지발가락을 긁어 주로 있었을 때,넌 나에게 말해 줄 긴급 속보가 있니?,넌 the 스파이를 a 개처럼 훈련시키려 하니? ,그녀는 매일 밤 손s으로 고기를 잡니? ,그녀는 매일 너의 느린 공을 잡니? ,그녀는 어디서 매일 a 샤워를 하니?, 난 너에게 줄 a 상품권이 있다.,그는 수요일마다 그의 방을 꽃s으로 장식한다.,그녀는 동영상을 찍기 위해 the 해변에 간다. ,그녀는 너의 미래에 관하여 생각하지 않니? ,너의 아빠가 너의 기술을 무시하지 않니? ,그 치과의사가 너의 부러진 코를 치료하니? ,그들은 지금 on the 운동장에서 축구해. ,넌 그녀에게 a 읽을 책을 주지 않니? 
1,그는 자고 있니? ,그녀가 적고 있지 않니? ,그는 the 욕심 많은 영화배우를 만나고 있지 않습니다. ,그는 a 젖은 책을 a 옷걸이에 걸고 있지 않습니까? ,너의 여동생이 아빠와 같이 카드놀이s를 하고 있다.,그들이 지난밤에 비명 지르고 있었니? ,왜 너는 그 문어의 배(belly)를 만지고 있었는데?,내가 그 게으른 고양이를 더운물로 씻겨주고 있었을 때,나는 어제 the 교회에서 역사를 공부하지 않았다.,넌 어디서 태양에너지를 연구하려고 하니? ,그는 the 차 문을 여니? ,그는 매일 밤 a 열쇠를 찾니? ,그는 몇 시에 the 책을 폅니까?, 나는 만약을 위해서 the 장난감 스포츠 차를 훔친다.,너의 아빠는 그녀에게 줄 emoticons 을 산다,그는 그녀와 결혼하기 위해 그의 자전거를 판다. ,그는 너를 신경 쓰지 않니? ,그가 the 거실에서 an 우산을 펼치지 않니? ,그는 나의 부러진 코를 치료해. ,우리가 지금 그 바나나 나무를 심고 있어. ,그녀는 너의 능력을 무시하니?
2,그녀는 자고 있니? ,그가 가고 있지 않니? ,그녀가 양말s을 벗고 있습니다. ,그녀가 그 마을을 돌아다니고(hang around) 있지 않습니까? ,그의 누나가 the 철로를 건너고 있지 않습니까?,그녀가 한 시간 전에 비명 지르고 있었니? ,넌 지금 어디 가고 있니? ,an 수의사가 a 병든 강아지를 치료하고 있었을 때,난 내일 학교에서 수학을 공부할 거야.,난 내일 나의 죽은 불사조를 묻을 a 장소를 찾을 수 있다. ,너의 아빠는 세수하니? ,너의 아빠는 그의 스승을 일 년에 한 번 만나니? ,너의 아빠는 왜 매일 아침에 코를 고니?, 우리는 a 더러운 강을 아름답게 만든다.,너의 엄마는 그의 방을 청소하려고 그녀의 머리를 묶는다,너의 고양이는 그 돼지를 행복하게 하려고 열심히 일한다. ,너의 아빠는 너를 모르니? ,그녀가 a 새로운 곳에서 a 네이비게이션을 켜지 않니? ,그는 나의 부러진 코를 치료하지 않는다. ,우리는 매일 밤 the 텐트 속에서 말s과 춤을 춘다. ,그녀는 너의 능력을 무시한다. 
3,그들은 자고 있니? ,우리가 서 있지 않니? ,그녀는 지금 어디에 가고 있지? ,그들은 a 야구 경기를 보고 있지 않습니다. ,그녀의 남동생이 당신에게 a 눈 뭉치를 던지고 있어.,우리가 지난 월요일에 비명 지르고 있었니? ,난 the 도서관에 가고 있어. ,그러나 그녀는 천천히 돈을 세고 있었습니다.,엄마에게 말대꾸하지 말자!,나의집에 팔 컴퓨터s가 2대 있었다. ,너의 엄마는 그녀의 발(feet)을 씻니? ,너의 엄마는 매일 저녁 the 아픈 개미를 마사지하니? ,어떻게 너의 엄마는 a 멋진 프로젝트를 만드니?, 만약을 대비하여 a 곰은 a 남자가 되려고 마늘(garlic)을 먹는다.,그녀는 토요일마다 그녀의 고양이를 the 나무에 묶어둡니다,너의 엄마는 외출하려고 세수한다. ,너의 엄마는 너를 이해하지 않니? ,그들은 너의 성격(character)을 오해하지 않니? ,그 학생이 the 선생님s을 매시간 확인하니? ,난 오늘 아침에 아빠와 a 무선 전화기를 팔고 있었다.,그래서 그녀는 너에게 그녀의 이상한 능력을 보여준다. 
4,우리가 자고 있니? ,그들이 달리고 있지 않니? ,그녀는 a 벌거벗은(naked) 원숭이를 도와주고 있지 않습니다.,우리는 a 야구 경기를 TV로 보고 있지 않습니다.,나의 선생님이 양초s를 사고 있습니까?,한 학생이 지난 주말에 a 부재중 전화를 확인하고 있었니? ,왜 넌 the 도서관에 가고 있는데? ,그들은 a 눈사람을 만들고 있었습니다.,네가 the 젖소에게 꿀을 주었니?,넌 오늘 저녁에 누구랑 저녁을 먹고 싶니? ,너의 선생님은 the 약국에 가니? ,너의 선생님은 봄에 the 호수 주위에서 주무시니? ,너의 선생님은 누구와 봄에 the 토크쇼에 가니?, 그들은 그들의 마늘을 a 곰에게 준다.,the 거짓말쟁이는 일요일마다 나에게 거짓말을 해요,너의 선생님은 a 학생을 구조하러 호수에 간다. ,너의 선생님은 그 개를 물지 않니? ,그가 너의 계획을 검토하지 않니? ,그 학생이 the 선생님들을 매시간 확인하지 않는다. ,"사실, 그녀는 a 문신을 한 소녀를 도와주고 있지 않습니다. ",그들은 너의 까다로운 성격(character)을 모르니? 
5,나는 먹고 있어. ,넌 앉아 있지 않니? ,왜 그녀가 최선을 다하고 있지 않습니까?,그가 the 당근 (carrot) 주스를 맛보고 있지 않습니까?,그의 개구리가 the 벌거벗은 마법사를 만나고 있다.,2명의 학생s이 a 부재중 전화를 확인하고 있었니? ,난 a 만화책을 반납하러 the 도서관에 가고 있다. ,그러나 그녀는 그 눈사람을 파괴하고 있었습니다.,나는 너에게 줄 any 돈이 없어.,넌 언제 the 고장 난 이어폰을 교환했니? ,그는 수영하러 가니? ,그는 매일 아침 기지개를 하고 노래하니? ,그는 왜 여름에 스쿠버 다이빙하러 가니?, 그는 그의 방을 청소하기 위해 the 창문을 닫는다.,그들은 금요일마다 일찍 잠에서 깨어납니다,그는 the 길 잃은 강아지를 찾으러 the 동물원에 간다. ,그는 물을 끓이지 않니? ,너의 아빠는 너의 사진을 업로드하지 않니? ,그녀가 the 선생님들을 매시간 확인해. ,왜 그는 a 문신을 한 소녀를 구해주고 있지 않습니까? ,그들은 나의 까다로운 성격을 잘 안다. 
6,그는 공부하고 있어. ,그녀가 오고 있지 않니? ,그들은 진흙으로 a 남자를 만들고 있습니다.,그녀는 그에게 a 물티슈를 주고 있지 않습니다. ,그녀의 남동생이 a 서류철을 접고 있니? ,한 마리 여우가 a 부재중 전화를 확인하고 있었니? ,네가 나의 아빠 차에 기대어 서 있었다.,그들은 그녀의 침대를 어디로 옮기고 있었나요?,아침에 일찍 깨는 것은 것이 힘들어. ,그들이 지금 어디서 포켓몬과 말하고 있니? ,그녀는 매일 그녀의 피부를 위해 기도하니? ,그녀는 가을에 the 기타를 치니? ,그녀는 왜 a 마녀의 집을 밤에 청소하니?, 너의 아빠가 some 소금을 사려고 나의 신용카드를 빌릴 때,그는 a 마법사를 만나러 the 숲속에 간다,그녀는 the 냄새나는 정원을 청소하기 위해 a 방독면을 씁니다. ,a 벌이 a 새처럼 높이 날지 않니? ,a 호랑이가 a 개처럼 짖지 않니? ,그들은 매일 밤 그의 회원증을 the 침대 밑에 숨기니? ,그녀가 왜 나의 방에서 냄새나는 the 양말s을 벗고 있습니까?,그러나 그들은 너의 까다로운 성격을 몰라. 
7,그녀는 생각하고 있어. ,그가 만들고 있지 않니? ,왜 넌 최선을 다하고 있지 않습니까?,그들은 a 공격하는 사람을 공격하고(attack) 있습니다.,나의 여동생이 너의 학교 가방을 싸고(pack) 있다. ,두 마리의 여우s가 an 공식 행사를 준비하고 있었니? ,왜 넌 나의 아빠 차에 기대어 서 있었는데,그들은 그녀의 침대를 the 거실로 옮기고 있었습니다.,그의 아빠가 어제 너를 만날 수 없었다.,왜 네가 나에게 그 다이아몬드 반지를 줄 수 없니? ,그의 여동생은 여름에 스케이트 타러가니? ,그의 여동생은 겨울에 the boiler를 켜니? ,그의 여동생은 언제 스케이트 타러가니?, 너의 엄마는 그의 더러운 방에 들어가려고 슬리퍼s를 신는다.,너는 a 더운 여름날 a 차 위에서 계란s을 fry 한다,그의 여동생은 나와 놀려고 나의 부엌에 온다. ,두 명의 학생이 너의 문제를 해결하지 않니? ,우리가 그녀의 이야기를 다운로드하지 않느냐고? ,그들은 매일 밤 그의 회원증을 the 침대 밑에 숨긴다. ,"어쨌든, 그들은 그들의 급우s들과 a 낮잠을 자고 있다. ",넌 지금 the 떠오르는 별을 보고 있지 않니?
8,우리는 춤추고 있어. ,우리가 만지고 있지 않니? ,그들은 나의 등을 간질이고(tickle) 있다. ,그가 그녀를 괴롭히고 있지 않습니까?,나의 의사가 the 고장 난 미사일에 관하여 설명하고 있습니까? ,선생님 한 분이 an 공식 행사를 준비하고 있었니? ,난 그냥(just) 나의 아빠 차에 기대어 서 있었어.,그의 여동생이 너의 헤어스타일을 바꾸고 있었니?,넌 그녀가 the 넘어진 개구리를 구해줄 수 있다고 생각하니?,"사실(in fact), 난 너에게 줄 the 다이아몬드 반지를 가지고 있지 않아. ",그녀의 남동생은 그녀에게 전화하니? ,그녀의 남동생은 매일 그녀에게 전화하니? ,언제 그녀의 남동생은 그녀에게 전화하니?, 그들은 a 무서운 선생님에게 복싱을 가르친다.,그는 잠을 자러 the 동굴에 간다.,그녀의 남동생은 수요일마다 나에게 a 장미를 보낸다. ,그녀의 남동생은 그 계획을 취소하지(cancel) 않니? ,그들은 부재중 전화s를 확인하지 않니? ,그들은 매일 밤 그의 회원증을 숨기지 않는다. ,그들은 그녀의 등을 간질이고 있기 때문에 ,난 the 떠오르는 별을 지금 보고 있지 않는다.
9,그들은 만들고 있어. ,그들이 소개하고 있지 않니? ,우리가 그들의 보물을 묻고(bury) 있지 않습니까?,그들은 얼음을 녹이고(melt) 있지 않습니다.,나의 엄마가 땅콩s을 씹고 있습니까?,두 분의 선생님s이 an 공식 행사를 준비하고 있었니? ,그들이 지금 the 운동장에서 무엇을 하고 있니?,그의 여동생이 나의 헤어스타일을 바꾸고 있지 않았어.,난 그녀가 어제 이 건물을 디자인하지 않았다고 생각한다.,넌 어떻게 많은 사과s를 한 번(at once)에 먹었니? ,너는 방과 후에 the 바닥을 밀대로 닦니? ,너는 매일 밤 the 유리 바닥을 밀대로 닦니? ,너는 왜 매일 밤 그들에게 전화하니? , 우리가 저 바위를 다이너마이트로 파괴한다.,우리는 젖은 양말s을 the 옷걸이에 겁니다.,너는 너의 집을 팔려고 the 바닥을 수리한다. ,너는 너의 친구s와 잡담하지 않니? ,너는 너의 친구의 훌라후프를 사용하지 않니? ,그 소방관이 너의 정원을 둘러보지 않니? ,"그래서, 그녀는 큰 소리로 웃고 있습니다. ",넌 무슨 차를 운전하고 있니? 
