INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,has,has,"is,go,for","what,did",,"kicks,wants",his,"can,saw,sees","beer,cheats,cheating,bell",,,,,skips,,,that,"cheat,are",,"me,chance,today,"
1,her,has,they,"swims,did,may,can’t,your",,"I,can’t",,eats,,likes,,,,,,,,uses,were,"are,study",
2,"dance,try","butter,he,",,"can,did,work,walks,your","I,when",who,when,,four,"kills,killing,an",,,,,,,,using,"saver,is,marry",,wait
3,merry,,"rabbit,butter","lose,wants,did",,"why,your",,"did,can",,"makes,making",,,,,hardly,"that,",that,,,,butter
4,cheek,"got,has",,"helper,can,may,did,are",runs,tells,many,,anymore,"string,men",,,,,danger,,,,"isn’t,eats,",,"office,can"
5,send,pain,has,"do,can,may,she,drain","seal,no,you,bland",light,farm,sing,,"she,merry,marries,hers,marring",,goes,"by,did",,badly,"bed,foot",,,,are,"beating,he,when"
6,,paints,,"checker,has,did",,do,,"beats,easy,may",,"robot,four,waiter",,,"bye,on",,"hardly,walks,",day,,,harder,"finish,wasn’t",
7,,paints,,"has,do,blow","dress,where,when",,"I,how","gun,no",,"explained,express,program,in",,,,,are,,,,"bored,walking","sleep,are",any
8,"does,try",lead,"has,he","will,likes,may","swims,your,faster",,,,,"no,cap,meets",,succeeds,,,,,,,,,
9,understands,"has,decorates",,"can,did,went,me,don’t",mess,,mail,starts,have,"not,too,pray,plays,score",,,,,no,she,,,,"lung,isn’t","must,your,new,sleeps"
10,"arrives,alive",tiring,,"eel,your,did,do,are",,"ton,your",,"he,me","easy,being,you","cries,a,",,,,,no,,marries,,were,,"may,mine,have"
11,makes,,,"got,go","chance,don’t",,"break,no",,,"flight,shake,too",,,,,,,,,,alike,
12,found,,,"aren’t,meat,is","he,meat,his,meets",,seal,"helps,has",,"he,his,beats,beard,bee",,,makes,,,goes,,that,"are,same","cheats,easier,were",
13,"sings,no",they,has,"may,didn’t,did,can’t,plays","lose,you,me",,"you,my,did",,,"sea,sees,seeing,a,",,,,,,dancer,,is,me,,"he,do,belief"
14,makes,,,"glow,did,may,can,they",did,did,,,had,"passing,passes,taste",,,,,,"harder,studying",that,for,,"hear,charge","he,don’t,can’t,isn’t"
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,no,"melts,meal",,"learn,wants,did","best,can’t",when,"can,where",,anytime,"merry,no,marring",,,,eats,,,,,"is,again",,don’t
20,a,,,"helping,my,your,may","eats,where",to,"tree,plays",,,"too,ate,eats,eating,breed",,,,,,,she,,"danger,is",,
21,hers,has,,"can,may,wall,your,goes","life,cuts","go,where",,,,"no,,mover,moves,",,finishing,,,,,,,,,do
22,"him,celebrates",widow,,"too,has,does",meets,,your,,"will,speaks,can","too,calling,he,base",,,,,,reader,,,"was,dance",,
23,hurries,gave,"quits,drink,your","does,your","older,can",talked,"did,where,your",,"lone,did","no,dances",,,,,,light,,,wear,,
24,dirt,awake,,"lives,love,do,did,does,life","apple,much",pin,hear,,"by,watches","too,helper,mine,helps,not",,,,hardly,,,,,we,,
25,she,burns,bout,"no,cheat,let,changes,jet","glow,your,where","did,your",,anymore,hear,"fax,ten,fixes,fixed",,,,,,,,were,wasn’t,,
26,,has,,"teacher,your,can,teaching,may","where,dances,do","trees,",,,,"books,an,no",,drinks,,goes,,,for,teaching,safer,,
27,"runs,try,ran",,,"swimmer,to,is",sleeps,likes,,apple,me,"off,drinking,",,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
