INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,He/tried/to/wear/a/gas/mask.,They/had/better/write/a/letter/to/her.,He/had/better/not/know/the/fact.,Are/you/going/to/teach?,Who/do/you/want/to/love?,Why are/you/going/to/teach/etiquette/to/me?,Who/do/you/want/to/kick?,I/want/to/introduce/you/to/him.,I/can't/see/her/anymore.,to/cheat/a/bear,Why/don't/you/sleep/to/cheat/a/bear?,I sleep/at 7o'clock/to/go/to/the/farm/tomorrow.,Do you/go/to/the/playground/to/play/soccer?,Why don't/you/count/money/to/cheat/a/cheater?,To/skip/English/class/everyday/is/impossible.,It's/impossible/to/eat/dinner/with/you/tonight.,Is/it/hard/to/give/me/a/tip?,Was/it/possible/to/use/the/playground?,Cheating/a/wise/cheater/is/impossible.,Buying/a/wise/robot/was/a/wise/decision.,I/changed/my/password/yesterday.
1,She tried/not/to/make/the/tower/with/sand,We/had/better/make/the/bear's/face/cute.,He/had/better/drink/coffee/with/them.,Can/you/swim?,When/did/you/have/to/borrow/her/book?,When/can/you/swim/with/me?,When did/you/have/to/borrow/her/ear/ring?,I/can/eat/five/king/crabs/everyday.,You're/going/to/write/a/letter/in/fall.,not/to/fly/like/a/mouse.,I don't/buy/wings/to/fly/like/a/duck.,I/hide/her/diamond/to/cheat/her/mother.,I/go/to/the/playground/to/play/soccer.,I/sell/my/books/not/to/study/hard.,Not to/get/up/late/is/a/good/habit.,It's a/bad/habit/to/help/a/bad/thief.,Is it/bad/to/chat/with/friends/in/class?,It/was/possible/to/use/the/playground.,Voting/on/a/boat/was/my/habit.,Studying/English/in/Korea/is/easy.,Why don't/you move/the/mouse/to/click/the/link?
2,He/tried/to/focus/on/dancing.,I/had/better/call/him/giant.,A terrorist/had better/not/visit/a/terrible/pig/today.,Do/you/walk?,Where/will/you/dance/with/me?,When/will/you/come/to/my/house?,Where/will/you/watch/the/breaking/news?,I had/to/read/the/book/about/my/mission.,He/ate/curry/and/rice/for/snack.,not/to/kill/a/fly,Let's/marry/a/terrorist/to/kill/a/fly!,I'll drink/a cup/of/coffee/to/get/up/late.,I don't/go/to/the/playground/to/play/soccer.,Let's marry/a rich/pig/not/to/be/a/beggar!,To/get/up/late/is/a/bad/habit.,It's/a/good/habit/to/cheer/her/team.,Is it/wrong/to/tell/his/mistake/to/them?,It/wasn't/possible/to/use/the/playground.,Marrying/a/terrorist/isn't/safe.,Playing/the/piano/on/a/truck/is/dangerous.,Where/did/you/wait/for/a/waiter?
3,He/tried/not/to/marry/your/daughter.,She had/better/cook/a/black/banana/for/dinner.,She/had/better/hunt/eight/rabbits.,Do/you/want/to/love?,Why/do/you/have/to/remember/the/number?,How/can/you/design/the/poster?,Why/do/you/have/to/forget/the/memory?,You/may/sell/my/brain/anytime.,She/will/not/show/my/score/to/you.,to/make/a/lot/of/money,I didn't/cheat you/to/make/a/lot/of/money.,I want/to sell/my/father/to/buy/a/house.,Do you/wash your/hands/to/shake/hands/with/her?,I didn't/wear/a/cat/mask/to/surprise/you.,To/give/a/lip/service/is/hard.,It/is/hard/to/meet/her/grandfather.,Is/it/bad/to/sleep/in/class?,Was it/possible to/read/a/book/under/the/Galaxy?,Driving/a/tank/in/the/mountain/wasn't/dangerous.,Eating two/bananas every/night/is/good/for/your/brain.,You/had/better/monitor/the/spy/tonight.
4,He tried/to/check/the/color/of/the/car.,He/had/better/not/get/stressed.,He had/better/not/sleep/on/the/cold/street.,Can't/you/help?,How/long/do/you/want/to/run?,Why/can't/you/tell/me/the/information?,How/long/do/you/want/to/sleep?,I/want/to/sleep/anywhere/for/9/hours.,We/have/to/solve/the/problem/anyway.,not/to/be/a/strong/man,I'm going/to eat/pork not/to/be/a/skinny/man.,I can/go to/the/plaza/to/see/a/performance,I wash/my/hands/to/shake/hands/with/her.,I will/learn taekwondo/to/fight/against/the/coward/goat.,To/play/with/a/knife/is/dangerous.,It is/very/dangerous/to/play/on/the/street.,Is it/good for/your body/to drink/a/lot/of/juice?,It was/possible to/read/a/book/under/the/Galaxy.,Eating/barbeque/for/lunch/is/possible.,Selling/his/ring/to/the/princess/was/possible.,I/can't/cancel/the/official/event.
5,She/tried/not/to/sell/your/piano.,They/had/better/paint/my/room/black.,A/tiger/had/better/listen/to/me.,Did/you/dream?,Don't/sell/your/brain!,What/did/you/dream/about/last/night?,Don't/sell/your/duck/to/a/farmer!,I/study/the/song/on/the/playground.,I/would/like/to/travel/around/the/world.,to/marry/her,I want/to/buy/a/mansion/to/marry/her.,Did/you/go/to/Japan/to/succeed?,How/do/you/go/to/Bangkok?,I want/to introduce/a/brand/new/sneakers/to/you.,To/make/a/flower/dirty/is/bad.,It's/bad/to/make/bad/food.,Is/it/okay/to/sit/next/to/you?,It wasn't/possible to/read/a/book/under/the/Galaxy.,Introducing/the/hi-tech/to/a/manager/isn't/bad.,Remembering/her/short/phone/number/is/impossible.,Why/can't/you/beat/him?
6,She/tried/not/to/do/it/with/me.,He/had/better/paint/my/face/white.,A king/had better/not/eat/the/corn/for/lunch.,Do/you/have/to/check?,Who/do/you/have/to/study/English/with?,Where/did/you/find/a/talking/bird?,Who/do/you/have/to/study/spanish/with?,I/can/beat/her/easily.,I/want/to/be/alone/for/three/hours.,to/wait/for/the/rabbit,I can/sing a/song/to/wait/for/the/rabbit.,Are you/going to/eat breakfast/early to/go/to/the/mountain?,I/go/to/Bangkok/by/bike.,I can/sell/my/car/to/help/my/grandmother.,To/walk/to/Spain/is/hard.,It's/hard/to/meet/you/these/days.,Is it/dangerous/to/fight/against/a/masked/sheep?,Was it/OK to/park/your/car/in/the/park?,Meeting/your/father/every/day/was/hard.,Beating/her/was/his/final/goal.,I can/catch a/non-stop bus/in front/of/the/train/station.
7,He tried/to/know/the/title/of/the/movie.,She/had/better/paint/the/wall/yellow.,The scientist/had/better/not/come/to/my/house.,Did/you/have/to/borrow?,What/dream/did/you/dream?,Why are/you/going/to/borrow/a/wheel/chair?,Why/did/you/dream/about/me?,I/will/not/chew/chewing/gum.,You can/go/to/the/Venus/by/paper/plane.,to/explain/the/problem,Did/you/come/here/to/explain/your/mission?,Did you/move/his/desk/to/fix/the/ceiling?,I/didn't/go/to/Alaska/to/buy/bananas.,Did you/wear a/gas mask/not/to/sing/the/song?,To/find/the/hidden/money/is/impossible.,It/is/hard/to/drive/a/long/train.,Is it/really/dangerous/to/make/a/time/bomb?,It was/OK to/park/my/car/in/the/park.,Working/with/the/turtles/wasn't/boring.,Sleeping/under/a/bulldog/is/safe.,May/I/drink/some/water?
8,She/tried/to/do/bungee/jump.,We/had/better/read/her/book/loudly.,We/had/better/understand/his/dog.,Would/you/like/to/order?,How/fast/can/you/swim?,What/Korean/food/are/you/going/to/order?,How/high/can/you/kick/a/soccer/ball?,I/drew/a/singing/bird/on/the/door.,He/had/to/go/to/school/early/yesterday.,not/to/meet/the/cat,I/will/come/here/to/meet/the/soldier.,Do/you/study/hard/everyday/to/succeed?,Are you/going to/cry/not/to/dance/with/her?,I will/go to/the/Pacific/to/fish/a/shark.,To dance/with/her/every/night/is/my/fate.,It/is/my/happiness/to/be/with/you.,Is it/a shame/to cry/in/front/of/a/girl?,It wasn't/OK to/park/my/car/in/the/park.,Living on/the water/in/summer/is/a/good/idea.,Meeting/a/good/man/in/hell/was/impossible.,How/many/times/did/you/call/me/yesterday?
9,She/tried/to/understand/his/broken/English.,They/had/better/decorate/his/car.,The mouse/had/better/not/remodel/the/cat's/room.,May/I/go?,How/are/you/going/to/teach/math?,Why/do you/want/to buy/the/expensive/sports/car?,How/are/you/going/to/teach/math?,I'm/going/to/start/studying/music/next/year.,You/may/use/my/big/room/anytime.,to/play/soccer,Do you/have to/drink/energy/drinks/to/play/soccer?,Will you/read the/newspaper/to/know/the/world/news?,I‘m/going/to/smile/to/dance/with/her.,Do you/have to/finish the/game/to/play/with/them?,Not/to/use/her/fingers/is/impossible.,It/is/impossible/to/remember/her/address.,Is it/good to/help/a/thief/steal/my/dog?,Was it/impossible to/use/free/wi-fi/in/this/city?,Drinking a/lot/of/water/before/sleeping/isn't/good.,Memorizing/the/long/song/is/possible.,You/may/sleep/now.
10,He/tried/to/arrive/early/yesterday.,You/had/better/hug/the/tired/tiger.,A/monkey/had/better/not/press/the/button.,Can/you/eat?,When/are/you/going/to/swim/with/them?,When/can/you/eat/ten/onions?,What time/are/you/going/to/meet/her/tomorrow?,I/can't/teach/him/English/anymore.,We/can't/beat/them/easily.,to/cry/like/an/ugly/rabbit,Did you/take out/a machine/gun/to/surprise/the/ghost?,Did you/buy a/baseball/bat/to/teach/the/student?,I'm not/going/to/cry/to/dance/with/her.,Did you/buy/an/ad/balloon/to/advertise/it?,Not/to/read/their/books/is/possible.,It/is/possible/to/sell/his/pencil/case.,Is/it/lucky/to/marry/a/wizard?,It was/impossible to/use/free/wi-fi/in/this/city?,Helping/an/old/puppy/was/his/opinion.,Living with/the/skunk/is/out/of/the/question.,You/must/not/monitor/me.
11,She tried/to/make/a/tank/with/some/trees.,He had/better/not/read/a/sad/book/tomorrow.,We/had/better/not/stay/in/his/kitchen.,Aren't/you/going/to/get/up?,Let's/not/change/the/yellow/cover!,What time/are/you/going/to/get/up/tomorrow?,Let's/not/change/the/black/sugar!,I/have/to/study/music/with/my/mother.,I'm/going/to/buy/a/mask/pack/downtown.,to/fight/against/a/shark,Why don't/you quit/drug not/to/go/to/a/prison?,I will/kill/a/fly/to/clean/my/house.,Do/you/want/to/make/your/garden/neat?,Did you/come here/last night/to/see/a/puppet/show?,To eat/apples every/morning/is/good/for/your/skin.,It's dangerous/to/play/the/piano/on/a/tree,Is it/impossible to/get/an/apple/from/a/ghost?,It wasn't/impossible to/use/free/wi-fi/in/this/city?,Planting flowers/on/a/cloud/was/his/future/dream.,Catching/a/ball/like/this/is/possible.,You don't/have to/go to/the police/station/to/see/him.
12,He/tried/to/find/the/information/center.,I/had/better/decorate/her/car/with/flowers.,A/queen/had/better/eat/pork/for/dinner.,Are/you/going/to/meet?,Meet/him/early/tomorrow!,Where/did/you/meet/the/poor/king/yesterday?,Sell/stickers/on/the/street/this/weekend!,I/have/to/help/him/anyway.,You/count/stars/around/the/moon/every/night.,to/beat/him,Do you/hit/the/bag/everyday/to/beat/him?,I can/swim/to/the/island/to/meet/you.,I/want/to/make/my/garden/neat.,Do you/have to/study/to/pass/the/driving/test?,To/be/alone/in/the/mountain/is/dangerous.,It's/sad/to/go/to/school/early.,Is it/okay/to/smoke/in/the/big/classroom?,Was/it/possible/to/dream/in/class?,Bothering/a/gorilla/is/a/shame.,Cheating/the/cheater/was/easy.,Who do/you want/to/sing/a/song/with/tomorrow?
13,He/tried/not/to/sing/there.,I/had/better/not/work/with/them.,The/devil/had/better/not/talk/non-sense.,Can/you/play?,May/I/use/your/nose?,Why do/you/have/to/play/with/her/dog?,May/I/use/your/perfume?,I'm/going/to/eat/dinner/at/7/o'clock.,You/have/to/take/care/of/your/brother.,to/see/the/baby,Did you/have to/turn on/the light/to/see/the/baby?,I go/to/the/outlet/to/exchange/her/handbag.,I/don't/want/to/make/my/garden/neat.,Did you/have to/turn off/the TV/to make/a/baby/sleep?,To go/to a/Night/club/is/to/study/dancing.,It's/happy/to/dance/with/a/neat/girl.,Is it/a/shame/to/act/like/that/mouse?,It/was/possible/to/dream/in/class.,Winning/the/gold/medal/is/my/hope.,Talking/about/a/flying/fox/was/a/lie.,Why/did/you/believe/him?
